date,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
2014-10-15,0.04,0.76,0.64,0,0,0,0,0,0.04
2014-10-16,0.04,0.84,0.68,0,0,0,0,0,0.04
2014-10-17,0.04,0.68,0.72,0,0,0,0.02,0,0.02
2014-10-20,0.04,0.74,0.62,0,0,0,0,0,0.04
2014-10-21,0.06,0.68,0.68,0.02,0,0,0,0,0.02
2014-10-22,0.02,0.76,0.76,0.02,0,0,0,0,0.04
2014-10-23,0.02,0.72,0.72,0.02,0,0,0,0,0.04
2014-10-24,0.02,0.82,0.62,0.02,0,0,0,0,0.02
2014-10-27,0.02,0.76,0.6,0,0,0,0,0,0.06
2014-10-28,0.02,0.76,0.58,0,0.02,0,0,0,0.02
2014-10-29,0.04,0.72,0.56,0,0.02,0,0.02,0,0.02
2014-10-30,0.02,0.78,0.58,0,0.02,0,0.02,0,0.02
2014-10-31,0.02,0.64,0.74,0,0.02,0,0.02,0,0.02
2014-11-03,0.02,0.76,0.54,0,0.02,0,0.02,0,0
2014-11-04,0.02,0.74,0.6,0,0.02,0,0.06,0,0.02
2014-11-05,0.0204081632653061,0.673469387755102,0.612244897959184,0,0,0,0.0408163265306122,0,0.0204081632653061
2014-11-06,0.0204081632653061,0.714285714285714,0.591836734693878,0,0.0204081632653061,0,0.0816326530612245,0,0
2014-11-07,0.0204081632653061,0.755102040816326,0.63265306122449,0,0,0,0.0816326530612245,0,0.0204081632653061
2014-11-10,0.0204081632653061,0.73469387755102,0.63265306122449,0,0,0,0.0612244897959184,0,0.0204081632653061
2014-11-11,0.0204081632653061,0.73469387755102,0.673469387755102,0,0,0,0.102040816326531,0,0.0204081632653061
2014-11-12,0,0.755102040816326,0.653061224489796,0,0,0,0.122448979591837,0,0.0204081632653061
2014-11-13,0.0408163265306122,0.775510204081633,0.73469387755102,0,0,0,0.122448979591837,0,0
2014-11-14,0.0204081632653061,0.795918367346939,0.673469387755102,0.0408163265306122,0.0204081632653061,0,0.142857142857143,0,0.0612244897959184
2014-11-17,0.0204081632653061,0.857142857142857,0.714285714285714,0.0612244897959184,0.0204081632653061,0,0.183673469387755,0,0
2014-11-18,0.0612244897959184,0.877551020408163,0.73469387755102,0.0408163265306122,0,0,0.244897959183673,0,0
2014-11-19,0.0612244897959184,0.857142857142857,0.73469387755102,0.0408163265306122,0.0204081632653061,0,0.204081632653061,0,0
2014-11-20,0.0408163265306122,0.795918367346939,0.755102040816326,0.0204081632653061,0.0204081632653061,0,0.224489795918367,0,0
2014-11-21,0.0204081632653061,0.938775510204082,0.693877551020408,0.0408163265306122,0.0204081632653061,0,0.224489795918367,0,0
2014-11-24,0.0408163265306122,0.816326530612245,0.73469387755102,0.0204081632653061,0,0,0.163265306122449,0,0
2014-11-25,0.0204081632653061,0.795918367346939,0.795918367346939,0.0408163265306122,0,0,0.244897959183673,0,0
2014-11-26,0.0204081632653061,0.836734693877551,0.795918367346939,0.0204081632653061,0,0,0.224489795918367,0,0
2014-11-27,0.0204081632653061,0.795918367346939,0.816326530612245,0,0,0,0.204081632653061,0,0
2014-11-28,0.02,0.78,0.84,0.02,0,0,0.24,0,0
2014-12-01,0.02,0.82,0.76,0.04,0,0,0.22,0,0
2014-12-02,0.02,0.84,0.8,0.02,0,0,0.18,0,0
2014-12-03,0.02,0.86,0.72,0.04,0,0,0.22,0,0
2014-12-04,0.02,0.84,0.7,0.1,0,0,0.22,0,0
2014-12-05,0.02,0.76,0.62,0.1,0,0,0.22,0,0
2014-12-08,0.02,0.74,0.68,0.16,0,0,0.28,0,0
2014-12-09,0.02,0.78,0.6,0.1,0.04,0,0.28,0,0
2014-12-10,0.02,0.86,0.62,0.12,0.06,0,0.26,0,0
2014-12-11,0.02,0.82,0.6,0.14,0.06,0,0.3,0,0
2014-12-12,0.02,0.84,0.72,0.12,0.08,0,0.24,0,0
2014-12-15,0.02,0.76,0.64,0.14,0.1,0,0.22,0,0
2014-12-16,0.02,0.82,0.68,0.1,0.06,0,0.2,0,0
2014-12-17,0,0.8,0.68,0.08,0.06,0,0.12,0,0
2014-12-18,0.02,0.84,0.7,0.08,0.02,0,0.12,0,0
2014-12-19,0,0.72,0.78,0.04,0.02,0,0.1,0,0
2014-12-22,0.02,0.72,0.74,0.04,0,0,0.08,0,0
2014-12-23,0.06,0.82,0.76,0.06,0.04,0,0.08,0,0
2014-12-24,0.04,0.86,0.78,0.06,0.04,0,0.04,0,0
2014-12-25,0.04,0.8,0.84,0.16,0.04,0,0.04,0,0
2014-12-26,0.04,0.74,0.8,0.12,0.02,0,0.02,0,0
2014-12-29,0.02,0.76,0.84,0.16,0.04,0,0.02,0,0
2014-12-30,0,0.7,0.82,0.18,0.04,0,0.06,0,0
2014-12-31,0.02,0.7,0.8,0.16,0.02,0,0.04,0,0
2015-01-05,0.02,0.76,0.9,0.2,0,0,0.02,0,0
2015-01-06,0,0.68,0.84,0.2,0,0,0.02,0,0
2015-01-07,0,0.68,0.86,0.16,0,0,0.02,0,0
2015-01-08,0,0.76,0.84,0.18,0,0,0.02,0,0
2015-01-09,0.04,0.7,0.84,0.2,0,0,0.02,0,0
2015-01-12,0.02,0.74,0.84,0.16,0,0,0.02,0,0
2015-01-13,0.04,0.72,0.94,0.12,0,0,0.02,0,0
2015-01-14,0,0.68,0.86,0.14,0,0,0.02,0,0
2015-01-15,0,0.7,0.9,0.1,0,0,0.02,0,0
2015-01-16,0.02,0.68,0.86,0.12,0,0,0.02,0,0
2015-01-19,0.02,0.62,0.88,0.08,0,0,0.02,0,0
2015-01-20,0,0.58,0.86,0.04,0.04,0,0.04,0,0
2015-01-21,0,0.54,0.76,0.1,0.04,0,0.02,0,0
2015-01-22,0,0.46,0.78,0.06,0.02,0,0.02,0,0
2015-01-23,0,0.48,0.8,0.04,0.02,0,0.02,0,0
2015-01-26,0,0.48,0.76,0.04,0.02,0,0,0,0
2015-01-27,0,0.48,0.78,0.1,0.02,0,0,0,0
2015-01-28,0,0.48,0.82,0.08,0.02,0,0,0,0
2015-01-29,0,0.56,0.86,0.04,0,0,0,0,0
