,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X601991.SH,X601600.SH,X600010.SH,X600795.SH,X600188.SH,X600111.SH,X600362.SH,X600886.SH,X600027.SH,X601992.SH,X600688.SH,X600309.SH,X600583.SH,X601158.SH,X000898.SZ,X000709.SZ,X000792.SZ,X000883.SZ,X000539.SZ,X002353.SZ,X000027.SZ,X000825.SZ,X600489.SH,X000629.SZ,X000630.SZ,X600547.SH,X600549.SH,X600352.SH,X600578.SH,X600808.SH,X000831.SZ,X600008.SH,X600307.SH,X601699.SH,X000959.SZ,X600098.SH,X600660.SH,X000983.SZ,X600315.SH,X600863.SH,X002470.SZ,X000937.SZ,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.567739381394533,0,0,0,0,0,0,0,0,0,0.0471128888263049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258583908786781,0,0,-0.0378295051784746,-6.7762635780344e-21,0,0,0,0,0,0
X600028.SH,0.580471181874345,0,0,0,0,0,0,0,0,0,0,0.0570786471936481,0,0,0,0,0,0.214847106035895,0,0,0,0,0,0,-0.00853738859143801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205162088442037,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104628266230767,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.155594006260598,0,0,0,0,0.1801933218851,0,0,0,0,0.0970411317592537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00799045474565118,0,0,0,0.0421527711618236,0,0.0428673885291804,0,0,0,0.0214478834908757,0,0,-0.0245771139842168,0,0,0,0,0,0,0
X600011.SH,0.0645096396380499,0,0,0,0.145000874073988,0,0,0,0,0.0123436435056064,0,0.0783208207401821,0,0,0.0391832752580111,0.334647039984057,0,0,0,0,0,0,0,0,-0.0510742283753506,0,0,0,-0.0260660328856221,0,0,0,0,0,0,0,0,0.050767019249303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00301347446584216,0,0,0,0,0,0
X600019.SH,0,0,0,0.184881669185717,0,0,0,0,0,0,0,0.0985497048516735,0,0,0,0,0,0,0,0,0,0.267706887931636,0.137972616219354,0,0,0,0,0,0,0,0.0752588019532301,0,0,0,0,0,0,0,0,0.0739793614414811,0,0.0820131931037513,0,0,0,0,0,-0.1013642370793,0,0,0,-0.0138865246500042,0.00441117070418016,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.00552654907244912,0,0.0680968425751799,0.0704493128371483,0,0,0,0.0753878797643267,0,0,0.0133305755792217,0,0,0,-0.0606104504000389,0,0,0,0,0,0,0,-0.0213539452712923,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0314377729626185,0,0,0,0,0,0.0812236945477278,0,0,0,0,0,0.107991689279024,0,-0.0492036444780102,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.268016200279902,0,0,0.0188691581294227,0,0,0,0,0.0857505162482357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820128175805213,0,0,0.104700967335845,0,0,0,0.222259007590429,0,0,0,0,0,0,-0.0371394825130632,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.025489149215314,0,0,0,0,0,0,0,0.00297313386146264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146567082022721,0,0,0,0,0.114904536229364,0,0,0,0,0.0393555603118577,0,0,0,0,0,0,0,0,0,0,0.000449750296900867,-0.0132845144407415,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.0696056849590959,0,0.0490380278951601,0,0.0938730635272148,0,0,0,0,0,0,0,0.144528286218424,0.0288180739600675,0,0,0,0,0,0,0,0.0583649351359508,0,0,0,0,0,0.0432279759583166,0,0.0487223604180873,0,0,0,0,0,0.0112074209472079,0,0,0,0,0.2119495845006,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.178894943443267,0,0,0,0,0,0,0,0,0.228000194433156,0.0171211160946333,0,0,0,0,0.153876377191209,0.10850295374365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292698906444942,0,0.0807555515943535,0,0,0.186622403516496,0,0,0,0,0,0,0,0,0,-0.00726197755526284,0,0,0,0,0,0,0
X600795.SH,0,0.114020061576797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148788230800192,0,0,-0.0079979000547107,0,0.0826689277313269,0,0,0,0,0,0,0,0,0,0.0386494944106471,0,0,0,0,0.0491867783350694,-0.0220465010664683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.141125180029945,0,0,0,0,0.402339850782152,0,0,0,0,0,0,0,0,0,0,0.138424158156934,0,0,0.0571233408301245,0,0,0,0,0,0,0.0848545281568228,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0332076267943843,0.344868677401538,0,0,-0.0565507232307677,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.104142587504983,0,0,0,0,0,0,0.0439038759895657,0,0,0,0,0,0,0,0,0,0,0,0.0812856614965766,0,0.0284902669958503,0,0,0.20628286125818,0,0,0,0,0.00831833605008537,0,0.00801532273767676,0,0,0,0.0941982543528927,0,0,0.00702712087210572,0,0,0,-0.0237766666439973,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0.074115854725207,0,0.171352659964264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961463559055115,0,0,0,3.74398636038102e-06,0,0.216803806654461,0,0,0,0,0,0,0,0,0,0,0,0.141076886522892,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703365041553761,0,0,1.73472347597681e-18,0.195525356703277,0,0,0,0,0,0,0.0165260500690743,0,0,0.0798213599397673,0,0,0.0343970099929697,0,0,0.162307791371026,0,0,0.000921510222417916,0,0,0,0,-0.0132657090934705,0.00423929041010196,0,0,0,0,0,0
X600027.SH,0,0,0,0.194751763110596,0,0,0,0.0975533339873305,0.126283959872776,0,0.0956653266721981,0.030532443078411,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721980861559822,0,0,0.00370851762552871,0,0,0,0.0285240019725875,0,0,0,0,0,0,0,0,0,0.00497587542387678,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190387094598136,0,0,0,0,0,-0.0144377213541418,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0483643833718267,0.0420901144155574,0,0,0.139424578564779,0,0,0,0,0.24176159341592,0,0,-0.00864875649827958,-0.0390446907001145,0,0,0,0,0,0
X600688.SH,0,0.110230305673236,0,0,0,0,0,0,0,-0.0136683766358796,0,0.278331053459695,0,0,0,0,0,0,0,0,0,0,0,0,0.0426024659246403,0,0.0208407271310678,0.212820968383354,0.0366641206184348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158151077964567,0,0.170480588151692,0,0,0,0,0
