,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600886.SH,X600585.SH,X600795.SH,X601898.SH,X601991.SH,X601600.SH,X600688.SH,X600027.SH,X002075.SZ,X600157.SH,X600188.SH,X600362.SH,X600111.SH,X000709.SZ,X000539.SZ,X601992.SH,X600583.SH,X000898.SZ,X600309.SH,X601158.SH,X000027.SZ,X000883.SZ,X000878.SZ,X600352.SH,X600660.SH,X600021.SH,X000792.SZ,X600863.SH,X002470.SZ,X600022.SH,X000629.SZ,X600578.SH,X600307.SH,X601918.SH,X600489.SH,X600098.SH,X000825.SZ,X600547.SH,X600808.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.823806094379003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0487796236785409,0,0,0.00313520392013382,0,0,0,0,0,0,0,0.0336666895790875,-0.0415088439200977,0,0.0247895077954585,0,0,0,0
X600028.SH,0.351155136919678,0,0.040030377812978,0.046219851603722,0,0.169557004192128,0,0.0166155897878556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910953259307106,0,0,0,0,0,0,0.0722524356047647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172849587856693,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.221666598886116,0,0,0,0,0.0247714840193377,0.174874356016937,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0568951903495131,0,0,0,0,0,0,0,0.0704889433840075,0,0.118351421365852,0,0,0,0,0,0,0,0,0,0,0,0,-0.00198307923901955,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0546086582360684,0,0,0,0.0153605981678119,0.305741183085695,0,0,0.198709667523126,0,0,0.0226731304946391,0,0,0,0,0,0,0,0.0448034145434163,0,0,0,0,0,0,0,0,0,0,0,0,0.18068130060897,0,0.0303801606562907,0,0,0,0,0,0,0,0,-0.00313009773479728,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.266032112519012,0,0,0,0,0,0,0,0,0,0,0.140656518716055,0,0.192809422413517,0,0,0,0,0.0445855368979974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0112927918186883,0.197864407271928,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.0890538242953218,0.135937973366156,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0395567903914375,0,0,0,0,0,0,0,0.166997167322454,0.0638591605091521,0.287480451811183,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0394538424163985,0,0.0216478556308355,0,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13815950380221,0,-0.00998032405207214,0,0,0,-0.00402611385479977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526729609721211,0.00762279727913777,0,0,0,0,0,0,0,-0.0295831162798356,0.0268021960318098,0,0,0,0,0,0
X600585.SH,0,0,0.0258216796557915,0,0,0.0885197056923054,0,0,0,0,0,0,0,0,0,0,0,0,0.0338186714145086,0,0,0.174182960385433,0,0,0,0,0.0012681035149369,0,0,0,0.354195740356875,0,0,0,0,0,0,0.000122920914826784,0,0,0,0,0,0,0,0,0,-0.00692365143143882,1.0842021724855e-19,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.108932091021054,0.0304053223367977,0.0519523461251743,0.00785329856862164,0.0204928671058883,0,0,0,0.00805208009750497,0,0,0,0.0627805578102561,0.071969747537031,0,0,0,0,0.112297986512679,0,0,0,0,0,0.091005591313688,0,0,0,0.148466656676878,0,0,0,0,0.129313342831345,0,0.01754191050878,0,0,-0.00414649521954413,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0438533777367525,0,0,0,0,0,0,0,0,0,0,0.0498126400353262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434607852375724,0,0.181642612433336,0,0,0.0355961580130568,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.0352556378922246,0,0,0,0,0,0.177910402346525,0,0,0,0.0761214015459985,0,0,0.260776004686861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164463856227884,0,0.014315928808862,0,0,0,0.167375009643806,0,0.00826895273075488,0,0,0,0,0,0,0,-0.00707530478532198,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.0301719951861875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175687359563919,0,0,0,0.300631107167177,0,0,0,0,0.156657129650933,0,0,0,0,-0.000700226040292807,0,0,0,0,0,0,0
X600688.SH,0,0,-0.0612992506347283,0,0,0,0,-0.12930200775801,0,0,0,0,0,0,0,-0.042417119468426,0,0,0,0,0,0,0.487940060619005,0,0,0,0.0767592138524214,0,0,-0.050531716053913,0,0,0,0,0,0,0,0,0,0.306179936969235,0,0,0,0,0,0,0,-0.00727079091288518,0,0,0,0,0,0,0
X600027.SH,0,0,0,0.0941698713716055,0,0,0,0,0,0,0.178020363202516,0.0928699228181542,0.0567887826898644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240993026549263,0.375336614000418,0,0,0,0,0,0.0550517033359135,0,0,0,0,0,0,0,0,-0.0291347898974837,-0.039293357485025,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0.000506765372010826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272964253893913,0.195566265796772,0,0,0,0,0,0,0,0,0,0,0,0.158728362350125,0.0460288060100766,0.0439441698767329,0,0.128938162248538,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0.256170342950759,0.00395349335223532,0,0,0,0,0,0,0,0,0,0,0,0,0.0997263812984339,0,0,0,0,0,0.00107085386291495,0,0,0,0,0,0,0.0520178917145505,0,0,0,0,0,0,0,0,0,0,-0.0156965457190886,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.00598418566265288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907584592239085,0,0,0,0,0.0019268541430978,0,-8.67361737988404e-19,0,0.274438651063935,0,0,0,0.00661487575309403,0,0,0,0.00234362115749709,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.0458720039816323,0,0,0,0,0.0475305045775297,0,0,0,0,0,0,0.135622334944181,0.175410742934612,0,0,0,0,0.0560801153867444,0,0,0,0,0,0,0,0,0,0,0.148080746227437,0,0,0,0,0.0996472984852379,0,0,0,0,0,0,0,0,0,-0.0071582190286821,0,0,0,0,0,0
X000709.SZ,0,0,0,0,-0.0507109074923307,0,0,0,0,0,0,0,0,0.0235193967136541,0,0,0,0,0,0,-0.0784351469854591,0,0,0.276269536809125,0,0,0,-0.153114333299441,0,0,0,0,0,0,0,0,0.157765419703985,0,0,0.111784157183721,0,0,0,0,0,0.288488262720475,0,0.0377017036753766,0,0,0.0440226854324156,0,0,0,0
X000539.SZ,0,0,0,0,0.392082761479537,0,0,0,0,0,0,0,0.0855478442318334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925099357906428,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.011483564289438,0,0,0,0,0,0,0,0,0.100313395919234,-0.0391108471506039,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.100154487823793,0.0347808135980392,0,0,0,0,0,0,0,0,0,0.106304850323538,0,0.0565600113033923,0,0.0348872759873602,0,0.110907601239512,0,0,0,0.325080781768957,0,0,0,0,0,0,0,0,0,0,0.08457546972506,0,0,-0.00531316453085135,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0.075799238153368,0,0.33604407073634,0.00050914089330194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144864885538676,0,0.00950789454497618,0,0,0.00371834227821581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,-3.46944695195361e-18,0.392531695842057,0,0,0,0,0,0.207469967603371,0,0,0,0,0.0804148682087029,0,0,0,0,0,0,0,0,0,0.0218722444580467,0,0,0,0,0,0,0,0,0.0132132964308182,0.0741068409226896,0,0,0,0,0,0,0,0.125717530495538,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0.187295569179917,0,0.033801787878427,0,0.0847223467250989,0,0.0218474441209319,0,0,0,0,0,0,0.0493414400769436,0.0448500207732797,0,0,0,0.0866558340497278,0,0.0686923342744155,0,0,0,0,0,0.186226382533572,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0489176792459671,0,0,0,0,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222034691224537,0,0,0,0,0,0,0,0,0,0,0.0156901889041344,0.00691227422258176,0.0227972379418156,0.0659071917464066,0,0.233359421858751,0,0.035383349091305,0,0,0,-0.00320474921006444,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000557718581758991,0,0,0,0,0,0.150478517531285,0,0,0,0.0798731656201661,0,0,0.00412969548485019,0.00753636432403446,0,0,0,0,0,0,0,0,-0.000971794091795839,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.00311746574829414,0,0,0,0,0.0659063961333362,0,0,0,0.0740090240208666,0,0,0,0,0.14147306579867,0,0,0,0,0.0980349505322859,0,0.0207211977580464,0,0,0,0,0,0,0,0.0670585054459611,0,0,0.0987836816183675,0,0,-0.0218344465092517,-0.00237014299093583,0,0,0,0,0,0
X000878.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000429450301326074,0,0,0,-0.000582513840090508,0,0,3.60339489562915e-05,0,0,0,0,0,0
