,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X000539.SZ,X601992.SH,X000027.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X002470.SZ,X000792.SZ,X600489.SH,X600623.SH,X600098.SH,X002353.SZ,X600547.SH,X600022.SH,X000629.SZ,X600307.SH,X600863.SH,X600808.SH,X300072.SZ,X600578.SH,X000060.SZ,X601918.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.852329021010572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467966581899291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387170239894637,0,0.0201692574686671,0,0,0,0,0
X600028.SH,0.526989237508699,0,0.0930988203777049,0.0798178897946499,0,0,0.0469006346423387,0,0,0,0,0,0,0,0,0,0,0,0,0.0254113065334128,0,0,0.0262984044199446,0,0,0,0,0.020297311338375,0,0,0.0175082052205201,0,0,0.0520018964243431,0,0,0,0,0,0.00612682949177467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.157792976138651,0,0.247618675176446,0.25062601594591,0,0,0,0,0,0,0,0,0,0,0,0.102313638940261,0,0,0,0,0,0,0,0,0,0,0,0.05689046669536,0.00290724974401789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0320218637884035,0.0388151731310947,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.056077654371068,0,0.114379096334449,0,0,0.0377311067665443,0,0,0,0,0,0,0.258526226200225,0,0,0,0.0411954005263783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523055029586156,0,0.210130447295209,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0341986243820101,0,0,0,0,0.00538829193458678,0.44082370585319,0.0539962069366252,0,0,0,0,0.123888252855325,0,0,0,0,0,0.198879366767105,0.0384771140008898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136184363113451,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.268095116392761,0,0,0,0.0690867194297438,0,0,0.0141400450066597,0,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0.223370888981782,0,0,0,0.0769976366468479,0,0,0,0,0,0.0117136990344575,0,0,0,0.0294797775855216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.0217369786760015,0.051671183361099,0,0.0983312726869322,0,0,0,0,0,0,0,0,0,0,0,0.0814113459218458,0,0,0,0.108890977629269,0,0.125785347069652,0,0,0,0,0,0.0961111487041136,0.0349111372870305,0,0,0,0.0107547658349803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.464105728011594,0.0492151190781928,0,0,0,0,0,0,0,0.117315733364307,0.202980529215726,0,0,0,0,0,0,0,0.0905525408766569,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.163864495488704,0,0,-0.0528269591498851,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.217349189045197,0.0694944040602492,0,0,0,0.0700835947520277,0,0,0,0,0.143697119771834,0.0923866231192183,0.0157552276438743,0,0,0,0.00326507984384655,0.0137357506522137,0,0,0,0,0.0144797723624424,0,0,0,0.0159511434756051,0,0,0.0888381824517548,0,0,0.13908962531625,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.227846050269681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153756243686873,0,0,0,0,0.0301545409283477,0,0,0,0,0.200999378728922,0,0,0.180654285086213,0,0,0,0,0,0,0,0,0
