,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X600362.SH,X600111.SH,X600157.SH,X601992.SH,X600886.SH,X600188.SH,X002466.SZ,X600299.SH,X600660.SH,X000792.SZ,X600547.SH,X601158.SH,X600489.SH,X600309.SH,X600583.SH,X000709.SZ,X000883.SZ,X000539.SZ,X000898.SZ,X000027.SZ,X000630.SZ,X600352.SH,X002470.SZ,X000060.SZ,X000629.SZ,X300072.SZ,X600612.SH,X600098.SH,X000723.SZ,X600176.SH,X600160.SH,X600021.SH,X000959.SZ,X000983.SZ,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0291843704913324,0,0,0,0,0.00502808912056459,0,0,0.0475451888893727,0,0.0453688114668526,0,0,0,0.0417053623320593,0,0,0,0,0,0,0,0,0.0290883864285433,0,0,0,0,0.0870832844843005,0.0169087054791732,0,0,0.0581117174057815,0.0795722117290391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.217314904242268,0,0.137588472797057,0,0,0,0,0,0,0,0,0,0.00737640565588797,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399124621611249,0,0,0,0,0,0,0,0,0.0115604357462602,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.352830126511794,0,0,0,0,0,0,0,0,0.131306237161298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699076175537208,0,0.0124561513315823,0,0,0,0,0.0815115216795463,0,0.00815789102226641,0,0,0,0,0,0,-0.000361340089967963,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0633241349770612,0,0,0,0,0,0,0,0,0,0,0,0.00761008796985589,0,0,0,0.00254822939135964,0,0,0,0,0,0.118329067025404,0,0,0,8.67361737988404e-19,0,0,0,0,6.93889390390723e-18,0,0,0.0460158250140124,0.0174078902390446,0,0.0255948226260569,0.18428433554536,0,0,0.0606227335725472,0,0,0.00947258236944149,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309338801203867,0,0,0,0.101176737905987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184680406017637,0.184920364605646,0,0,0,0,0,0.0220793316390784,0,0,0,0,0,-0.00823285781488516,-0.0120726799195569,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0245895442287229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.516770342957537,0,0,0.0546716772832949,0,0.121467971242287,0,0,0,0,0.11583041831843,0,0,0,0.0371166174184663,0,0,0,0,-0.00439380238278691,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0712846036694699,0,0.120885639558087,0.0456874990560029,0,0,0,0,0,0,0,0.15845097509981,0,0,0,0,0,0,0,0,0,0,0,0.0604074070486605,0.0120686898783045,0,0,0,0.0512837050268896,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.057355392433231,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0830750715883588,0,0,0.0841678094529228,0,0,0,0,0,0.0470284434524927,0,0,0.0255402495838582,0,0,0,0,0,0.103193340012233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871045041074943,0.0794187730173045,0,0,0,0.137630230193897,0,-1.0842021724855e-19,0.0406600570162247,0,0,0.111458993827914,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041094793487564,0,0.0882570322053767,0,0,0,0.0273307527111189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466229820419375,0,0,0.061369866996493,0.117551046479025,0,0,0,0.146934933225537,0,0.115259486303628,0,0,0,0,0,0,-0.00515461722397664,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.155553379547616,0,0,0,0,0,0,0.0132510335726824,0,0.151396673288755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186654132037401,4.33680868994202e-19,0,0,0.0824341265577294,0,0,0.0393933890638261,0.0214675272104292,0.0858172404395811,0,0.011537195211519,0,0,0.00583804051166848,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087468228329222,0,0,0,0,0,0,0,0,0,0,0,0,0.0125772017474043,0,0,0,0,0,0,0,0.0472514668849893,0.0772190325903154,0,0,0.00574063021231366,0,0,0.0214500472561032,0.307519173500343,0,0,0,0,0,-0.0116056015086702,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0530524721017703,0,0,0,0,0,0,0,0.145860927278935,0,0,0,0.0287262464677196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715468200775814,0,0,0,0,0.0273444763318602,0,0.0213179630201522,0.339664716298349,0,0,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.0792269810622915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970135555738386,0,0,0,0,0.0812590202879337,0.0297737136050502,0,0,0,0,0,0.00814507151383436,0.236164546872308,0,0,0.0678115984977507,0,0,0,0,0,0,0,0,0
