,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600660.SH,X600309.SH,X600489.SH,X000723.SZ,X600623.SH,X000792.SZ,X600299.SH,X002466.SZ,X601158.SH,X000898.SZ,X000959.SZ,X002075.SZ,X000983.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000883.SZ,X000937.SZ,X000630.SZ,X601699.SH,X600352.SH,X600549.SH,X000012.SZ,X000539.SZ,X000060.SZ,X000027.SZ,X600176.SH,X002092.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0277110726442359,0,0,0,0,0.00687476945164736,0.000606012779847877,0.0568078304510528,0,0,0,0,0,0,0,0,0,0,0.0285112411484548,0,0,0.0303963302145657,0,0,0,0,0,0,0.10468031782878,0,0,0,0,0,0,0,0,0.0572216302612456,0,0,0.006690708742656,0,0,0,-0.00886883790039265,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0478804139301009,0,0,-0.000966091041696232,0,0,0,0,0,0.00799114219195851,0,0,0,0,0,0,0,0,0,-0.0211416478976813,0,0,0,0,-0.0198012997269295,0,0,0,0.0444291088133084,0,0,0.143342906111954,0,0,0,0,0,-0.000116264504282407,1.73472347597681e-18,0,0,0,0,0.0759202620964549,0,0,-0.0152170545523853,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.192023740382661,0,0,0,0,0,0,0,0,0,0,-0.00635189709353384,0,0,0,0,0,0,-0.0391433052994498,0,0,0,0,0,0,0,0.0777034990600013,0.0483156757478014,0,0,0,0,0.0847053921593594,0,0,0,0,0,0,0,0,0,0.0136646743733058,0,-0.00593767287707347,-0.0693283468251283,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0312136058449646,0,-0.0449351103264108,0,0,0,0,0.0298103028143596,0,0,0,0,0,0,0,0,0,0,0.0371423901123273,0,0,0,0,0,-0.00644970565921731,0,0,0,0,0.102391651943248,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.00943561839893015,0,0,-0.0349382161940335,0.0431378829674247,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.290809144547131,0,0,0,-0.0357824816849273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115372562524271,0,0.0224654759409557,0,0,0,0,0,0,0,0.111895225429466,0.0584327235719727,0,0,-0.0255706480681114,0,0,0,0,0,0,0,-0.00194232836996918,-0.0117630834513401,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,-0.0392830293769218,0,0,0,0,0.0391965027267968,0,0,0,0,0,0,0.164164542977239,0,0,0.0221713946336328,0,0,0,0,0,0.0537163353947033,0,0,0,0,0,0,0,0,0,0.07915966439465,0,0,0,0,0,0,0.0406838620862257,0,0,0,-0.0319483589353554,0.0435676751941983,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164249209168289,0,0,0,0,0,0.0701993302515474,0,0,0,0.00418636405098306,0,0,0.0833853233185323,0,0,0,0,0.023592040064194,0,0,0.122193564158434,0,0,0,0,0,0,0,0,0.00958547813154825,0,0.125839272387595,0,0.016323023108202,0.0343519173433778,0,0,-0.0257504282331099,0,0,0,0,0,0,0
X601898.SH,0,0,0.201861810150163,0,0,0,0,0,0.02375738225963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133015487182229,0,0,0,0,0.0907291602683427,0,0.140535738583604,0,0,0,0,0,0,0,0.036014289459633,0,0,0,-0.0732009232065605,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.114478426278679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248397409631705,0,0,0,0,0,0,0,0.101550100649357,0.0237116158886979,0,0.160805472095484,0,0,0.123676536532424,0,0,0.1440447292679,0,0,-0.0210575374088437,-0.0257869252385346,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96741318796742,0,0,-0.00927126207782735,0,0,0,0,0,0,0,0,0,0,0,-0.059737149288228,0.0297576543628728,0,0,0,0,0,0,0,0,0.0397742261926721,0.0137080757820805,0,0,-0.00469265580037309,0,0,0,-0.189577887796488,0,0
