,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X601991.SH,X600309.SH,X600157.SH,X600027.SH,X600886.SH,X601992.SH,X600660.SH,X600111.SH,X600489.SH,X000898.SZ,X000959.SZ,X600299.SH,X601158.SH,X000709.SZ,X000792.SZ,X600583.SH,X000723.SZ,X600339.SH,X002466.SZ,X000408.SZ,X600098.SH,X000630.SZ,X000883.SZ,X600352.SH,X600219.SH,X000539.SZ,X600021.SH,X000825.SZ,X000027.SZ,X002092.SZ,X000983.SZ,X600623.SH,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.362116102279034,0,0,0,0,0,0,0,0,0.0230077645677512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505059400076324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043994669779793,0,0,0,0.0756255789220724,0,0,0,0,-0.000336204566828409,0,0,0,0,0,0
X600028.SH,0.659991835610399,0,0,0,0,0.239863431107764,0,0,0,0.00445617288582859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755007164707261,-0.073888266189483,0,0,0,0,0,-0.0293460717584952,0,0.0216506689494576,0,0.105431336003908,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0265843518855545,0,0.0895473330546172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852811314488969,0,0,0.105409245306387,0,0,0,0,0,0,0,0,0,0,0,0.0337502764188372,0,0,0,0,0,0.00451087239935106,0,0.0074263602813196,0,0,0.130183099831503,0,0,-0.0274696792651053,0.013884413400438,0,0,0,0,0,0
X600019.SH,0,0,0.190850977178715,0,0,0,0,0,0,-0.0624572441614632,0.0131611823354526,0,0.0297898649977072,0,0,0,0,0,0,0,0,0,0.0735768378917745,0,0.122112829189748,0,0,0,0,0,0,-0.0273609113995078,0,0,0,0,0,0,0,0,0,0.142274129518217,0,0,0,0,-0.0547964933501293,0,0,0,-0.0303584683271918,0.035487368113414,0,0,0,-0.126170822975989,0,0
X600011.SH,0,0.0306415067686857,0,0,0,0,0,0,0,-0.0280771614071336,0,0.308606237031884,0,0.023879173728556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0524953004476007,0,0,0,0,0,0,0,-0.0692595498480801,0,0,0,0,0,0,0,0.0554492365784962,0,0,0,0,0,-0.0101540749647809,0.0164514349332226,0,0,0,-0.0486659595226191,0,0
X600585.SH,0,0.188670141360001,0,0,0,0,0,0,0,0,0,0,-0.00902067882590768,0,0,0,0,0,0,0,0,0,0,-0.0620138151719139,0.147067556671708,0.0188930230725684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198545238008956,-0.0975762559489796,-0.00581169910327839,0.00634467322476288,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0438458098279567,0,0,0,0,0,0,0,0,0,0,0,0.157646281010611,0.0181329528880143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820067141960238,0.0159741858219879,0.0427568354335191,0,-0.0220313819914017,0,0,0,0,0,0,0
X601898.SH,0,0,0.093039985068809,0,0,0,0,0,0,0,0,0,0.0641102477219196,0,0.08751353629461,0,0,0,0,0,0,0,0,0,0.0105473251175018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116029660708167,0.188515074806831,0,0.158533438725397,0,-0.0473789899647772,-0.0154464503378644,-0.00158837349265438,0,0,0,0,0,0
X600688.SH,0,0.146929712144752,0,0,0,0,0,0,0,0,0.00300055796474443,0,0,0,0,0,0,0,0,0,0,0,0,-0.00591880222927563,0.00533293780271751,0,0,0.0750823006941938,0,0,0.209182913955943,0,0.0818288380465783,0,0,0,0.0671550538110901,0,0,0,0,0.107856737094144,0,0,0.0221730287461956,0,0,0,0,0,0.00450800104638869,0,0,0,0,0,0,0
X600547.SH,0,0.0496236125742458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485751712369329,0,1.00254054433174,0,0,0,0,0,0,0,0,0,0,0,0,0.00979634632042924,0,0,0,0,0,0,0,0.0121024880875374,-0.057453111382581,0,0,0,0,-0.042958163753489,0.0242778968411796,0,0,0,0,0,0
