,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X600688.SH,X601898.SH,X600795.SH,X601991.SH,X601600.SH,X600309.SH,X300072.SZ,X600660.SH,X600547.SH,X600362.SH,X600886.SH,X600188.SH,X600027.SH,X000709.SZ,X600339.SH,X002466.SZ,X600157.SH,X600111.SH,X000898.SZ,X601158.SH,X000959.SZ,X600489.SH,X600008.SH,X600299.SH,X002460.SZ,X000883.SZ,X600352.SH,X600219.SH,X600583.SH,X600176.SH,X002271.SZ,X600578.SH,X000723.SZ,X000630.SZ,X000539.SZ,X000408.SZ,X600021.SH,X000027.SZ,X000792.SZ,X600808.SH,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.243789700863844,0,0,0,0,0,0.0370875516141595,0,0.00777389398347511,0,0,0.139160397110218,0,0.0139754322598193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104099864005509,0,-0.0293657239305834,0,0,0,0.0368993971003546,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00889747495382811,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0656258112197509,0,0,0,0,0,0,0,0,0.0783379347720265,0,0,0,0,0.0605635213177145,0,0,-0.0577844792541591,0,0,0,0.0368188550418139,0,0,0,0,0,-0.0512232835449822,0,0,0,0.0782507499109902,0,0.00260357782697924,0,0,0,0,0,0,0,0,0,0,0,-0.00647159778921454,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0138651556000851,0,-0.0187383597335351,0,5.42101086242752e-20,0,-0.0270772143801844,0,0,0,0,0,0,0.0294854271715465,0,0,0,0,0,0,0,0.0787878007739621,0,0.0140960840465234,0,0,0,0,0,0,0,0,0,0.0118823159908081,0,0,0,-0.00451665722797562,0,0.157381025576381,0,0,0,0,0,0,-0.00290723164967293,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085350218749609,0,0,0.370591240838177,0,-0.0319883392800566,0.0195046684780957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130765507531884,-0.0215371684730128,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.11405851833633,0,0,0,0,0,0,0,0,0.30538540027381,0.0815258643263843,0,0,0,0,0,0,0.0166876107887019,0,0.0518280184481576,0,0,0,0,0,0,0,0,0,0,0,0,-0.036825155783129,0,0,0,0,0,0,0.0262039599569019,-0.0217878542253232,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.156321702924956,0,0,0,0,0,0,0,0,-0.0520185294679127,0,0,0,0.264849275665929,0,0,0,0,-0.00462267006269278,0,0,0,0.0250193400656784,0,0,-0.0347263450833624,-0.037714842558393,0,0.0976823223419911,0,0,0,-0.0906812156768327,0,0,0,0,0,0,0,0,0,0,0,-0.0649010164590173,0,-0.0102423131463992,0.00606066686090893,0,0,0,-0.285096491047946,0,0
X600010.SH,0,0,0,0.137313821865185,0,0,0,0,0,0,0,0,0.0828898452884343,0,0,0,0,0,0,0,0,0.0189522959339953,0,0,0,0.0802889167333585,0.110481350839047,0,0,0.00690419420664828,0.109365520553577,0,0,0,0,0,0,-0.0653951926256441,0,-0.0649788932692181,0,0,0,0,0,0.120466340422603,0,0,0,0,0.01000042116851,0.00318476319592977,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702601917373833,0,-0.0974270012869075,0,0,0,0,0.219964630108448,0,0.252315894961275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102214754171668,0.0157918025969748,0,0,0,0,0,0
X600688.SH,0.0658771248105733,0.0746848941914126,0,0,0,0,0,0,0,0,0,-0.0572942748221619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516358624322936,0,0,-0.0137586339117615,0,0,0,0.0769307484189976,0,-0.0214105325976959,0,0,0,0,0,0,0,0,0,-0.0394554812395855,0,-0.0177655729999525,-0.00706079688405798,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286968439264302,0,0,0,0.288266316005516,0,0,0,0,0.0231287563683485,0.0594056397276755,0,0,0,0,0,0,0,0,0,0,0,0,0.0985218386998606,0,0,0.0366341721122355,0,0,0,0,0,0,0,0,0,0,-0.0139870201465186,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0293086435811718,0,0,0,0,0,0,0.010033962660229,0,0,0.0596365061241533,0.00275307626590946,0.0211345529835862,0,0,0,0,0.0866375134906226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219124483384434,0,0,0.0170327260733896,0,0,0.0519208253097213,0,0.00221492273470137,0,0,0,0,0,0,0.0140765076281338,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409802306547631,0,0.0744953673526933,0,0,0,0,0,0.0228467872117944,0,0,0.131647853413303,0,0,0,0,0,0,0,0,0,0,0.0392381569023061,-0.0169902027257075,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0469390930520831,0,0,0,0.0710434285370714,0,0,0,0,0,0.502611109613757,0,0,0.273576730774473,0,0.154872771637657,0,0,0,0,0,0,0.0254029699912784,0,0,-0.00456643471155958,0,0,0.00546211635214164,0,0,0,0,0,0,0,-0.0709420860758284,0.0620340943134402,0,0,0,0,0,-0.00761459643653006,0.0102165498619051,0,0,0,0,0,0
X600309.SH,0,0,0,-0.273979936723778,0,0,0,-0.0655257551259181,0,0,0,0,0,0,0.190155503996926,0,0,0,0.0379639590655845,0.216850934710844,0,0.0869927130662618,0,0,0,0,0,0,0,0,0,0,-0.0136528936852481,0,0,0,0,0.260593086696566,0,0,0,0,0,0,0,0,0.230556185949107,0,0,0,-0.00457057638913591,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,-0.560413031116773,-0.0423431046485647,0,0,0,0,0,0,0,0.659330511051265,0,0.405707317678691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235638957867715,0,-0.137813365313677,0,0,0,0,0,0,0,0,0,0,-0.0107312338161824,0,0,0,0,0,0,0.107463491694569,0.0165560685164955,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.132284699646849,0,0,0,0,0,0,0.0773942136716655,0,0.0639210311631684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883654736378358,0,0,0,0.0412149669691254,0,0,0,0,0.0499241188543617,0,0,0.0343468319676898,0,0,0,0,-0.159587667617162,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135629502938147,0,0,0,0,0,0,0.0793874627400661,0,0,0,0,0,-4.33680868994202e-19,0,0.208990668872394,0.0192181009459274,0,0,0,0,-0.37613561900499,0,0.0676463464089544,0,0,0,0,0.025088892617895,0,0,0,0,0.153754446077852,0,-0.0313862172937286,0.0669442494246918,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.130021631883143,0.0863200554131404,0,0,0,0.0104038672318505,0,0,0.0562453667899414,0,0,0,0.168208193221364,0,0,0.312872947302979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189081303925598,0,0,0,0,0,0,0,0,0,-0.0264545151578084,0,0,0,0,0,0
X600886.SH,0,0.0530467841861529,0.125164878392046,-0.0352562344763586,0.0082108762992484,0,0,0,0,0,0.0821816690809481,0.0819795754399076,0,0,0,0,0,0,0,0,0,0.0579351841587085,-0.00779658433046894,0,0,0,0,0,-0.0201020079299537,0,0.0401467711362151,0,0.0601973037602921,0,0,0,0,0,0,0.0882186966751122,0,0,0,0,0,0,0,0,-0.128157752729658,0,0.0371680333811716,-0.0247362929857612,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0237516677536895,0,0.152045511333812,0,0.0184830849534086,0,0,0,0,0,0.144107980446276,0,0,0,0.13985367210596,-0.0450950136442071,0,0,0,0,0,0,0,0,0,0.0204545988841655,0,0,0,0,0,-0.0942159444472386,0.0605185336822603,0,0,0,0,0,0,0,0,0,0,0.000728715491718057,0,0,0,0,0,0,0
