,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600795.SH,X600688.SH,X600309.SH,X600660.SH,X300072.SZ,X601600.SH,X601991.SH,X600547.SH,X600188.SH,X600886.SH,X600362.SH,X600027.SH,X000709.SZ,X002466.SZ,X600157.SH,X600339.SH,X600111.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600008.SH,X600299.SH,X002271.SZ,X000883.SZ,X600176.SH,X600352.SH,X600219.SH,X600578.SH,X002460.SZ,X000723.SZ,X600583.SH,X000408.SZ,X000630.SZ,X000539.SZ,X600021.SH,X000027.SZ,X000792.SZ,X000786.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.225105882571415,0,0,0,0,0,0.0134246124658294,0,0,0,0,0,0,0.157159190657527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265930775071665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465184333068314,0,0,0,0,0,-0.00465786161534172,0,0,0,0,0,0,0
X600028.SH,0,0,0.0244583049697127,0,0,0.0224712658604105,0,-0.0274976226671486,0,0,0.119163958243817,0,0,0,0,0,-0.122738797578388,0.0436480596483544,0,0,0,0,0,0,-0.0542135379589299,0,0.0754981437638824,0,0,-0.065995270700802,0,0,0.0525651460212011,0,0,0,0,0,-0.0385010085521011,0,0,0,0,0,0,0,0,0,0,0,-0.00891964726736579,0.00521369808225589,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680579030882044,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186995569378425,0,0,-0.00772076166400049,-0.00956711411188644,0,0,0,0,0,0
X600019.SH,0,0,1.73472347597681e-18,0,0,0,0,0,0.0802955681753674,0,0,0,0.0139956625897077,0,0,0,0,0.118474331255956,0,0,0,0,0,0,0.10828067018576,0,0.321579460312617,-0.0406762448111144,0,0,-0.00638875486097293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.00209240385461079,0,0,0,0,0,0,0
X600011.SH,0,0,0.12697984948222,0,0,0,0,0,0,0,0,0,0,0.00298758065912016,0,0.181145304071612,0,0,0,0,0.130986580998462,0.0103567487015544,0,0,0.0951948584370089,0,0,0,0,0,0.0864549443881948,0,0,0,0,0,0,0.12587698898363,0,0,0,-0.119502446005011,0,0,0.255795388534165,0,0,0,0,0,0.0287024180458654,-0.00928023351911065,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0563083756334231,0,0,-0.0228996289905095,0,0,0,-0.0715503108916748,0,0,0,-0.0704714567941525,0,0,0,0,0,0,0.0956483222020981,0,-0.135653024712782,0,0.0869928298892563,0,0,0,-0.0604439924293038,0,0.0219645718438658,0,0,0,0,0,0.0304051385114529,0,0,0.204333005263567,0,0,0,0,0,0,0,0,-0.0244779314831877,-0.012699337684254,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159528913723371,0,0,0,0,0.0398394340207042,0,0.00416173955383715,0,0,0,0,0.114533539679153,0,0,0.0219688960277171,0.0861482281213146,0,0,0,0,0,0,-0.0322556370189054,0,0,0,0,0,0,0,0.162459716065965,0,0,0,0,0,0.0115048304007223,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0890477454106941,0,0,0,0,0,0,0,0.669683038140609,-0.0974018220754531,0,0,0,0,0,0,0,0.377319936106941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149290753567107,0,0,0,0.0688516472525543,0,0,0,0,0,0
X601898.SH,0,0,0.0834026342984421,0,0,0,0,0,0,0,0,0.0328314551540858,0,0,0,0,0,0,0,0.350577834332819,0,0,0.0319997968057588,0,0.0279010295451611,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0381846729215711,0,0,0.090518640843219,0,0,0,0,0,0,0,0,0,-0.0140944688258096,-0.00364377520692814,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.127941988049606,0,0,0,0,0,0,0.0572873415369562,0,0.0193823025190935,0,-4.33680868994202e-19,0.0335575569083257,0,0,0,0.0140033382235806,0.0386720844358694,0,0,-0.00380522022412186,0,0,0,0,0,0,0,0,0,0,0,0,0.0322959873978026,0,0,0,-0.0609325907362442,0,0.146423344848809,0,0,0,0,0,0,-0.00441685008521058,0.0159293361627524,0,0,0,0,0,0
X600688.SH,0.160216383224227,0.253373483527332,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284521666658855,-0.0437022871933147,0,0.016329278964729,0,0,0,0,0,0.0136487130360779,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00400571214807423,0,0,0,0,0,0,0,-0.038508896403496,-0.00914316318829006,0,0,-0.020153373044224,0.00736662443807301,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0543120640300984,0,0,0,0.242599727254741,-0.0823770634028025,0,0.0813922562166823,0.0577650609021019,0,0,0,0,0,0,0,0,0,0,0,0,0.0154219895166099,0,0,0,0.127461864770927,0,0,0,-0.0650676539358267,0,0,0,0,0.197618314486905,0,-0.10869742337452,0.42727246233586,0.0282699978512877,0,0,-0.0196285505059117,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.196994210991248,0,0,0,0,0,0,0,0.11699566571845,0,-0.114886355288359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0578818717518861,0,0.128389908467315,0,0,0,0,0,-0.00841054698785885,0,0,0,0,0,0,0,0,0,0,0,-0.0233350208627573,-0.0153353268768013,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0.815058773281925,0.0684831601649755,0,0,0,-0.109324433994286,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.129124290447363,0.244397301583804,0,0.152948892688548,0,0,0,0,0,-0.200865140253888,0,0,0,0,0,0,0,0,-0.223307927001224,0,0,0.0703415995265936,0.0826323677527971,0,0,0,0,0,0
