,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X002466.SZ,X600660.SH,X600688.SH,X600362.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X601991.SH,X600547.SH,X600886.SH,X600176.SH,X600516.SH,X600111.SH,X000898.SZ,X000786.SZ,X000709.SZ,X002271.SZ,X600352.SH,X000792.SZ,X000825.SZ,X600027.SH,X000553.SZ,X600299.SH,X601699.SH,X000408.SZ,X601158.SH,X600808.SH,X600219.SH,X600489.SH,X000830.SZ,X600426.SH,X000883.SZ,X000959.SZ,X002110.SZ,X000630.SZ,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.175690467203497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155531611248578,0,0.0248830474125968,0,0,0,0,0,0,0,0.0281553016804,0,0,0,0,0.0311119281071056,0,0,0,0,0,0,0.0561912641657077,0,0,0,0,0,0,0,0,0,0,-0.00938830178121938,0,0,0,0,0,0,0
X600028.SH,0.329422896310245,0,0.14388335124541,0,0,0,0,0,0,0.0561009162992128,0,0,0.0876371376528122,0,0,0,0,0,0,0.150489560961707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387422947325871,0.0307601155257529,0,0,0,0,0,0
X601088.SH,0,0,0,0.133408584184134,0,0,0,0,0,0.145105682353567,-0.0726802298678865,0,0,0,0,0,0,0,0,0.0147919449469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217817279625997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00448947458201356,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.283659876494153,0,0,0,0,0.323448075386683,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0694498572136733,0,0,0.0550881171175154,0,0,0,0,0,0.0525105684665202,0,0,0,0,0,0,0,0,0,0,-0.0465552410458995,0,0,0.0540529441216944,0,0,0,0.0374478087269831,-0.0501010424541928,0,0,0,0,0,0
X600585.SH,0,0,0.0404749127926124,0.211632243071292,0,0,0,0,0,0.00888601736089061,0,0,0,0.0129823729552204,0,0,0,0,0,0,0,0.0515259439223604,0,0,0,0.337731923955999,0,0,0,-0.0633947511050437,0,0,0,0,0.282256104322967,0,0,0,0,0,-0.0103773610571823,0,0,0,0,0,0,0,-0.00431014392259651,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.180151989239798,0,0,0,0,0,0,0,0,0.0256644390970242,0,0,0,0,0.0684516382147796,0,0,0,0,0,0.0317871563670991,0.0544240832817751,0,0,0.098005449353746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047059340147348,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216439568606963,0,0,0,0,0,0.099758040939001,0,0,0,0,0.0332523822520205,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749580789805942,0.0422135152590666,0,0.042718251405016,0,-0.000365955589977846,0,0,0,0,0,0,0
X601600.SH,0,0,0.0953434336838059,0,0,0,0,0,0,0,0,0,0,0,0,-0.48810895748266,0,0,0,0,0,0,-0.0256095429506024,0,0.216698350743244,0,0,0.0624871944501633,0,-0.00529394772087502,0,0,0,0,0.171356403072557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140882459968915,-0.245630006188771,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.0947060685878883,0,0,0,0.243150010701293,0,0,0,0.077211662639551,0,0,0,0,0.00284227970930013,0,0,0,0,0,0,0.0952283132487578,0,0,0,0,0.172821739023213,0,0,0,0,0,0,0,0,0.0821999370778348,0,0,0,0,0.00206161098672191,0,0,0,0,0,0,0
X600188.SH,0,0,0.0861846057421873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190759782693452,0,0,0,0,0,0,0,0,0.554242283326321,0,0,0,0,0,0.101880448233754,0,0,0,0.0105324274353537,0,0,0,0,-0.00467679264667323,0,0,0,0,0,0
