,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600188.SH,X601898.SH,X600688.SH,X601991.SH,X600362.SH,X002466.SZ,X600660.SH,X600547.SH,X600795.SH,X601992.SH,X300072.SZ,X002460.SZ,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000786.SZ,X600176.SH,X000792.SZ,X000553.SZ,X000709.SZ,X600352.SH,X000825.SZ,X600027.SH,X600299.SH,X600489.SH,X002271.SZ,X000408.SZ,X601158.SH,X601699.SH,X600219.SH,X002470.SZ,X000883.SZ,X600157.SH,X600583.SH,X600808.SH,X600315.SH,X000630.SZ,X600426.SH,X002408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.120979876056727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172177800560222,0,0,0,0,0,0.055867739276888,0,0,0,0,0,0.0287306370166253,0,0,0,0,0,0,0,0,0,0,0,0.0379641820750978,0.0638997716730114,0,0,0,0,0,0.0051835414680011,0.00589996911275656,0,0,0,0,0,0
X600028.SH,0.211591334098106,0,0.224541032204723,0,0.0230645285054237,0,0,0,0.0228022013699687,0,0.119268983866592,0,0,0,0,0.11997847576643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244263554289596,0,0,0,0,0,0,0
X601088.SH,0,0.109446470531256,0,0.205428258145151,0,0,0,0,0,0,0,0,0,-0.00842442048991685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142136120709555,0,0,0,0,0.397334898770768,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181301781951449,0,0,0,0,0,0
X600019.SH,0,0,0.219319445728613,0,0.149172208211037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301761961885413,0,0,0,0,0.267949667406164,0,0,0,0,0,0.195855028775965,0,0,0,0,0,0.0292200177078879,-0.0250993488384228,0,0,0,0,0,0
X600585.SH,0,0,0.284259180497837,0.20902386608724,0,0,0,0,0.145957557401774,0,0,0,0.0702207806898426,0,0,0,0,0,0,0,0,0,0,0,0.098828813153949,0.00310537018137609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372895715171825,0,0,0,0,0.0276116847114035,0,0,0,0.0123332463292394,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.00921538668575723,0,0,0,0,0,0,0,0,0,0,0,0.125913559120551,0,0.0228033690686234,0.0941399856720555,0,0,0,0,0,0.0766418256603065,0.00522171744404955,0,0,0,0,0,0,0,0,0,0,0,0.0260172550380689,0.0471734263307263,0,0,0,0,0,-0.00749726369273549,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.130689704102939,0,0,0,0,0,0,0,0,0,0,0,0,0.0445200945107238,0,0,0.0281046995111299,0,0.128298084309555,0,0,0,0,0.0834723938787447,0,0,0,0.331324969668771,0,0,0,0,0,0.103002216319226,0,0,0,0,0,0,0,0,0,0,0,-0.0209728044531785,-0.024334750002187,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.638723269225958,0,0,0,0,0,0,0,0,0,-0.123165695561605,0,0,0,-0.319812343422173,0,0,0,0,-0.0383512487689387,0,-0.330227762711149,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.353304447600228,0,0,0,0,0,0,0,0,0,0.0649589075101614,-0.0840289057766027,0,0,0,0,0,0
X600188.SH,0,0,0,0.132048093437813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136024977839857,0,0,0,0.156954357103214,0,0.217288784686852,0,0,0,0.123411900163349,0,0,0,0,0,0,0,0.419880433560334,0,0,0,0,0,0.104318043954183,0,0,0.072315333003452,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0953472489306332,0,0,0,0.218536258601547,0,0,0.0126913890794157,0,0,0,0,0,0,0,0,0,0,0.0862153160350689,0,0,0,0.0439095311696261,0,0,0,0,0,0,0.0816724202680785,0,0,0,0,0.120236007104255,0,0,0,0,0,0,0.000640759601106578,0,0,0,0,0,0,0
X600688.SH,0,0.41875216041863,0.0300454065726618,0,0,0,0.0341250054060102,0,0,0,0,0,0,-0.0144586833073884,0,0,0,0,0,-0.0123071752086447,0,0,0,0,0,0,-0.0206401229343659,0,0,0,0,0.0340211914686884,0,0,0,0,0,0,0,0.0137367016187025,0,0,0.142067846857657,0,0,0,0,0,0,0.0125793999722548,0.0521022535929067,0,0.100008125124215,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0315393999077756,0,0,0,0,0,0,0,0,0,0,0.0613196278776822,0,0,0.0896345993741519,0,0.115542644457519,0,0,0,0.00842050321966043,0,0,0,0.00411528159856073,0,0,0,0.0397826558386206,0,0,0.0437394554431412,0,0,0,0,0,0.0701405894323704,0,0,0,0,0,0.00377384005923055,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.000551326087391358,0.145410329232159,0,0,0,0,0,0.178373902123108,0,0.0329094694063186,0,0,0,0,0,0,0,0,0,0,0,0.134190732499058,0,0,0,0,0,0,0,0.375951708070652,0,0,0,0,0.0124222305878679,0,0,0,0,0,0,0.0388300594809394,0.0675320139466632,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0914305248148256,0,0,0,0.465081447651131,0,0,0.118411075454705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029289597527989,0,0,0,0,0,0,0,0,0,0,-0.0111581859952608,0,0,0,0,0,0
X600660.SH,0,0,0.0625147543410849,0,0,0,0,0,-0.0345276489957042,0,0,0,0,0,0,0.0409434818599901,0,0,-0.0335550971594243,0.0722490597714481,0,0,0,0,0,0.147787441413243,0.0227180963114363,0.0412425626541439,0,0,0,0,0,0,0,0.0431290394177067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345342020149468,-0.0102513696239555,0,0,0,0,0,0
