,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X600688.SH,X600188.SH,X601991.SH,X600795.SH,X600886.SH,X600362.SH,X002466.SZ,X000898.SZ,X600516.SH,X600547.SH,X600027.SH,X601992.SH,X600111.SH,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X300072.SZ,X000786.SZ,X600801.SH,X000932.SZ,X000709.SZ,X000629.SZ,X600808.SH,X600426.SH,X600339.SH,X600583.SH,X000883.SZ,X601158.SH,X600219.SH,X601699.SH,X000830.SZ,X600985.SH,X002271.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206778745057108,0,0,0,0,0,0,0,0,0,0,0,0,0.0877604743528251,0,0,0,0,0.117280056396196,0.207122208050938,0,0.0332326237540798,0,-0.0371884378600449,0.00332422473571433,0.00673828275515407,0,0,0,0,0,0
X600028.SH,0.0952502419512992,0,0.171113800668157,0,0,-0.0003443019674854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125373147480234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,-8.67361737988404e-19,0.101525326066358,0,0,-0.002131161059305,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.193043477978428,0,0,0,0.354251935783661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816009289088849,0,0,0,0,0,-0.00154720093179807,-0.0164540394764609,0,0,0,0,0,0
X600585.SH,0,0,0.0265815048103806,0,0.128843568376022,0.00898041197828225,0,0,0,0,0,0,0,0,0,0,0,0.0709147201679374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289152152959385,0.266525796762939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0048745130999827,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.0612839004085546,0,0.113098607740192,0,0,0,0,0,0,0,0,0,0,0,0,0.180289365070264,0,0,0,0,0,0,0,0,0,0.112632262053273,0,0,0,0,0.304980984894745,0,0,0,0,0,0,0,0,0,0,0,0,0.0452485293453638,0,0,0.00596378382372419,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.282267274383155,0.304288158392502,0,0,0,0,0,0,0,0,-0.0911193823601834,0.113815588339312,0,0.227814757302567,0.0854077141081048,0,0,0,0,0.106646259782336,0,0,0,0,0,0,0.15941536499948,0,0,0,0,0.0150406800122384,0.0209461958693586,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0471166051665935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765554976816689,0,0,0,0.0069007244568753,0,0,-0.0175570498889522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450021988365886,-0.0249259489909109,0,-0.0553298173288895,0,0.00707971691764735,0.0223300288988151,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243224129684387,0.206831444940205,0,0,0,0,0,0,0,0,0,0.00234365356177962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239973951984399,0,0.0359327011264476,0.0408267052263719,0,0,-0.0226873715089423,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.158077290550128,0,0.0260862873479049,0,0,0,0,0,0,0,0,0,0.0440508610627712,0,0.0304104352822233,0,0,0,0.0852092747570267,0,0,0,0,0,0,0,0,0,0.0270261190814633,0,0,0,0,0,0.203943695560183,0.0248088538706561,0,0,0,-0.00470184664133838,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145254314668583,0,0,0,0.0526201697012655,0,0,0,0,0,0,0,0.103823923886428,0,0,0,0,0,0,0,0.126329843096039,0,0,0,0,0,0,0,0,0.130977712306724,0,0,-0.00822638519578128,0.00503967109360863,0,0,0,0,0,0
