,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600188.SH,X600362.SH,X601992.SH,X002466.SZ,X000898.SZ,X600176.SH,X600111.SH,X600516.SH,X002460.SZ,X000709.SZ,X600299.SH,X600352.SH,X600489.SH,X600808.SH,X601158.SH,X000629.SZ,X600801.SH,X600219.SH,X000786.SZ,X300072.SZ,X000825.SZ,X000883.SZ,X000553.SZ,X600583.SH,X000539.SZ,X000408.SZ,X000792.SZ,X601699.SH,X000301.SZ,X600339.SH,X002271.SZ,X600612.SH,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.294996032140039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818348803180922,0,0,0,0,0,0.121230649446337,0,0,0.0228405021313648,0,-0.0200319420099168,0.00382335306921788,0,0,0,0,0,0
X600028.SH,0.205102583132308,0,0,0.121381222510889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320347657039797,0,0,0,0,0,0,0.104593226292664,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.247085399325617,0.0921166151055391,0,0,0,-0.00651590139530103,0.0857039434825195,0,-0.0276042459630853,0,0,0,0
X601088.SH,0.277989803922005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920879186272676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275411289431703,0,0,0,0,0,0,0,0,0,0,0,0,0.0288811647452204,0.038507762803192,0,0,0.160140902118328,0,-0.000851478068065887,0,0,0,0,0,0,0
X600585.SH,0,0,0.252566122566917,0,0,0.239374573865444,0,0,0,0,0,0,0,0.0309899088063092,0,0,0,0,0,0,0.0864884651207646,0,0,0,0,0,0,0,0,0,0,0,0,0.377405706874013,0,0,0,0,0,0,0,0,0,0.0654719964778527,0,0,0,0,0,0,0,0.00857452916758367,0.0182528349511321,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0122205854086874,0.153188779916057,0,0,0,0,0,0,0,0,0,0,0.00794985379027389,0,0,0.0659230489686819,0.300335769165224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416105314177931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0.0332065766626236,0,0,0,0,0,0,0,0,0,0,0,0,0.499672483196178,0,0,0,0.164289250614617,0,0,0,0,0,0,0,0.0428059725569878,0,0,0,0,0,0,0.0271323554608176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00359741658308158,0.0387823870300343,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.269460107707643,0,0,0,0,0,0,0,0,0,0,0,0.231512506732584,0,0,0,0,0,0,0,0.328333244840073,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0444918459269426,0.0913173996574464,0,0,0,0,0,0
X600010.SH,0.124890288428664,0,0,0,0,0.0110297009285918,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131668646736189,0,0,0,0.270470474631349,0,0,0,0,0,0,0,0,0.105375191961762,0.0474535689246426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126630660247161,-0.0174123270702813,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0462469776595561,0.0094629203074228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968461331525122,0,0,0,0,0.0585491831993375,0,0,0,0.553280028206755,0,0,0,0,0,0,0,0.201818131518671,0,0,0,0,0,-0.0441721458189109,0,0,0,0,0,0,0,0.00398082097881138,0.0190532164018311,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306111864545654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186658531391683,0.218049269639069,0.235427618981255,0,0,0,0,-0.000278273535917742,0,0,0,0,0,0,0
