,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.322207085067707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164071384389489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776309131964389,0,0,0,0,0.0278932776925906,0,0,0.0289231227755036,0,0.0175532886769786,0,-0.00987873944375768,0.00261023042661613,0,0,0,-0.0100144822345252,0,0
X600028.SH,0.327736981347732,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,0,0,-0.161057975805829,0,0,0,0,0,0,0,0,0,0,0.00450182528467558,0,0,0,0,0,0,0,0,0.115973713735982,0.180254732757161,0,0.10523980003177,0,0,0,0,-0.070805724459955,0,0,0,0.0173726811954888,0.0951605361134092,0,0,0,0.0528246427411864,0,0
X601088.SH,0,0,0,0,0,0,0.0859206563906754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18174689384666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163375415760956,0,0,0,0.0179592774099113,0,0,0,0,-0.0311067019581809,0,0,0,0,0,0,0.00822133695986454,0.00746261709569015,0,0,0,0.0755910342203852,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52362759105747,0,0,0,0,0,0,0.0581169850677123,0,0,0,0,0,-0.113213720444074,0,0,0,0,-0.0113445509465947,0.0111731899985532,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404144440982721,0.0889919807295532,0.0706677448593974,0.0282156797432952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214585303373114,0,0,0,0,0,0,0,0,0,0.0123761081679546,0.0239440968622564,0,0,0,0.0543078977088524,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497162470678896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998565562789839,0,0.128796176721743,0,0,0,0,0,0,0,0,0.00304510999590327,0,0,0,0,-0.0309424099417249,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288823894772317,0,0,0,0,0,0,0,0.103499510518444,0,0,0,0,0.310696298132961,0,0.0868135171402064,0,0,0,0.326637270127345,0,0,0.0307698668529001,0,0,0,0,0,0,0,0,0,0,0,0.0395261314092326,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424817195643783,0,0,0,0,0.0987444117322907,-0.196113029844912,0,0.181307944649324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22465931133055,0.0694428405095244,0,0,0,0,0,0,0,0,0,-0.0100517886417774,0.0263011316205315,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.0178861322789691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821867015303278,0,0.0104624784347709,0,0,0,0.642341320093653,0.0268794521739938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968137770702856,0.0282401095140745,0,0,0,0,0,4.33680868994202e-19,4.33680868994202e-19,0,0,0,0.0103972749823415,0,0
X601898.SH,0,0,0,0,0,0,0.108332730351445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493686055329881,0.0853145053708062,0,0,0,0,0.0253619951586146,0,0,0.0266559586772334,0,0,0,0,0,0,0.00382220204643341,0,0.0237944324030571,0.00323806880928247,0,0,0,0,0,0,0,0.0764767667557288,0.0701297295015521,0,-0.00904678841802371,0.019746534520585,0,0,0,0,0,0
