,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X600886.SH,X601898.SH,X601991.SH,X600660.SH,X600362.SH,X600795.SH,X600688.SH,X600188.SH,X600111.SH,X600352.SH,X600027.SH,X600801.SH,X000723.SZ,X601992.SH,X600489.SH,X002271.SZ,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X000709.SZ,X002460.SZ,X000629.SZ,X600299.SH,X002466.SZ,X000883.SZ,X601158.SH,X600219.SH,X002353.SZ,X600426.SH,X601699.SH,X600612.SH,X000630.SZ,X600583.SH,X000553.SZ,X600021.SH,X000401.SZ,X000027.SZ,X600985.SH,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503361530869217,0,0,0,0,0,0,0,0,0,0.00666065095684458,0,0,0.0439744217508232,0.0222664401964564,0.0642111776931594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0049255160587314,0.0355229959176233,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0529978720376702,0,0,0,0,0,0,0,0,0,0,0,0.0694756079307262,0,0.0340594989967012,0,0,0,0,0,0,0,0,0,0.00696876202287556,0,0,0,0.0474327842731435,0,0,0,0,0.0354957262476159,0,0,0,0,0,0.0458659075212652,0,0,0,0,0,0,-0.021970829600992,0.0286501355879244,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0304252706999024,0,0,0,0,0,0,0,0,0,0,0,0.0151949045015006,0,0.0798370736189792,0,0,0.0154575166484805,0,0,0,0,0,0,0,0,0.0314583810813268,0,0.0404827471277172,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.032193132877331,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0544221906794635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355441158142752,0.0790186111864841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062919816814794,0,0,0,0,0,0,0,0,0,-0.011801798103116,0,0,0,0,0.0108558570653083,0,0
X600019.SH,0,0,0,0,0,0,-0.0334425885426767,0,0.0794331115218834,0,0,0,0,0,0,0,0,0,0,0.148246293042011,0,0,0.0156049648009131,0,0,0.0713531371178908,0,0,0,0,0,0.0504075327332319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153147929359839,0,0,0,0.0150799581437949,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0599331506509531,0,0,0,0,0,0,0,0,0,0.074560610718144,0.156320375067666,0,0,0,0,0,0,0,0.0319894969644796,0,0.0538831902287656,0,0,0,0,0,0.0362220117983716,0,0,-0.0488906178551831,0,0,0,0,0,0.178567786499176,0,0,0,0,0,0,-0.0153881967142884,0.00066985043575539,0,0,0,0.197793954399342,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.155553775071929,0,0.279373747637677,0,0,0,0,0,0,0,0,0,0.139156913224462,0,0,0,0,-0.189929692876887,0,0,0,0,0,0,0.0492427350835774,0.147256460692416,0,0,0,0,0,0,0,0,0,0,-0.128203725787891,0,0.0732163353837843,0,0,0,0,-0.0270213087464,-0.0176546139398884,0,-0.00360586212074637,0,0.11422727373596,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152039752356784,0,0,0.75404329063045,0,0,0,0,0,0,-0.0147120060880851,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.213297494744597,0,0,0.024694478646932,0,0,0,0,0,0,-0.0511323640271278,-0.00501202207433248,0,0,0,-0.0617124797591168,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.20041071412533,0,0,0,0,0,0,0,0,0.119197369658015,0.0315773788598454,0,0,0.103112580191108,0,0,0,0,0,0,0.136963714896324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437668081926421,0,0,0.011662418057852,0,0,0,0,0.0365958055959918,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.13081834904545,0,0,0,0,0,0.0436632564138076,0,0,0,0.0479160086269575,0,0,0,0.0350907307717835,0,0,0,0,0,0,0.0188800011769374,0,0.0649856084358374,0,0.106288298982834,0.00369303320802861,0,0,0,0,0.215585342491941,0,0,0,0,0,0,0,0,0,0,0,0.00695941404222552,0,0,0,0,0,0,0
