,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X601991.SH,X600362.SH,X600795.SH,X600352.SH,X600688.SH,X600111.SH,X600801.SH,X000723.SZ,X600027.SH,X601992.SH,X600489.SH,X000786.SZ,X002271.SZ,X000898.SZ,X600176.SH,X600516.SH,X600612.SH,X600299.SH,X000709.SZ,X002460.SZ,X600426.SH,X601158.SH,X002466.SZ,X000883.SZ,X000629.SZ,X600219.SH,X002353.SZ,X000630.SZ,X000027.SZ,X600583.SH,X000825.SZ,X600315.SH,X000553.SZ,X601699.SH,X600985.SH,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208166599683448,0.00395200404751455,0,0,0.0344661811652357,0,0,0,0,0,0,0.0253367528955198,0.0917220425994289,0,0.0607299287996313,0,0.00408680426879186,0,0,0.00150906478289352,0,0.0663287163365552,0,-4.33680868994202e-19,0,0,0.105760506132846,0,0,0,0,0,0,0,-0.00142927288865213,0,0,0,0,0,0,0
X600028.SH,0,0,0.00361338586593147,0,0.0803051125848375,0,0,0,0,0,0,0,0,0.0975974813531515,0,0,0,0.0222437619974336,0,-0.0116735632099269,0,0,0,0,0,0,0,0,0,0,0,0.0463104563537707,0,0,0,0,0,0,0,0,0.0263225886017253,0,0,0,0,0,0,0,0,0,0,-0.0230121900410357,0.0214431527405892,0,0,0,0,0,0
X601088.SH,0,0,0,0.286968133004288,0,0,0,0,0,0,0,0,0,0.136158355784269,0,0,0,0.0705085344230177,0,-0.038357906388163,0,0,0,0,0,0,0.0143192050411693,0,0,0,0,0,0,0,0,0,0,0.165127864279753,0,0,-0.0750801255606421,0,0,0,0,0,0.0186049616898487,0,0,0,0,0,0.00621320300376382,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00393978658802197,0,-0.018492698076071,0.41399089909905,0,0,0,0,0,0.275222374998525,0,0,0,0,0,0,0,0,0,0,0,0.0127558739160405,0,-0.0376129461832769,0,0,0,0,0,0,0,0.0722494306555261,0,0,-0.013310632790435,0.0198229351812201,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.0408699509234201,0,0,0,0,0,0,0.00897466446399169,0,0,0,0,0,0,0.141240465416655,0.0836579191208855,0,0,0,0,0.0600221586851278,0,0,0.0956160209244111,0,0,0,0.0823506836242235,0.0481426320254844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016371376435844,0.0139424942880766,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.087761610627874,0,0,0,0.08942107977569,0,0,0,0.125961429298289,0,0,0,0,0.0420475525973123,0,0,0,0.0118582522133095,0,0,0,0,0,0,0,0.0406331975198673,0,0,0,0,0,0,0,0,0.0161772865486329,0,0,0,0,0,0.0402104829469664,0,0.0808712549981443,0,0,0,0,0,0.00423398852764107,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256681306781954,0,0,0,0,0,0,0.643881023989119,0,0,0,0,0,0.0189560482768852,0,0,-0.0879045189450814,0,0,0,0,0,0,0,0,0,0,0,-0.205245653074076,0,0,0,0,0,-0.022334024721477,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.0149449405138032,0,0,0,0,0,0,0,0,0,0,-0.0834194748094911,0,-0.110305542245107,0.099524368662783,0,0.544089825008912,0,0,0,0,0,0,0,-0.0471264607437646,0,0,0,0,0,0.0608254327155729,0,0.101614238136918,0,0.115296881827965,0,0,0,0,0,0,0,0,0,0,-0.00161001511471839,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,-0.0102421749982252,0,0,0,0,0.0611490089230792,0,0.0670467798359745,0,0,0,0,0,0.0581500869198587,0,0.0825605825001616,0,0,0,0,0,0,0,0.0257819187379555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107334816088346,0,0.1569765830671,0,0,0.0117005497582298,-0.00650254667827906,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,-0.0117281588280184,0,0,0,0,0,0,0.102808195785353,0,0,0,0.057822665653917,0,0,0,0.0677673080889938,0,0,0,0,0,0,0,0,0,0.0174112813428087,0,0.113344876101689,0,0,0,0,0,0,0,0,0,0,0.235448923199185,0,0,0,0,0,0,0.0150085045773661,0,0,0,0,0,0,0
