,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X600801.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X000786.SZ,X002271.SZ,X600111.SH,X600027.SH,X601992.SH,X002460.SZ,X002466.SZ,X000723.SZ,X600176.SH,X002353.SZ,X600516.SH,X600583.SH,X000898.SZ,X600299.SH,X600489.SH,X600426.SH,X000709.SZ,X601158.SH,X000883.SZ,X600219.SH,X600612.SH,X000792.SZ,X000629.SZ,X000553.SZ,X000027.SZ,X000825.SZ,X000630.SZ,X600808.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0243665470935873,0.116432362180022,0,0,0,0,0,0,0,0,0,0.0907564560369567,0,0,0,0,0.0932132692819038,0,0,0,0,0,0.0558897039569483,0.00467371965793363,0.0657710705858137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161429301404864,0,0,0,0,0.0135218818776718,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0552427086030606,0.0216731986657689,0,0,0,0,0,0.0978563168034184,-0.00704568027665054,0,0,0,0,-0.0399968688414711,0,0,0,0,4.33680868994202e-19,0,0.0880010289610038,0,0.022578966317732,0,0.0386728462614275,0,0,0,0,0,0,0,0,0,-0.0338294145587208,0,0,0,0,0,0,0,0,-0.00275157798918357,0.00928992824519199,0,0,0,0,0,0
X601088.SH,0,0,0,0.127602522881531,0,0.340863994397271,0,0.0383945892585835,0,0.091381459249833,0,0,0,0,0,0,0.0422449394530261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323678280691138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424064071567869,0,0,0,0,0,-0.00583320161596079,2.16840434497101e-19,0,0,0,-0.0328539582367161,0,0
X600585.SH,0,0,0,0,0,0,-0.0389465247359132,0,0.0744844247750784,0,0,0.0847807687733232,0,0,0,0,0.352117012694162,0,0,0,0,0,0.019791509068772,0,0,0,-0.128075748748268,0.0412140858978322,-0.00980371697038183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123374832130018,-0.00721697428007595,0,0,0,-0.00875117073157574,0,0
X600309.SH,0,0,0,0,0,0,0,0.0249585899086113,-0.0935933902663053,0,-0.0581877476226889,0,0,0,0,0,0.222797070986887,0,0,0,0,0,0,0,0,0,0.0722077846461906,0.0449065172354504,0,0.00582371632835313,0,0.0196232968505718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0431562295310399,0,0,0,0,-0.0218961534965637,0,0
X600019.SH,0,0,0.234949672142403,0,0,0,0,0,0.0269044091158928,0,0,0,0,0,0,0,0.0665614596643975,0,0,0.0172706461407516,0,0,0.00970736525867854,0,0,0,0,0,0.00557547791419805,0,0,0,0.0578341373320837,0,0,0,0,0,0,0,0,-0.00250240032463981,0,0,0,0,0,0,0,0,0,0.00837799213802214,0,0,0,0,0.0194652137024759,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.0127734266437875,0,0,0,0,0,0,0,-0.0351776522089492,0,0,0,0,0,0,0,0,0,0,-0.049823138191675,0,0,0,0,0,0,0,1.03586491581918,0,0,0,0,0,0.103809571107378,0.0854416178747376,0,0,0,0,0,0,0,0,-0.0139361062464216,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.0590682909694532,0,-0.0554193951036438,0,0,0,0,0,0,0,0,0,0,0,0,0.0358074733302281,0.0682760865445435,0,0.215575296616977,0,0.0010948769810963,0,0,0,0,0,0.116184241241713,0,0.0255005268016862,0,0,0,0,0,0,0,0.0257002690006367,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0468779637094589,0,0
X000708.SZ,0,0,0.282807910307788,0,0,0,0,0,0,0.114941217951414,0.290862252056309,0,0,0,0,0.148666932772475,0.105840142685723,0,0,0,0,-0.0439804904206107,0.00273456354840707,0,0,0,0,0,0,0,0,0,0,0,0.277106011945724,0.197044200762977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0401082859522237,-0.0103114432763565,-0.0853152585242428,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134080203287249,0,0,0,0,0,0,0,0,0,0,0,0.0335468239552337,0,0,0,0,0,0,0.109433064957401,0,-0.0346286761599052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259997626306728,0,0,0,0,0.0479061872063993,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0795118597564529,0,0,0,0,0,0,0,0.197378095584898,0,0,0,0,0,0,0,0,0,0,0.00863752646301108,0.095677737064824,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921405395098739,0,0,0,0.0455966047235928,0,0
X600886.SH,0,0,0,0,0,0,0,0,0.174335360414521,0,0,0,0,0.215729260867017,0,0,0.16958143007294,0,0.0574800047338537,0,0,0.0570037484311353,0,0,0,0,0,0.0802900878810677,0,0,0,-0.124522746851258,0,0,0,0,-0.05921473377144,0,0,0,0,0,0.00405046070091387,0,0,0,0,0,0,0,0,-0.0179956546754572,-0.0407711624540756,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310992422616938,0,0.0905047840316204,0,0,0,0,0,0,0.0143947644647883,0,0,0,0,0,0.124179142208757,0.00446543994430832,0,0.0288194310554497,0,0.032646337215636,0,0,0,0,0,0,0,-0.0150798419047812,-0.00939089052627648,0,0,0.32703963488802,0,0,0,0,0,0.01643458190828,-0.00230859898129971,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,-0.0449349928997002,-0.0154288699956757,0.0773023308106367,0,0.143276473547022,0,0,0,0.0465197708049342,0,0,-0.181340298412218,0,0,0.0427357611920255,0,0.0244990830381953,0,0.0256967493885962,0,0.0426882240909366,0,-0.0424632562059033,0,-0.0538928781092077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.0443486315673745,0,0,0,0,0,0,0,0.00164921938608029,0,0,0,0,0,0,0.0949563660062889,0,0.116209413080059,0,0,0.0607638570956088,0.0508313459726502,0.00639038121684358,0.126093948828683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0.288209443205201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900440110454222,0.0762424309509242,0,0,0,0,0,0,0,0,0.05844549430955,0,0,0,0,0,0,0,0,0,0,0.0923357791848357,0,0,0,0,0.0435409918568652,-0.0130767224649246,0,0,0,0,0,0,0
X600801.SH,0,0,0.0566369983206715,0.120812302725962,0,0,-0.00126285279762318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145808578859673,0,0.120326572062071,0,0,0.0198913771385044,0,0,0,0,0,0,0,0,0,0,0,0.102059108912871,0,0,0,0,0.00570879722811041,0,0,0,0,0.017167922002252,0,0
X601991.SH,0,0,0,0,0,0,-0.0292995349394359,0,0.029469105051195,0,0.121994222182607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121941992243123,0.00315177974973147,0.0461356241655835,0.121064229860354,0.0918816401646384,0,0.0394307364157971,0.05381614298384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100776027634872,0,0
X600795.SH,0,0,0,0,0,0,-0.0208562879192343,0,0,0,0,0.0456776702555366,0,0,0,0,0.0191272486697188,0,0,0,0,0,0,0,0,0,0,0,0.0961306277371877,0,0.0300730341665,0,0.0149571808915897,0,0,0,0,0,0,0,0,0,0,0,0.0351418954274352,0,0,0,0,0,0,0.0125024021133009,-0.0421924203904594,0,0,0,0,0,0
X600352.SH,0,0,0,0,0.12811937968316,0,0.0701065430631799,0,0.0399132001351108,0,0,-0.0335683454736621,0,0,0,0,0,0,0,0,0,0,0.142568938448896,0,0,0,0.0666024290225226,0,0.293425996806166,0,0.053993791853437,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274842401983046,0,0
X600688.SH,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203864948149961,0.0588218568649828,0.0675888123566554,0.020786862565203,0,0,0.230315147026927,0,0,0.0748343950948527,0,0,0,0,0,-0.0104383021828342,0,0.0205009323972931,0,0,0,0,0,0,0.0159564495509171,0.0262631305121641,0,0,0,0.0217149738344597,0,0
X000786.SZ,0,0,0,0,0,0,0.0377918898483924,0,0,0.0679257009786422,0,0,0,0,0,0,0.0430702325610528,0,0,0,0,0,0,0,-0.149632176732614,0,0.140226062033841,0.0970769891795592,0,0.129515274982209,0,-0.0732160899650229,0.0566034442315395,0,0,0,0,0,0,0,0,0,0.0276496533713061,0,0,0,0,0,0,0,0,-0.00573603623773434,0.030436460619134,0,0,0,0,0,0
