,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X000708.SZ,X600547.SH,X600660.SH,X002271.SZ,X600362.SH,X600011.SH,X601600.SH,X000786.SZ,X600886.SH,X600426.SH,X600176.SH,X601898.SH,X600010.SH,X002466.SZ,X000301.SZ,X600188.SH,X600801.SH,X600352.SH,X600111.SH,X600489.SH,X300037.SZ,X600795.SH,X601991.SH,X600486.SH,X600688.SH,X600803.SH,X002353.SZ,X002080.SZ,X600027.SH,X600299.SH,X600219.SH,X601992.SH,X601168.SH,X000932.SZ,X000898.SZ,X600529.SH,X002409.SZ,X600399.SH,X000630.SZ,X600315.SH,X000807.SZ,X000878.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,-0.0019248764238042,0,0.0412220368919561,0.0507696196970443,0.0297400805808552,0,0,0,0,0,0,0.0172527492830245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368384777318474,0,0,0,0,0.0186561466467278,0,0.00608120901136723,-0.0399336964059792,0,-0.0163561801453434,0,0,0,0.0148232195431435,0.00437175155951519,0,0,0,0,0,0,-0.00396639000336518,0,0
X600028.SH,0,0,0,0,0,0,-0.02229832389652,0,0,0,-0.0119375958919665,0,0.0411475368970258,0,0,0,0.0589788460177198,0,0,0,-0.00405630043345832,0.0343229265492762,0,0,0,0,0,0,0,0,0,0,0,0,0.0610846801159184,0,0,0,0,0,0,0.152498637563593,0,0,0,0,-0.0531635061037015,0,0.00883811962758438,0,0,-0.00661249612239475,0,0,0,0,-0.00899965620169138,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,-0.0164509838532933,0,0,0,0.0718300712946266,0,0,0,0,0.202185723514599,0,0,0,0.120239399475806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190340883556736,0,0,0.0116469328001735,0,0,0,0,-0.00789002481300452,0,0
X600585.SH,0,0,0,0,0,0,0.0521220143316425,0,0.065387129608743,0,-0.0376910829467377,0,0,0,0,0,0.0633660353116852,0,0,0,0,0,0.0552019490230214,0,0,0,0,0,0,0,0,0,0,-0.0858239977895388,-0.0125641030981255,0,0,0,0,0.0145059566466589,0,0,0.0185618008092295,0,0,0,0,0,0.0704807946526938,0,0,0.0278239273955604,0,0,0,0,0.00617565587168406,0,0
X600309.SH,0,0,0,0,0,0,0,0.0401825153328235,0,0,0,0,0,0,0,0,0.169984452063279,0,0.0789327183468145,0,0,0,0,0,0,0,0.0883213376689895,0.0138427366787757,0,0,0,0,-0.0327350146053278,0,-3.46944695195361e-18,0,0,0,0,0.0366598048564594,0,0,-0.0462987412939964,0,0,0,0,0,0,0,0,0.0296681550485639,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651311308960148,0,0,-0.050329173476149,0,0.119912030374787,0,0,0,0,0,0,0.0745383011240238,0,0,0,0,0,0,0,0,0.00250043207953326,0,0,0,0,0.000714240904015014,0,0,0,0,0.0331104379404618,0,0,0,0.119040401915501,0,0,0.047934941550667,0.0116349910591342,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.00730538324832344,0,0,0,0,0.0486927492248697,0,0,0,0,0,0,0,0,0,0.358281859575447,0,0,0,0,0,0,0.390347813418114,0,0,0,0,0,0,0,0,0,0,0,0.107341557727203,0,0,0,0,0,0,0,0,0,0,0,0.0149156004996616,0,0,0,0,-0.00775980899298914,0,0
X000708.SZ,0,0,0,0,0.00156528923294455,0,0,0,0,0,0,0,0,0,0,0,0,0.00402812589602313,0,0,0,0,0,0.0530195128879117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272041973349076,0,0.0376917417243327,0.0103464961534358,0,0,0,0,0,0,0,0,0,0,-0.00863423265696667,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.0361752903841901,0,0,-0.0464469413711391,0,0,0.023934209377137,0,0,0,0,-0.0898453612896265,0,0,-0.0252825799009676,0,0,0,0,0,0.634578735494081,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,-0.000787443141257586,0,0,0.0467396425028558,0,0,0,0,0.0135788888096886,0,0,0,0,0.00808308914490469,0,0
X600660.SH,0,0,0,0,0,-0.0770970784562122,0.000961865975935881,0,0,0,-0.00103417665931872,0,0,0,0,0,0,0,0,0,0,0.0257602853772507,0,0,0.0224426503547433,0,0,0.204518626267809,0,0,0,0,0,0.0391740710843831,0,0,0,0,0,0,0,0,0,-0.0544018861588313,0.0785062922106208,0,0,0,0,0,0,0.0108766787107718,0,0,0,0,0.00981029753452732,0,0
