,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600176.SH,X600111.SH,X600010.SH,X601600.SH,X600426.SH,X000301.SZ,X601898.SH,X600011.SH,X002466.SZ,X600886.SH,X600188.SH,X600352.SH,X600801.SH,X600219.SH,X600489.SH,X601991.SH,X600803.SH,X600795.SH,X600486.SH,X002353.SZ,X002080.SZ,X600688.SH,X600299.SH,X000932.SZ,X601168.SH,X300037.SZ,X600027.SH,X600295.SH,X600516.SH,X600315.SH,X000898.SZ,X000723.SZ,X601992.SH,X000027.SZ,X600157.SH,X600549.SH,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,-0.0327954864187525,0,0.0508831523208781,0,0,0.0102805317595842,0,0.0492490175698359,0.0756113635121134,0,0,0,0,0,0,0,0,0.00423027146780787,0,0,0,0,0,0.0407821154854588,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.00413047931069782,-0.00170927113634416,0,0,0,0,0,0
X600028.SH,0,0,0.0205304314498293,0,0,0,0.0648072346250729,0,0,0,0,0,0,0,0,0,0.0746769622852741,0.0429088577011091,0,0,0,0.0222913087527365,0,0,0,0,0.0219399224614097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023472641858443,0,0,0,0,0.0150872896222934,0,0,0,-0.0254226593565332,0,0,0,0.0309315835844703,0,0
X600309.SH,0,0,0,0,0,0,0.0694551450514089,0,0,0,0,0,0,0,0,0,0,0.254562312827539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776545412675399,0,0,0,0,0,0,0,0,0,0,0,0,0.194866180998015,0,-0.0512576840877411,0,0,0.144761023361851,0,-4.33680868994202e-19,-0.00854371418600642,0,0,0,0.0246054939673401,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242217944258089,0,0,0,0.207419458527676,0,0,0.104665980172518,0,0,-0.0499039935109437,0,0,0,0,0,0,0.0973200700526515,0.12122005642517,-0.109147055868797,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-0.0181550143608578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103694145908179,-0.0189272415881129,-0.05469358270802,0,0,0,0,0.0582047091480555,0,0,0,0,0.1058353407581,-0.0179916104787604,0,-0.0119982482199476,0,0.00557454737111136,0,0.021039575638007,0,0,0,0,0,0,-0.00826836144097959,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1834948248321,0,0.0395714577227435,0,0,0,0,0,0,0,0,0,0,0,0,0.00432861595091519,0,0,0,0,0,0,0.407495763738764,0,0,0,0.143564241403956,0,0,0.165181218022528,0,0,0,0,0,0,0,-0.0119387280961566,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0.144498721667977,0,0,0,0,0,0,0,0,0,0,0.131522775777817,0,0,0.160009120958607,0,0,0,-0.0567060432439312,0,0,0,0,-0.0310037062367295,0,0,0,0,1.38777878078145e-17,0.241593225865242,0,0,0,0,0.100961590897984,0,0,0,0,0,0,0,0,0,0,0,-0.164535689416341,0,0,-0.082068158656237,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319994105750205,0,0,0,0.0632951484495302,0,0,0.278556960280173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283500527258113,0.13053348929108,0,0,0,0,0,0,0,0,0,0,0,-0.019742535307353,-0.0575356885625975,0.033892857310958,0,0,0,-0.00950138938514283,0,0
X600660.SH,0,0,0,0,0,0,0,0.101159790965122,0,0.292890645423614,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.00046025342676115,0,0,0,0,0,-0.0155436752729758,0,0,0,0,0,0.0988542558151133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701781232092716,0,-0.027271717588852,-3.46944695195361e-18,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,-0.0819011056991207,0,0,0.194729905445609,0,0,0,0,0,0,0,0,0,0.00152789760547838,0,0,0.0185840429699327,0,0,0,0,0.0549713824126057,-0.0218739346895324,0,0,0,0.0369235001898597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141427455344695,0,0,-0.0572649324695711,0,0,0,0.0144604522356994,0,0
