,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X000792.SZ,X600585.SH,X600019.SH,X002466.SZ,X600111.SH,X002271.SZ,X000301.SZ,X000708.SZ,X600660.SH,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X600547.SH,X600362.SH,X600011.SH,X600176.SH,X600426.SH,X600219.SH,X600886.SH,X000786.SZ,X000408.SZ,X600399.SH,X000723.SZ,X600803.SH,X000932.SZ,X000831.SZ,X000959.SZ,X601991.SH,X000825.SZ,X600795.SH,X002080.SZ,X000898.SZ,X000807.SZ,X300037.SZ,X002409.SZ,X600801.SH,X600352.SH,X600489.SH,X002145.SZ,X600808.SH,X000630.SZ,X600486.SH,X601699.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.110152664535697,0,0,-0.000697860254665479,0,0,0,0,-0.00438404838907077,0,0,0,0,0,0.0532117195543321,0,0,0,0,0,0,0,0,0,0,0,0,0.0358069980635911,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0127567515407378,0,0,-0.0205144555904017,0.0401075277833113,0,0.0105704443632107,0,0,0,0,0.0796394055991488,0,0,0.00573024779846869,0,0,0,0,0,0,0
X600028.SH,0.251191532971692,0,0,0,-0.0662147121562308,0,0,0,-0.0020630287603118,0,0,0.0436279149058898,0,0,0,0,0,0.00834435916630743,0,0,0,0.0572186897732848,0,0,0,0,0,-0.0162948334453591,0,0,0,0,0,0,0.0185247053505611,0,0,0,0.0466431419514859,0,-0.0110718957369915,0.0757231950036912,0,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.00332373451406073,0.0369022176827644,0,0,0,-0.00390656504431918,0,0
X601088.SH,0,0,0,0,0,0,0,0,-0.0415956086769062,0,0,0,0,0,0,0.126751905326647,0.120058174092078,0.0954124800001588,0,0,0,0,-1.73472347597681e-18,0,0.0332151645760417,0.0818727564205478,0,0,0,0,0,0,0,0,-0.0210181007517819,0,0,0,0,-0.0956195519994261,0,0.0476365222013813,0,0,0,0,0.0244038484763121,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.000120822529329859,0,0,0,0,0.123846846464062,0.083016904176354,0.0746339227300607,0,0,0,0,0,0,0,0,0,0.0309820972417653,0.104011191276611,0,0,0.00775775027542639,0,-0.0725755664041016,0,0,0,0,0,0,0,0,0,0,0.00334749135323334,0.0165472993093217,0.0745869522789491,0,0,0,0,0,0,0.0543368942791979,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0646464041906985,0.489762318186347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186437668304149,0,0,0,0,0,0,0,0.0945101581459207,0.0380634511349697,2.16840434497101e-19,0,0,0,0.200529545327127,0,0,0,0,0,0,0,-0.144201361927417,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0337603309706883,-0.0105176943450887,0,0.0413280194125955,0,0,0,0,0,0,0,0,0,0,0.0783253443654223,0,-0.0121261601337448,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.470184041949846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10804886468392,0,0,0,0,-0.0661735139688813,0,0,0,0,0,0,0,0,0,0,0.0434084481353553,0.0250032423342849,0.06901956580724,0,0,0,0,0.280985890290691,0,-0.0802779606218535,0,0,0,0,0,0.130418903347225,0,0,-0.00568753830139958,0,0,-0.00123487648343516,0,0,0,0,-0.0963640760072986,0,0
X002466.SZ,0,0,0,0,0.206721693836569,0,0,0,0,0.350389897086273,0,0,0,0,0.102797705818281,0.325734771498496,0,-0.0882221466443831,0,0,0,0,0,0,0,0,0.299584382324631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0526726480160664,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.226831298012386,0,0,0,0.058440178010208,0,0,0,0,0,0.31976218116661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11674620636127,0,0,0,0,0,0,0,0,0.088840576667945,0,0,0,0,0,0,0,0,0,0,0.0572033895923052,0.147306284362442,0,0,0,0,0,0
