,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X600019.SH,X000792.SZ,X600010.SH,X600011.SH,X600660.SH,X600188.SH,X000877.SZ,X000301.SZ,X002271.SZ,X601600.SH,X000708.SZ,X601898.SH,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X002080.SZ,X000408.SZ,X600219.SH,X600803.SH,X002326.SZ,X300073.SZ,X601991.SH,X600795.SH,X000786.SZ,X300037.SZ,X000831.SZ,X000959.SZ,X600516.SH,X600688.SH,X600399.SH,X600027.SH,X600141.SH,X600096.SH,X000825.SZ,X600486.SH,X600352.SH,X600157.SH,X600489.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.037341909120275,0,0,0,0,0,0,0,0,0,0,0,0.102315164679829,0,0.00929480734813485,0,0,0,0,0,0,0,0,0,0.113883264877177,0,0.0481702037695944,0,0,0,0,0,0,0,0,0,0,0,0.104457998200787,0,0,0,0.146392054065934,0,0,0,0,0,0,0,-0.01962702540183,0,0,0,0,-0.0355383386638306,0,0
X600028.SH,0.119107578388559,0,0,0,0,0,0,0,0,0,0,0.00549095773312347,0,0.0492096929875573,0,0,0,0,0,0.0370681191597588,0,0,0,0,0,0,0,0,0,0,0,0,0.0883913379759896,0,0,0,0,0,0,0.0787392804077644,0,0,0,0.00399130020914759,0,0,0,0.0408269937567574,0,0.041510120776508,0,-0.0224836188236503,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0702092652172826,0,0.283269383754125,0,0,0,0,0,0.395085365354956,0,0,0,0,0.0452887372602758,0,0,-0.0144319383114425,0.10192441989691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.105158287072871,0,0.00382945305160644,0.0505791557733164,0,0,0,0,0,0,0,0.230670862159257,0.0877016060341103,0.072493596949091,0.025958583981617,0,-0.0745341015782687,0,0,0,0.201298559800017,0,0,0.0405760075996496,-0.0382164452613817,0,0,-0.0187208359726537,-0.0222425326042839,0.00623113729137028,0,0,0,0,0,0,0,0,0.0250166978127867,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.40311495748729,0,0,0,0,0.0708727141943162,-0.00559866131178006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17399853168559,0,0,0,0,0,0,0,0,0,0,0,0,0.0130336026040392,0,0.0652179134173149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165289324598,0.0137343970449783,0,0,0,0,0,0,0,-2.71050543121376e-20,0.0461227995336594,0,0,-0.10840753395105,0.0105502852858814,0,0,-0.0268482280597375,0,0,0,0.0916073871777726,0,-0.104164944759649,0,0,0,0,0,-0.0036765618148226,0,0,0,0,0,0,0.594561130090626,0,0,0.0134366755803776,0,0,0,0,0,0
X600111.SH,-0.0603609671117802,0,0,0,0,0,0,0.116645952729508,0,0,0.391450699686228,0,0,0,0,0.0576211079654536,0,0,0,0,0,0,0,0,0,0,0,0.0104707689725243,0,0,0,0,0,0,0,0,0.131454848914464,0,0,0,0.157035315177252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,-0.0352907162892706,0,0,0,0.377174096024301,0,0,0,0,0.19419294357552,0.25983151174009,0,0,0,0,0.0531942192695981,0,0,0,0,0,0.0799816764745424,0,0,0,0,0,0.119541442264237,0.000589792787945102,0,0.0264857219387242,0.0177457526496398,0,0,0,0.0169645830919908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0225019121606132,0,0,0,0,0,0,0.146296828616255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03129992584588,0.0673806883098892,0,0,0,0,0,0,0,0,0,0.0687432161925631,0,0,0,0,0,0.106855562590346,0,0,0,0,0.124388827662573,0,-0.0297035170296149,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.180797757842181,0,0,0.157780015534482,0,0,0.187028782020806,0,0,-0.040030230516918,0,0,0,0,0,0,0,0,0,0,0,0.00335798837181161,0.15745880275404,0.148678520497005,0,0,0,0,0,0,0,0,0,0,0.111753036355955,0.11633315749672,0,0.110005511621011,0,0,-0.167862405663981,0,0,0,0,-0.0191852322413543,0,1.73472347597681e-18,0,0,0,0,0,0,0
