,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X000792.SZ,X002466.SZ,X601898.SH,X600019.SH,X600111.SH,X002271.SZ,X600660.SH,X000877.SZ,X000301.SZ,X600011.SH,X000708.SZ,X600010.SH,X601600.SH,X600547.SH,X600886.SH,X600795.SH,X000983.SZ,X600176.SH,X600362.SH,X600426.SH,X600096.SH,X000408.SZ,X600803.SH,X601699.SH,X000723.SZ,X000786.SZ,X600141.SH,X600486.SH,X601991.SH,X600295.SH,X002353.SZ,X600219.SH,X000807.SZ,X002192.SZ,X300073.SZ,X002080.SZ,X600157.SH,X600801.SH,X000630.SZ,X600985.SH,X600027.SH,X000683.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0506985366177808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099290478012513,0,0,0,0,0,0,0,0,0,0,0,0,0.121647735002505,0.071893121922641,0,0,0,0,0,0,0,0.172827758863735,0,0,0.0069993778973699,0,0,0,-0.0308802385515192,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.219341539354159,0,0,0,0,0.134954342349232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000529269926259273,0,0,0.0368727191741062,0,0,0.0344403653339396,0,0,0,0,0,0,0,0,0,0,0,0,0.0317120591384228,0,0,0,0,0.0210444915456474,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618055909103301,0,0,0,0,0,0,0.0679259268048144,0,0,0,0,0.0177994548525542,0,0,0.0241943043866866,0,0.0857616202656334,0,0,0.0460907576572293,0,0,0,0,0,0,0,0,0,0,0,-0.00804879893136214,-0.00935067759278854,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.110127222285838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190185776952846,0,0,0,0,0,0,0,0,0.185657209874206,0.0372777503339308,0,0,0,0,0,0,0,0.00943528279342921,0,0,0,0,0,0.00508243680317329,0,0,0,0,0,0,0
X600188.SH,0,0.488147584872836,0,0,0,0,0,0.1799936322213,0,0,0,0,0,0,0,0,-0.18371800312906,0,0,0,0,0,0,0,0,0,0,-0.106047423256458,0,0,0.259834008039663,0,0.0573267628504783,0,0,0,0.0119769215889016,0,0,0.0506856912001512,0,0,0,0,0,0,0.0313009202828922,0,0,0,-2.77555756156289e-17,0.0369281991073994,-0.0816676289596446,0,0,0,0,0,0
X002460.SZ,0,0,0,0,3.46944695195361e-18,0,0,0,0.485866825033019,0,0,0.138393178195051,0,0,0,0,0.0675048793813839,0,0,0.0798491131532992,0,0,0,0.0164307844748979,0,0,0,0,0,0,0.0899003466907403,0.000411938015698339,0,0,0,0,0,0,0,0,0.0586902780472399,0.0252593836514681,0,0,0,0,0,0,0,0,0,-0.0304028610568565,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.135246741928367,0,0,0,0,0,0,0,0.0396474262439817,0,0,0,0.0366627290140242,0,0,0.0200927902999656,0,0,0,0,0,0,0,0.0987843529923257,0,0,0,0,0,0,0,0,0.293642161373159,0,0,0,0,0,0,-0.0143938282308265,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0568184341619891,0.0599749494186297,0,0,0.302119639223287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846763060148843,0.112206317256591,0,0,0,0.274058952032506,0,0,0,0,0,0,0,0,0,0,0,0.0546679749291434,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0396803340220081,0.766550621608267,0,0,0,0,0,0,0,0,0,0,0.0258195932477745,0,0,0,0,0,0.0851279787802092,0,0,0,0,0,0,0,0,0,0,0.0796361036286362,0,0,0,0,0,0,0.102454466787216,0,0,0,0,0,0,0,0,0,0,0.0131195010508512,0,0,0,0,0,0,0
X601898.SH,0,0.113278878129021,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086190320611371,0,0,0,0.0236394401084218,0,0,0.238039052438413,0,0,0,0,0,0.176193505584321,0,0,0,0,0,0,0,0,0.0187401897672839,0.0519992166769685,0,0,0,0,-0.0203281441770309,-0.0567248304430392,0,0,0,0,0,0
X600019.SH,0.127918546928923,0,0,0,0,0,0,0,0,0,0,0,0.0792397406426368,0,0,0,0,0,0.207230308285233,0,0.0312874427396199,0,0,0,0,0,0,-0.033033905010449,0,0,0,0,0,0,0,0,0.0846572800280015,0,0.0632126278034972,0,0,0,0,0,0,0,0.0933013405970984,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.270978182338115,0,0,0,0,0,0,0,0,0.00620841865718051,0,0,0,0.29178687450783,0.271302714880088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210942572704857,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0226556190111332,0.000504506478425737,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422116274349521,0,0,0,0,0.0376514021155245,0,0,-0.0364921548857836,0,0,0,0.268283095807547,0,0,0.0670634985827223,0.0496994730855218,0,0,0.00361005990858304,0.00812006497762764,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0.0621725454119876,0,0,0.0772651994706589,0,0,0,0,0,0,0,0,0,0,0.083909198713218,0,0,0,0,0,0,0.227678887777873,0,0,0,-0.321858432547296,0.102505693959695,0,0,0,0,0,0,0,0.215071761411803,0,0,0,0,0,0,0,0,0,-0.00618022488862243,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0151588693327321,0.0830948531172931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104232538875159,0,0,0,0,0,0,0.00305294943355542,0.103623228594347,0.00262888713287253,0,0.0201111255304282,0,0,0,0,0,0.0530684191273623,0,0,0,0,0,0,0.0186070861077432,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14415539769033,0.170327423650115,0,0,0.0967091175368152,0,0,0,0,0,0,0,0.0953026266392163,0.0115086472343165,0.299736059248861,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141928502037972,0,0,0,0,0,0,-0.0513767228697116,0,0,0,0,0,0.132474180917078,0.171999551539351,0,0,0,0,0.0726617566537224,0.683805117683324,0,0,0,0.0242944603110506,0.0244904712843282,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0120597783668288,0,0,0,0,0,0,0.0446187960329205,0,0,0,0.0246701944859579,0,0,0,0.00915111668497004,0,0,0.0534472193917299,0,0.0337464491318807,0,0,0.0434753849341015,0.261966937189816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0725069494807853,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0.159338149705432,0,0,0,0,0,0,0,0.0750964675996352,0,0,0,0,0,0,0,0,0,0,0,0.218054291008346,0,0,0,0,0,0.0283658180840861,0,0,0,0,0,0,0,0.147129601590879,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305771354489394,0,0,0,0,0,0,0,0,0.0193663332863961,0,0.0667721556211158,0,0.123183063494512,0.398771771114586,0.0368122070334727,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0234576795064108,0,0,0.108025130235222,0,0,0,0.213050643641383,0,0,0,0,0,0,0,0.0213148989127365,0,0,0,0,0,0,0,0,0.0350980323081957,0,0,0,0,0,0,0,0.0889769302811926,0.0658118681721281,0,0,0,0,0,0,0,0.0757422098413757,0,0,0,0,0,0,-0.0685915572099528,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265603331040045,0.152102670506359,0,0,0.0272306012785501,0,0,0,0,0,0,0,0,0,0,0,0.0325033297011699,0,0.0356758153260178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147499593806364,-0.0113743041202152,0,0,0,0,0,0,0
