,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600188.SH,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X600011.SH,X600660.SH,X002271.SZ,X000301.SZ,X000877.SZ,X000708.SZ,X600010.SH,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X000629.SZ,X600176.SH,X600362.SH,X600426.SH,X000408.SZ,X300073.SZ,X600096.SH,X002080.SZ,X601991.SH,X000786.SZ,X600803.SH,X000983.SZ,X000723.SZ,X600027.SH,X600160.SH,X600141.SH,X600348.SH,X601699.SH,X600219.SH,X600157.SH,X002407.SZ,X600399.SH,X600801.SH,X002353.SZ,X000155.SZ,X002192.SZ,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0119907735378591,0,0,0,0.0147748569478563,0,0,0,0,0,0.000863531692804113,0,0.010806784044076,0,0,0,0,0,0.108909049812688,0,0,0,0,0.193871932702045,0,0,0,0,0.139835953023967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.121368582310723,0,0,0.0857128139294556,0,0,0,0.108366967753631,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269359503629885,0,0,0,0,0,0,0,0,0,0,0.152147563336704,0,0,0,0,0.0818442207141357,0.0607735176229988,0,0,0,0,0,0,0,0,0,0,-0.0401213798762198,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101258614052391,0,0.0347692101524787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667567736057383,0,0.00414734511804582,0,0.0214170307883581,0,0,0,0,0.00391731513345305,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.174188429196099,0,0.0549568047676813,0,0,0,0.113084314878121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01868083154206,0.0321561956699261,0,0,0,0.0210129878861695,0,0.0645220919989318,0,0.0534487816452207,0,0,0.0149711157894719,0,0,0,0,-0.00412093851400411,0,0
X002466.SZ,0,0,0,0,0,0.535301400956047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119712510088936,0,0,0,0.152079798781495,0,0.11452461295169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00989762033744145,0.227791309067589,0,0,0,0.010387515897596,0,0,0,0.0211832600350679,0,0
X002460.SZ,0,0,0,0,0.0110372421449574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935063306568249,0,0,0,0,0,0,0.0432793606653036,0,0,0,0,0,0,0.198141039642462,0,0,0.17410043979113,0,0.0143782243919042,0,0,0.000927759639051387,0,0,0,0,0.15515955051155,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.0559895815439372,0,0,0,0,0,0,0,0,0.526637452610437,0,0,0,0,0,0,0,0,0,0,0,0,0.0464225097023777,0,0,0,0,0,0,0,0,0,0,0.0886077139547747,0,0,0,0,0.00980767253792996,0.157129873346762,0,0,0,0,0,0.0359429187543264,0,0,0,0,0,-0.0340175986097662,0,0,0,0,0,0
X600585.SH,0,0,0,0.0832280158958996,0,0,0,0,0,0,0,0,0,0,0.0660103252000189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880001549858779,0,0,0.0394990599336554,0,0,0,0.00827222656461504,3.46944695195361e-18,0,0,0,0,0.283284830622168,0,0,0,0,0,0,-0.027148114282767,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.286995182880223,0,0,0,0,0,0,0,0.0934154480156303,0,0,0,0,0,0,0,0,0,0,0.123282137431622,0,0,0,0,0,0.0561149630780219,0.103841424985565,0,0.0365471332437918,0,0,0,0.0470072006520448,0,0,0.121196231722056,0,0,0,0,0,0,0,0,0,0,0,-0.00671491444252738,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0836527621166194,0,0,0,0,0.0108941623891211,0.0641657264923812,0,0,0.0477921804955961,0,0.0779395041248756,0,0,0,0,0,0,0,0,0.0741619348842528,0,0,0.0876892531781574,0,0,0,0,0.0819870992075697,0.0554087586542291,0,0,0,0,0,0,0,0,0,0.0163704606694445,0,0,0,0,0,0,0
