,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X600011.SH,X000792.SZ,X601898.SH,X600019.SH,X600111.SH,X600660.SH,X600795.SH,X600010.SH,X000708.SZ,X000301.SZ,X600886.SH,X600547.SH,X601991.SH,X000877.SZ,X601600.SH,X002271.SZ,X600027.SH,X600426.SH,X600362.SH,X600803.SH,X000983.SZ,X600348.SH,X600176.SH,X600160.SH,X000408.SZ,X000629.SZ,X601699.SH,X000723.SZ,X600995.SH,X600378.SH,X600096.SH,X600219.SH,X000786.SZ,X600489.SH,X600157.SH,X600985.SH,X600688.SH,X002080.SZ,X002353.SZ,X600141.SH,X600399.SH,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0964094860936315,0,0,0,0,0,0,0,0.171754251643802,0,0,0,0,0,0,0,0,0,-0.0163897734717762,0,0.072701513503324,-0.000775117586413942,0,0,0,0,0.0512580295598721,0,0,0,0,0,0,0,-0.0133883736685806,0,0,0,0,0.0470346676119115,0,0,0,0,0.116193242344593,0,0,0,0,-0.0119656287761246,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.28929013891188,0,0,0,0,0,0.261105046892364,0,-0.0200389054154672,0,0,0,0,-0.049132352163929,0,0,0,0,0,0,0,0,0,0,0.124635933453627,0,0,0,0,0.0209913523112902,0,0,-0.0146876217404913,0,0,0,0.0906554345314682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.0096678121728881,0,0,0,0,0,0,0,0,0,0.0309846790751309,0,0,0,0,0,0,0,0,0,0,0,0.103221700885018,0,0,0,0,0.0615366689355031,0.0661028473806911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210039746761973,0,0,0,0,0,1.0842021724855e-19,0,0.0186931098715382,0.00145164886240308,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369987024553723,0,0,0,0,0,0,0.07080543123231,0,0,0,0,-0.0434442387239357,0,0,0,0,0,0,0.00425587513673857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282725266674309,0,0,0,0,0,0,0
X600188.SH,0,0.665017896865348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0972620235305658,0,0,0,0,0.109782444386425,0.0643412477844039,0,0,0,0,0,0.0261650825675234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236843408151978,-0.0214285480288372,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.424764964662062,0,0,0,0,0,0,0.0320457796241157,0,0,0,0.0138986220048599,0,0,0,0,0,0,0,0,0,-0.107953071155245,0,0.0310284738818699,0,0,0.0175928575344753,0.00328698879825289,0,0,0,0,0,0.0594915421862086,0,0,0,0,0,0.0723201964037673,0.0316607542094011,0,0.0045240124158816,0,0,0,-0.0211855925192758,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.541637068777194,0,0,0,0,0,0,0,0,0.0365251484625027,0,0,0.0394205437967319,0,0,0,0.0424980070613163,0,0,0,0,0,0,0,0,0,0.112621567181945,0.449266831403221,0,0,0,0,0,0,0,0,0,0,0.0846247586119564,-0.0521062772699364,0,0,0,0,0,0,0,0.0459893460407359,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0115687903487084,0,0.156777426219835,0,0,0,0,0,0.0406976404207454,0,0,-0.00629953103870892,0,0,0,0,0,0,0,0,0,0,0,-0.0186011382673789,0,0,0,0,0,0,-0.042684666499657,0,0.0863262869957932,0,0.395213749969229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.0187579034960976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853721150939221,0,0,0,0.181847986424154,0,0,0.122552104172964,0,-0.0405425959257865,0,0,0,0,-0.0269303759627957,0,0,0,0,0,0,0,0.269101579388559,0,0,0,0,0,0.0414666647995144,0,0,0,-0.0315020297603309,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.146538922735416,0.0964097030098774,0,0,0,0,0,0.0873541745616067,0,0,0,0,0,0,0,0,0,0.033312983793747,0,0,0,0,0,0,0,0,0,0.160045435660438,0.0513785637483805,0.0103660904880267,0,0,0,0.0600578490556752,0,0.11486658523357,0,0,0,0,0,0,0.0203051386282751,0,0.146522036755675,0.0918593956825532,0,0.0513692477304862,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0775765028963188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0989806231451209,0,0,0,0.178803616311908,0.32890831137746,0.0156299097451854,0,0,0,0,0.10484031198924,0,0,0,0,0,0,0,0,0.0978593443033501,0,0,0,0,0,0.0669007903440428,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.128400269446547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148740542427149,0,0,0.066792273651783,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.0332860067329297,0,0,0.0186293146773287,0.0415740929797045,0,0,0,0.108867989984822,0,0,0,-0.0645270445052378,0,0,0.00304238349171979,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.0935831069843118,0.136054439140077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789068141678671,0,0,0,0,0,0,0,0,-0.00368307281729654,0,0,0.214787950401555,-0.102868961094861,0,0.0655525130059233,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.151461192117348,0,0,0,0.0403804570000386,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.052684745902212,0,0,0.0231280307603595,0,-0.0417851903072519,0,0.0303279225868327,0,0,0,0,0,0,-0.130606082952702,0,0,0,0,0,0,0,-0.0271211654971554,0,-0.0117965700403127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156514633129313,0,0,-0.0219137226109273,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.204590695196708,0,0,0,0,0,0,0,0,0,0,0,0.192220915816175,0,0,0,0.081131054950487,0,0,0,0,0,0,0,0,0.0800777567355465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00444181397519475,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.202307706162635,0,0.0832271449274297,0,0,0,0,0,0,0.0134421109910806,0.042143879635327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014286965983264,0,0,0,0.0835188350636839,0,0.171743616788468,0,0,0,0,0,0.0245323518921088,0.05829986984346,0,0,-0.0258818786147167,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0.0313382332600995,0,0,0,0.0324722973120708,0,0,0,0.0817720582125622,0,0,0,0,0,0,0,0,0,0,0,0.0732052508549452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0330767060825664,0,0,0,0,0,0
