,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600547.SH,X601600.SH,X601898.SH,X600111.SH,X000708.SZ,X600660.SH,X600010.SH,X000301.SZ,X600886.SH,X002271.SZ,X000877.SZ,X600362.SH,X600426.SH,X600795.SH,X600803.SH,X600176.SH,X600027.SH,X601991.SH,X600489.SH,X601699.SH,X000807.SZ,X000983.SZ,X600160.SH,X600995.SH,X000786.SZ,X000933.SZ,X000629.SZ,X002080.SZ,X600219.SH,X300037.SZ,X000932.SZ,X000723.SZ,X600378.SH,X600688.SH,X600096.SH,X000408.SZ,X000831.SZ,X000630.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.257032071102567,0,0,0.00831018090676093,0.0959291904109607,0,0,0,0,0,0,0.0301897940681064,0,0,0,0,0,0,0,0.0326377641291218,0,0.139636373793997,0,0,0,0.0652522659268822,0,0,0,0,0,0,0,0,0.0528376116895387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365584512353493,-0.029666317038706,0,0,0,0,0,0
X600028.SH,0.362964133208101,0,0.181833101851872,0,-0.0497338131481021,0,0,0,0,0,0,0,0.0649766280252013,0.106942938267935,0,0,0,0,0,0,0,0,0,0.0803012020435302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141818987721278,0,0,0,0,0,0,0,0,0,0.0340419886577913,-0.0491604464996029,0,0,0,0,0,0
X601088.SH,0,0.0426630224173027,0,0,0,0,0,0.0284356362649894,0,0,0,0,0.113669985458887,0.126555661078937,0,0,-0.00696321790805397,0,0,0,0.0203010053116224,0,0,0,0,0,0,0,0.075649373867509,0,0.119519212449508,0.0159143208263536,0,0,0,0,0.00290293644821556,0,0,0,0,0,0,0,0,0,0,-0.00511637728408537,0.0430593387570844,0,0,-0.00876559554309433,0,0,0,0,0,0,0
X600309.SH,0.0624225596157827,0,0,0,0.0400487577495394,0,0,0,0,0,0,-0.0519982841182886,0,0,0,0,0,0,0,0,0,0,0,0.219218684126728,0,0,0,0,0,0,0,0,0,0,0,0,0.0429749534401132,0,0.0366602345139381,0,0,0,0,0,0,0,0,0,0,0,0,0.00254640909677102,0.0152560103100657,0,0,0,0,0,0
X600188.SH,0,0,0.449325974414884,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4153773730783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792968555886104,0.0648854670507597,0.138099937279261,0,0,0,0.201962676969372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00773587355937864,0.00553867748748637,0,0,0,0,0,0
X600019.SH,0.347051517280451,0,0,0,0.0510331488025002,0,0,0,0,0,0,0,0,0.209959466787812,0,0.0866611903537029,0,0,0,0,0,0.154457645463907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00924651162438924,0,0,0,0,0,0,0,0,0,0,0,0,0.0197374643167665,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0495304549576751,0,0,0,0,0,0.0536808548281997,0,0.132408116505283,0.422478358350614,0,0,0,0,0,0.0208022940621888,0,0,0,0,0,0,0,0,0.0585325278652974,0,0,0,0,0.0447557179359297,0,0,0,0.0300463164478936,0,0,0,0,0,0.0012269802003512,0,0,0,0,0,0,0
X600011.SH,0,-0.028861230026687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288820179720498,0,0.42986638714293,0,0,0,0,0,0,0,0,0,-0.0723388661864338,0,0,-0.0043941946223862,0,0,0.111084549677343,0,0,0,0,0,0,0,0.00426579290552094,0,0,0,0,0,0,0
X002460.SZ,-0.0349531956107479,0,0,0,0.0167333307109954,-0.0238921495147276,0,0,0,0.68385297147841,0,-0.0535744600559357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939154218752141,0,0,0,-0.123250372356565,0,0,0.040731351676717,0,0,-0.0611732979680361,0,0.000741836835098349,0,0,0.0792679934836119,0,0.0275675894559999,0,0,-0.000564782254101719,1.0842021724855e-19,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.509297382403165,0,0,0,2.16840434497101e-19,0,0.0587813895872155,0,0,0,0,0,0,0,0,-0.00972864403916755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274686576680494,0.0417163321049216,0,0.0145304975262926,0,0,0.0580573249583595,0,0,0,0,0,0,-0.00910290834521536,-0.0121402808518174,0,0,0,0,0,0,0
