,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X002271.SZ,X600027.SH,X601991.SH,X600362.SH,X600426.SH,X600803.SH,X601699.SH,X600489.SH,X000983.SZ,X600176.SH,X000807.SZ,X000786.SZ,X600995.SH,X000539.SZ,X000408.SZ,X600160.SH,X600219.SH,X000629.SZ,X300037.SZ,X600688.SH,X600378.SH,X002080.SZ,X002409.SZ,X000932.SZ,X600157.SH,X600612.SH,X600985.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.508275619014877,0,0,0,0.146896933438688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015830159046961,0,0.0113865951054644,0,0,0,0,0.0697706086134354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085616103915997,0,0,0,0.0553386967239135,0,0,0,0,0,0,0
X600028.SH,0.649211387008848,0,0,0,0,-0.113521054494515,0,0,0,-0.073942557101576,0.0644293667521942,0.0292933639585943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143334010200493,0,0,0,0.0177543733639948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.191411575943353,0,0,0,0,0,0,0.0706335175771774,0,0,0,0.191882466255405,0,0.102161748498937,0,0,0,0,0,-0.0583089232796364,0,2.16840434497101e-19,0,0,0.0545572761524606,0,0,0,0.11617546463426,0.0259364098674601,0,0,0,1.73472347597681e-18,0,0,0.0227378722272407,0,0,0,0,0,0.0872610404870469,0,0,0,0,0,0,0,0,-0.0555233169561483,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.157023633006107,0,0.0147374836417556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341370900091131,0,0,0,0,0.171973448935154,0,0,0,0,0,0.10567223262813,0,0,0.04830880211525,-0.0367529605653774,0.0309256826384175,0,0,0,0,0,0.0468067414882552,0,0,0,0,0,0,0,0,-0.0415408088098828,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0266816041382111,0,0.0371666413802353,0,0,0,0,0,0,0,0.0618994899704116,0,0.382312201931293,0,0,0,0,0,0,-0.138579176372634,0,0,0,0,0,0,0,0,0,0,0,0,0.0194114593226824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0.0413172685041891,0,0,0,0,0,0,0,0,0.0197410814550967,0,0.380913557818993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391808196600676,0.275441068417876,0,0,0,0.230833673379295,0,0,-0.0156765562935658,0,0,0,0,0.110446885262163,0,0,0,0,0,0,0,0,0,0,-0.0754365124612858,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.123531093860131,0,-0.0576822759648304,0,0.0160376408084289,0,0,0,0,0,0.0159257117057273,0,0,0,0,0,0,0.0180970442125844,0,0.0112195884679202,-0.106541710987719,0,0,0,0,0,-0.00248673224673476,0,0,0,0.323977109698261,0,0.0438998051086696,0,0,0,0,0.0149124268078595,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.007124833223714,0,-0.0584142746681226,0,0,0,0,0
X600019.SH,0,0.0157846225505995,0,0,0,0.0606453191719924,0,0,0,0,0.0925976445149274,0,0,0.161593186659941,0,0,0,0,0,0,0,0,0,0,0.0399374614276262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457894636669135,0.100180929899201,0,0,0,0,0,-0.0209172914654938,0,0,0,0.0393983517625556,0,0,0,0,0,0,0
X002460.SZ,-0.00807347687937302,0,0,0,0,0,0,0,0,0.494426579953577,0,0,0,0,0,0,0,0,0,0,0.130253893736328,0,0,0,0,0,0,0,0,-0.0474278173741583,0,0,0,0,0,0,0.0367635010661931,0,0,0.0997002563423629,0,0,0,0,0,0,0,-0.0177075164253294,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.0482666921219988,0,0,0.547028901117399,0,0,0,0.162586313944211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152334203670221,0,-6.93889390390723e-18,0,0,0,0.101754997833029,0.000146849746609754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467674390348726,0,0,0.0467996655099818,0,-0.0121453669843137,0,0.578375257808719,0,0,0,0,0,0.0900407878850872,-0.0682943464923587,0,0,0,0,0,0,0.0375015250669214,0.0151510489283505,0,0,0.0252314023772922,0,0,0,0,-0.0354705863969775,0,0,0,0,0,0
X601898.SH,0.0539547272657656,0.0369225056711506,0.319079444673573,0,0,0.190307404242801,0,0,0.152723166497544,0.0207296277870958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.160036504046648,0,0,-0.0082831127459874,0,0,0,-0.0449247139402667,-0.0689550249548067,0.131069470735807,0,0,0.0579060282507336,0,0,0,0,0,0,0,0.0517184815494495,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.116080858231865,0.206211660411559,0,0,0,0,0,0,0,0,0,0.0517583273180958,0,0,0,0,0,0,0,0,0.0420806999446902,-0.0061932030149267,0,0,0,0.119534917950524,0,-8.67361737988404e-19,0,0.203306517242543,0,0.0493099668183021,0,0,0,-0.0370240704869478,0,0,0,0,0,0,0,-0.0591606456824467,0,0,0,0,0,0,0
X601600.SH,0.141919336650975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12866422339428,0,0,0,0.127315672477953,0,0,0.509706121308076,0.150770789895808,0,0,0,0,0,0,0,0,0.03246766563531,0,0,0,0,0,0,0,0,0.00268928409208294,0.0887446667168014,0,0,0,0,0,0
X600886.SH,0.117208472868947,0,0,0,0.0684440061560851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412980053944373,0,0,0,0,0,0,0.0521632087844876,0,-0.0123008763431353,0,-0.0641726788583137,0,0,0,0,0,0,0,0,0,0,0,-0.0479788376706193,0.0485758054142823,0,0,0,0,0,0
X600111.SH,0,0,0,0,-0.0620831486202914,0,0,-0.0748163436664271,0,0,0,0,0,0,0,0,0,0.262020911876849,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.00568053010756459,0,0.0558793007189032,0,0,0,0,0,0,0.206135312523307,0.0401070563804228,0,0,0,0,0,0,0,0,0,0,0.0239923917858952,0.00835791385347596,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0.127039508643775,0.0205935448422214,0,0,0,0,0,0,0,0,0,0.0246442725073981,0,0,0.140616751504353,0,0,0,0,0,0,-0.0478582792708035,0,0,0,0,0,0.0648017313003512,0,0.056078177653288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016721976088729,0,0,0,0,0,0
