,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600011.SH,X002460.SZ,X600019.SH,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600795.SH,X600362.SH,X600426.SH,X600027.SH,X601991.SH,X000983.SZ,X600176.SH,X600803.SH,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X300037.SZ,X000408.SZ,X600160.SH,X600995.SH,X600219.SH,X000932.SZ,X000539.SZ,X002080.SZ,X000629.SZ,X002409.SZ,X600688.SH,X600612.SH,X600096.SH,X600378.SH,X000630.SZ,X000933.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.46491105056126,0,0,0.0791468710674913,0,0,0,0,0,0.072186363669806,0,0,0.0434461423835181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307092077880358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379111533386851,0,0,0,0,0,0,0
X600028.SH,0.683350996614847,0,0,0,-0.0487990788993789,0,0,0,0,-0.0412559741745843,0.028173487816542,0,0,0,0,0,0,0,0,0,-0.0334248973870294,0,0,0,0,0.0376377625390309,0.091604678416695,0,0,0,0,0,0,0,-0.0138029048919557,0,-0.0453840116373714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193636333736959,0,0,0,0,0,0,0
X601088.SH,0.128185494110917,0,0,0,0,0,0,0,0.0385695212820257,0,0.299183617181708,0,0,0.0323210951860426,0,0,0,0,0,0,0,0,0,0,0,0,0.04340510617239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1833430554737,0.0134250977678339,0,-0.0596500700685347,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.187856760241093,0,0,0,0,-0.0286616431010439,0,0,0,0,0,0,0,0,0,0,0,0,0.153667314431347,-0.00425191975050595,0,0,0,0,0,0,0.02373363662241,0,0,0,0.017804742679217,0,0,0,0,0.0564868139221252,0,0,0,0,0,0,0,0.0129562603661429,0,1.73472347597681e-18,-0.0138951880774163,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0.0490933241305089,0.12290732651584,0.28069242744567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164468886014459,0,0,-0.021593633282094,0.146159066756699,0.0773704294404555,0,0.0215756874021708,0,0,0,0,0,-0.0639832862061359,0,0,0,0,0,0,0,0,0,0,-0.0279702681776279,-0.0668450652609993,0,0,0,0,0,0
X600585.SH,0,0,0,0.0825963923000341,-0.0236095629684223,0,0,0,0.0510083477974686,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0318258366846925,0,0,0,0,0,0,0,0,0,0,0,0,0.173803788330311,0.0260143575314248,0,0,0,0,0,0,0,0.0500506273178967,0,0,0,0,0,0,0.0427837064809359,0,-0.0358143273069315,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.23323722807827,0,0,0,0,0,0,0,0,0,0,0,0.103599942338894,0,0,0.37008616266319,0.0572688073737553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361264568139484,0,0.00246080279534896,0,0,0,0,0,0,0,-0.0270035079047767,0,0,0,0,0,0,0
X002460.SZ,-0.00236600864910525,0,0,0,0,0,0,0,0,0.550509148572987,0,0,0,0,0,0,0,0,0,0,0,0.247619251993023,0,0,0,0,0,0,0,0,-0.0830254599797123,0,0,0,0,0,0,0,0,0,0.00934190565850834,0,0.0213073506422885,0,0,-0.0261636352188807,0,0,0,0,0,0.0106717568463618,0,0,0,0,0,0,0
X600019.SH,0,0.043362157663583,0,0,0.0868888014378167,0.0356273054321493,0,0,0,-0.0296480279255171,0,0.120865526456095,0,0.147592979591779,0,0,0,0,0,0,0,0,0.0218316109090714,0.00639722468503861,0.0442477631095954,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135934860418386,-0.0373584977634647,0,0,0,0,0.0433948266769002,0.0557630189647806,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.0192923064342196,0,0,0.472890161151333,0,0,0,0,0.237563397474687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00129719243279314,0,0,0,0,0,0.019069010770739,0,0,0,0,0.100903665182138,0.0630185989466148,0,0,0,0,0,0,0.147586140465352,0,0,0,0,0,0,0,0,0
X601898.SH,0.0813317989150382,0.0701455301616949,0.283847779574275,0,0.155501531779415,0,0,0.0769816989677232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018459913975002,0,-0.114798970555004,0,-0.110416317736387,0,0.0794651914348578,0,0,-0.030025565990444,-0.118243340187026,0,0,0,0,0,0,0,0,0,0,0,0.0428841032029246,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606181898291044,0,0,0,0.597231493564597,0,0,0,-0.0560612274873066,0,0,-0.028474411090185,0,0,0,0.0108181113646727,0,0,0,0,0,-0.0213328870364683,0,0.0747259241221749,0,-0.0299832210419248,0,0,0,0,0,0,0
X000792.SZ,0.0242971008916724,0,0,0,0.0576610219484659,0,0,0.210650570919821,0,0.158750621692338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258187194822669,0,0.10275642799561,0.044616074437138,0.0319526765913388,0.103640304816094,0,0,0,0,-0.0194220662541232,0,0,0,0,0.0444380277108287,0,0,0,0,0,-0.0158969413989554,0,0,0,0,0,0
X601600.SH,0.182377027979145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026612739300089,0,0,0,0,0,0,0,0,0,0.0968158722378087,0,0.481356240383194,0.126974680341322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439163052382993,0.0894128194630853,0.0325724845329488,0,0,0.114609522120388,0,0,0,0,0,0
