,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600660.SH,X600547.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X601699.SH,X000708.SZ,X600426.SH,X600362.SH,X000301.SZ,X000877.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X002271.SZ,X601991.SH,X600160.SH,X600985.SH,X600176.SH,X000807.SZ,X000408.SZ,X000630.SZ,X000786.SZ,X000932.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X600688.SH,X000629.SZ,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.566257196523729,0.18263162416491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1388885891581,0,0,0,0,0,-0.0025597437512103,0,0,-0.0713164199047949,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0670805155899592,0,0,0,0,0,0,0,0,0,-0.0531909716792121,0,-0.00369080828316936,0,0,0,0,0,0,0
X600028.SH,0.597659729472832,0,0,0,0,0,0,0.00878147489836879,0,0,0,0.0231250980751875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969187634610289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,-0.00378288811605752,0,0,0,0,0,-0.00375452630674151,0,0,0,0,0,0,0
X601088.SH,0.105317164032185,0.0511672812791844,0,0,0.140103827684058,0,0.231051149836868,0,0,0,0,0,0,-0.0165939873994403,0,0,0,0,0,0.0335950721038512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947922945127606,0,0,0,0,0,0,-0.15028055892163,0,0,0,0,0,0,0,0,0,0,0,0.00995361559342898,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0133169418615091,0,0,0,0,0,0,0,0,0.0593529477650248,0,0,0,0,0,0,0,0.229613013634015,0.0997731684174833,0,0,0,0.0594294079996814,0,0,0,0,0.0627528127141068,0,0,0,-0.124004335281188,0,0,0.363756471329667,0,0.0484527292541195,0,0,0,0,0,0,0,0.178618328819899,0,-0.0118818555259318,0.0210822360990612,-0.0322953088582331,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0084326577294657,0.134200353599724,0,0,0,0,0,0,0,0,0,0,0,0,0.271454932427324,0,0,0,0,0,0.13145826023938,0,0,0,0,0,0,0.111571997322685,0,0,0,0,0,0,0,0,0.241785118325162,0,0,0,0,0,0,0,0,0,-0.00276597858607562,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.211845071580875,0,0,0.0864588791339218,0,0,0,0.0147815620897533,0,-2.16840434497101e-19,0,0,0,0,0.0333654529369006,0,0,0,0,0,-0.0382520334578466,0,0,-0.0235354645666447,0,0,0,0,0,0.306819123426078,0,0,0.316863202083082,-0.0659244967083324,0,0,0,0,0,0,0,0,0,0,0,0.0187191737314349,-0.0252655755706872,0,0,0,0,0,0
X601898.SH,0.116198828311878,0,0,0,0.250438663984842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067426043590914,0,0,0,0,0,0,0,0,0,0,0,0.0534760988790279,0,0,0,0.0324088775163288,0,0,0,0,0,0,0,0,0,0,-0.00716238905581348,0,0,0,0.00328965029985667,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.132740532063303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29734781009341,0.0643921596140366,0,0,0,0,-0.0188873710654675,0.0440662174545298,0,0,0,0,0,0,0,-0.0704690461028611,0,0,0,0,0,0,0,0,0,-0.00920348962396274,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649831896977365,0,0,0.245821999146487,0.0484742474509419,0,0,0,0.108369256209367,0,0.0108372818862917,0,0,0,0,0,0.100042887088642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000524347116394285,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0629175706980335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168178127615539,0.0757933778766033,0.0386522027326843,0,0,0,0,0,0,0,0,0,0,-0.023141704281453,-0.0121550992004632,0.0353399812198732,0,0,0,0.0775075937016034,0,0
