,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X000301.SZ,X600010.SH,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X600176.SH,X000933.SZ,X000932.SZ,X600348.SH,X600612.SH,X600219.SH,X601168.SH,X002128.SZ,X300037.SZ,X600157.SH,X000027.SZ,X600688.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0325510839629936,0.418303399314064,0.0882986937872867,0.13101439652611,0,0,0,0,0,0,0.109066509758673,-0.275410007871739,0,0,0,0,0,0.121228008844849,0,0,0,0,0,0,0,0,0,0.0539822311677305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111230435776347,0.00463609907550181,0,0,0,0.0254578756326393,0,0
X601088.SH,0.00213441639255279,0,0.052527560018189,0,0.386012304322498,0,0,0,0,0,0,0,0,0,0,0,0.0794272804278845,0.144002302985596,0,0,0,0,0,0,0.105056256515407,0,0,0,0,0,0,0,0.00477031938801793,0,0,0,0,0,0.0101351245986829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177261777187066,0,0,0,0,0,0
X600028.SH,0.540913180544814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00525020487567011,0.120518502686141,0,0,0,0,0,0.0686905483086722,0,0,0,0,0,0.0565632190431952,0.0260576001801795,0,-0.045810808004816,0,0,0,0,0,0,-0.0469262637911093,0,0,0,0,0.00964404577286065,0,0,0,0,0,-0.0285035571117088,0.0188301671525641,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0317045767994577,0,0,0,0.205539887642943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187996728000517,0.0734086528005263,0,0,0,0,0.169689044480618,0,0,0,0,0,0,0,0,0,0,0,0.00294694152831754,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.0830602479674608,0,0.0404249946457767,0,0.0621982493783264,0,0,0,0,0,0,0,0,0,-0.0286388493153488,0,0.253195595516176,0,0,0,0,0,0.0962769399710266,0,0,0,0,0,0,0,0,0.0935813732605718,0,0,0,0,0,0,0,0.0978029854438791,0,0,0,0,-0.0217011222826878,0,0,0,0,0,-0.0116828477281557,0,0,0,0,0,0,0
X601898.SH,0.0955052443594455,0.0743994219475311,0,0,0.117908057114837,0,0,0,0,0,0,0,-0.0163670877267541,0,0,0,0,0.0368721053551811,0,0,0,0,0,0.18189396428711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116451156687561,0,0,0,0,0.00974771647620292,0,0
X600011.SH,0,0,0,0.000934299392615066,0,0,0,0,0,0.061227212904905,0,0.0216699780804538,-0.023210814784217,0,0,0,0,0,0,0,0,0,0,0,0.44381321328195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343912246272962,-5.42101086242752e-20,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0202819703880589,0,0,0,0,0,0,0,0,0.0698455981154275,0,0.0422214351532127,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135143091559614,0,0,0,0,0,0,0,0.31789047334993,0,0,0,0.16877541640713,0,0,0,0,0,0,0.0419116251750155,0.00333417171338848,0,0.0581657113600582,0,0,0,0,0
X600585.SH,0.134294114201997,0,0,0.119805620896676,0,0,0,0,0,0,0,0,0,0,0,0.145027442818987,0,-0.00885767602398913,0,0,0,0,0,0,0,0,0,0.0212379991407765,0.0204989748940191,0,-0.0368041334466361,0.0519319391934168,0,0,0,0,0,0.0618738633315671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128111274769685,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574416573721497,0.0324919106700825,0,0,-0.11268087871246,0,0,0,0,0,0,0,-0.018817027391693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026342342804608,-0.000822057431347055,0,0,0,0,0,0,0
