,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X000708.SZ,X600027.SH,X600803.SH,X600160.SH,X600010.SH,X600111.SH,X000983.SZ,X600426.SH,X601699.SH,X002460.SZ,X601991.SH,X000301.SZ,X000786.SZ,X002466.SZ,X000877.SZ,X002128.SZ,X000933.SZ,X000807.SZ,X000630.SZ,X600985.SH,X600219.SH,X600176.SH,X601168.SH,X000883.SZ,X000408.SZ,X002353.SZ,X600348.SH,X600096.SH,X000027.SZ,X002271.SZ,X600995.SH,X600612.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.130213205010727,0.544668792143738,0,0,0,0,0.101998077716061,0,0.19456720376272,0,0,0,0,-0.0528348316039372,0,0,0,0,0,0,0,0,0,-0.11966233333551,0,0,0,0,0,0,0,0.0344821243205574,0.014528340834605,0,0,0,0,-0.0278163140315942,0,0,0,0,0,-0.0522770820239253,0,0,0,0,-0.00724759621219635,0,0,0,0,0,0,0,0,0
X601088.SH,0.263180742755843,0,0,0,0,0,0,0,0,0,0,-0.00740724681567425,0,0,0.09320538929647,0,-0.0301151003475821,0,0,0,0,0,0,0.324443867761029,-0.0152879489679895,0.0469737827336732,-0.0296602251629583,0,0,0,0,0,0,0,0,0,0,0,0,-0.0858520678654748,0,0,0.109392724037472,0,0,0,-0.0601767364547722,0,0,0,0,0,-0.0172551169350834,0.0115767567351626,0,0,0.0486224656275961,0,0
X600028.SH,0.460280946489765,0,0,0,0,0,0.0822273426001841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270430549343598,-0.134245504799044,0,0,0,0,0,0,0,0.0765606164353368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0273208741453663,0,0,0.0210399671927234,0,0,0,0.0567375383718574,0,0,0,0,0.0650899727424672,0,0,0,0,0,0,0.0267338706522364,0,0,0,0,0,0,0.0443322247821366,0.0923413810686227,0,0,-0.100646898729168,0,0,0,0.0121801964121146,0,0,0,0,0,0,0,0,0,0.048091588223112,0,0
X600188.SH,0,0,0,0,0,0.101971222958451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0466562378827791,0,0,0.172091548773463,0,0.21041914486386,0,0,0,-0.19634919552059,-0.00541523719572705,0,0,0.0735530674553076,0,0,0.183652831821492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015540845592362,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717834131255206,0,0,0,0,0,0,0,0.21969126557254,0,0,0,0,0,0,0.0564190079090962,0,0,-4.33680868994202e-19,0.295009816737207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114488967875702,0,0,0,0,0,0,0
X600019.SH,0,0.00347122649056646,0,0.0505109863781521,0,0.0846246280094004,0,0,0,0,0,0,0,0,0,0,0,0.217865120349068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0293680660511761,0,0,0,0,0,0,0,0,0,0.0443166824989426,0.426923646450627,0,0,0.0137338269410817,0,0,0,0,0,0
X600011.SH,0.110514155670283,0,0,0,0,0,0,0,0,0,0,0,0,0.269655631012146,0,0,0,0,0.219587490916071,0,0,0,0,0,0,-0.0590549148489889,0,0.247006692613197,0,0,0,0,0.0526526401650846,0,0,0,0,0,0,0,0,0,0.0794495376387585,0,0,0,0,0,0,0,0,0.0303933218580128,0.0205780879583678,0,0,0,-0.0379096012589242,0,0
X600886.SH,0,0,0,0,0,0.0408422926347174,0,0.0587747198365136,0,0,0,0,0,0.2760276828461,0,0,0,0.0125059960804355,0,0,-0.0877011922341555,0,0,0,0,0,0,0,0,-0.055700420555779,0,0,0,-0.0751253936266376,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151555932291903,0,0,0,-0.135669842876473,0,0,0,0,0,0.0455074461921555,0,0
X601600.SH,0.167761499376792,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.0344121413728603,0.121649039968624,0,0,0,0,0,-0.0472317175967798,0,0,0,0,0,0,0.305213496326094,0.0787493282327052,0,0,0,0,0.307128639068139,0,0,0,0,0,0,0,0,0,0.137301272557751,0,0,-0.0355719704481513,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.145888609079155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720962346013046,0,0,0,0,0,0,0,0,0,0,0,0.0649158645573721,0,0,0,0,0.0189658414988416,0.0210912681817586,0,0.111151114496429,0,0,0.0120787263289364,0,0,0.00554226483156356,0,0,0,0.0222712439271745,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734421887397635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021411858172841,0,0.200883448109967,0,0,0,0,-0.0226382993267734,0.0200512579124061,0,0,0,0,0,0,-0.0636429922177501,0,0,0,0,-0.0630432156910465,0.014638396271529,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063816446839423,0,0,-0.0700152157248019,0.23496982515494,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488705107760686,0,-0.0572282720261587,0,0,-0.062157972506882,0,0.000683027274127387,0.0140805989464473,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.348533767013863,0,0,0,0,0,0,0,0,0,0,0.32040508433546,0.0231112846870512,0,0,0,0,0,0,0,0.0318346522232903,0,0,0,0,0,0.000926762354197921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220750705517152,0,0,0,-0.00591034555565999,0,0
