,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600011.SH,X600547.SH,X600886.SH,X601600.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X000708.SZ,X600010.SH,X600027.SH,X600803.SH,X600111.SH,X002460.SZ,X601991.SH,X600160.SH,X600426.SH,X000301.SZ,X000983.SZ,X601699.SH,X002466.SZ,X000807.SZ,X600219.SH,X002128.SZ,X000630.SZ,X000786.SZ,X601168.SH,X000933.SZ,X600176.SH,X600985.SH,X600096.SH,X000408.SZ,X000877.SZ,X000883.SZ,X002353.SZ,X002409.SZ,X000027.SZ,X000932.SZ,X002271.SZ,X600348.SH,X600282.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.612987979407095,0,0,0,0,0,0,0,0.0800877806293719,0,0,0,0,0,0,0,0,0,0,0,-0.0599024212754964,0,0,0,0,0,0,0,0,0,0,0,0,0.0139792810824284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132532799450997,0,0,0,0,0,0,0
X601088.SH,0.321811173483081,0,0,0,0.0690895543962786,0.142959770154502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883996318196772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436133677890717,0,0,0,-0.0208518514284059,0.0821111977240411,0,0,0.0321968568972222,0,0,0,0,0.0140454180123069,0,0
X600028.SH,0.492654056335001,0.0871180516239097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227389262925139,0,0,0,0,0,0,0,0,-0.030190852612151,0,0.0336218179491447,0,0,0,0,0.0023298871563181,0,0,0,0,0.003078246232502,0,0
X600309.SH,-0.121117404067326,0,0,0,0,-0.0218680246767626,0,0,0,0,0,0,0,0,0,0,0.0110113100579072,0,0,0,0,0,0,0,0,0.129905527913828,0,0,0,0,0,0,0.0208966530551512,0,0,0,0,0,0,0,0,0,0,-0.00345189328236655,0,0,0,0.21792227000526,0,0.0341964610435865,0,-0.0101012829311755,-0.0197042089325812,0,0,0,0.00712104081258612,0,0
X601898.SH,0,0,0,0,0,0.149602380041796,0,0,0,0,0.0329007120540258,0,0,0,0,0,0,0.0768699436720021,0,0.0371416096815935,0,0,0,0,0,0,0,0,0.258660897587675,-0.0158349249984113,0,0,0.018409810604207,0,0,0,0,0,0.203122724320505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0.172565004313937,0,0,0,0.206807077347008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306811060713689,0,0,0,0,0,-0.07372062744782,0,0.0142386465093243,0.017397409444127,0,0,0,0,0,0,0,0,0,0,0.228991879774625,0,0,-0.0561417585716634,0,0,0,0,-0.0312658255235876,0,0
X600019.SH,0,0,0,0,0.13528683989192,0,0,0,0,0,0.00485290898282556,0,0,0,0,0,0,0.12607007378871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210882109652251,0,0,0,0.0726452148375074,0,0,0,0,0,0,0.274960555178451,0,-1.73472347597681e-18,0.0323464359116637,0,0.0461368872918251,0,0,0,0,0,0,0
X600011.SH,0.0598817847333239,0,0,0,0,0,0,0,0,0,0,0,0,0.156209537351349,0,0,0,0,0,0.214511509715197,0,0,0,0.333280577698143,0,0,0,0,-0.0601374958662565,0,0,0,0.0357656153374415,0,0,0,0,0,0,0,0,0,0.0586982939379924,0,0,0,0,0,0,0,0,0.0498729315246206,0,0,0,0,-0.0749362023180014,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669047003805149,0.0645698177735553,0,0,0,-0.0896231246159659,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00462662157603732,0.105846630729879,0.0621524487907681,0,0,0,0,0,0,0,0,0,0,-0.0515908055673841,0,0,0,-0.0243735718662572,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0.128348941318183,0,0,0,0,0,0.0812578191528615,0,0,0,0,0,0,0,0,-0.0201332690340223,0.0682973113541201,-0.116098563823756,0,0,0,0,0,0,0,0,0,-0.0495788463394166,0,-0.0496712481826553,0,0,0,0,0,0.118558689291669,0,0,0,0,-0.0142218548521713,0.0301767795778628,0,-0.120817443515892,-0.0136724508659407,0,0.0287733781500713,0,0,0,0,0
X601600.SH,0.117839056372694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117328929149512,0,0,0,0,0,0.25583606941543,0,0.0591573354907902,0.338048795990917,0,0,0.254454650325991,0,0,0,0.0199311549959923,0,0.0706507333648244,0,0.0103015017372546,0,0,0,0,0,0,0,0.0157388682580489,0,0,0,0.00315262819635457,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.188621744192326,0,0,0,0.0711395989145602,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057049321991581,0,0.0193296541302673,-0.0192543537579879,0,0,0,-0.00603861910074516,0,0,0,0,0,0,0.034645699001018,0,0,0,0,0.0472386491234742,0,0
X600660.SH,0,0,0,0,0,-0.0811567818715896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872222863238263,0,0,0,-0.0125579469312699,0,0,0,0,0,0,0,0,0.0476223268331764,-0.0390084278416747,0.117852001497281,0,0,0.0453987051116242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0.00344724577624903,0,0.366754641964777,0,0,0,0,0,0,0,0,0,0,0,0.349693911095661,0.0221639064459712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00283712687106356,0,0,0,0,0,0,0,0,0,0,0,-0.0220082645423242,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857509076148352,0,0,0,0,0,0,0.28240014420262,0,0.0601473686923873,0,0,0,0,0,0,0,0,0,0,0.049397198128471,0,0,0,0,0.00917990180115208,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0107117166999838,-0.0353639029327132,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,-0.0470494781212881,0,0,0.565446220589962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141604505765684,-0.140831674745327,-0.106479293064778,0,0.157481254877281,0,0,0,0,0,0.131463865289882,0,0,0,0,0,0,0.0697729680572947,0.0304408505932987,0,0,0,0,0,0.00186805832321468,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.0202439460639676,0,0,0,0,0,0,0,0,0.0272656694302705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39269794213645,0,0.395300031646906,0,0,0.0176754869489516,0,0,0,0,0,0,0,0,0,0,0,0,0.00687109025600153,0,0,0,0,0.00446013803793413,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0.0481370631123124,0,0,0,0,0,0.0268058369518319,0,0,0,0,0,0,0,0.0389755783069953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032854587805723,0.258127373077479,0,0,0,0,0,0,0.0351469307971757,0.058251084957812,0.0651412450033873,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0174461917655066,0,0,0,0,0,0,0,0,0,0,0.065130903167167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218654653714953,0.0663533901243063,0,0,0,0,0,0.0600348556104046,0,0,0,-0.0161388459891733,-0.00265572061000222,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0.559664095478685,0,0.159052040749563,0,0,0,0,0.0726835750621187,0,0,0,0,0,0,0,0,0.330295887903206,0,0,0,0,0,0,0,0,0,0,0,0,0.11099880530413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498531348176974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669569953714724,0,0,0,0,0.0934021270612669,0,0,0,0.0638324347249148,0,0.0619806038513398,0,0,0,0,0,0.0406239046669824,0,0,0.145642923204781,0,0,0,0,-0.0935691677550916,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219794849378413,0.149577657585078,0,0,0,0,0.189539509372757,0,0.0476094150662462,0,0,0,0,0,0,0,0,0,0,0,0,0.00654973701639443,0,0.0473515159878231,0,0,0,0,0,0,0.0195145473674424,0.0238384991235004,0,0,0,0,0,-0.0967724346558449,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.0277699260968254,0,0,0,0.0633670272607759,0,0,0,0,0,0,0,0,0,0.0109897008061935,0,0.0620942364235286,0,0,0.810294085508332,0,0,0,0,0,0,0.0167867889540361,0,0,0.0366719371510086,0,0,0,0,0.00661213258107603,0,0,0.0453511889560117,0,0,0,-0.0554459160730212,0,0,0,0,0.00974093440675257,0,0
