,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600547.SH,X600011.SH,X600886.SH,X000792.SZ,X600795.SH,X600010.SH,X600111.SH,X600362.SH,X600489.SH,X002460.SZ,X000708.SZ,X600027.SH,X002466.SZ,X600803.SH,X600160.SH,X601991.SH,X000786.SZ,X000301.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X000408.SZ,X600176.SH,X002128.SZ,X601699.SH,X000877.SZ,X000630.SZ,X600096.SH,X601168.SH,X600985.SH,X000933.SZ,X600378.SH,X002271.SZ,X600995.SH,X002353.SZ,X600352.SH,X000883.SZ,X000932.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.570673547022954,0,0.0560788682489528,0,0,0.0224734365193233,0,0,0,0,0,0,0,0,0,0,0.127814425313087,0,0,0,0,0,0,0,0,0,0,0,0.185442552959439,0,0.0396955662829825,0,0,0,0,0,0,0,0,0,0,0,0,0.180901780139061,0,0,0,0,0,0,-0.040008706247461,0,0,0,0,0,0
X601088.SH,0.0543624281866385,0,0,0,0.286406565787644,0,0,0.0882679382958879,0,0.00859963338341915,0,0,0,0,0,0,0,0,0,0,0,0,-0.0701617680193554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135070282572589,0,0,-0.036981273167308,0,0,0,0,0,0,0,-0.024119751704038,-0.00962454012105675,0,0,0,-0.0121056002988411,0,0
X600028.SH,0.409609639754675,0,0,0,0.189988913064809,0.0882015699448583,0,0,0,0,0,0,0,0,0.0762083860829661,0,0,0,0,0,0.00971440990784919,0,-0.0596629487741261,0,0,0.115145268514454,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0466484999395973,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.00869695717561632,0,0,0,0.0341607302681208,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124454137670494,0,0,0,0.113041969326568,0,0,0,0,0,0.384127411172147,0,0,0,0,0.0683083988880832,0,0,0.0335268570329055,0,0,0,0,0,0.0508526850463279,0,0.115925847989854,0,0,0,0,0,-0.107331538939403,0,0,0,0,0,0,0
X601898.SH,0.0452523679670673,0.223183625300163,0.303377112265103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459353544402398,0,0,0,0,0.00992057431859088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.176159670757226,0.0500264094425999,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.135643970503081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471065099856021,0,0,0,0,0,0,0,0,0,0,0,0,0.509207578397969,0,0,0,0,0,0,0,0.0145712289003031,0.0778028185897612,0,0,0,0.016042084454488,0.00621517182524829,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0.381176073183574,0,0,0,0,0,0,0,0,0,0,0,0,0.277593278230738,0,0.0416110736301825,0,-0.446936148711932,0,0,0,0,0,0.152224743995896,0,0,0,0,0,0,0,0,0.0980773775522871,0,0,0,-0.178599919309323,0,0,0,0.0419499422436102,-0.153945872186291,0,0,0,-0.170172534219587,0,0,-0.0872845426616205,0,-0.0822714702598636,0,0,0,0,0
X600019.SH,0.14574723830943,0,0,0,0,0,0,0,0,0.0982740310873586,0,0,0,0,0,0,0,0,0.0286070657213109,0,0.146079014026437,0,0,0.0710250643646744,0,0,0,0,0,0,0.0425222301967319,0,0,0,0,0,0.00273450240849422,0,0,0,0,0,0,0,0,0,0,0,0.274554361347696,0,0,-0.0423511732155585,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0173737078833154,0,0,0,0,0,0.0675875129582326,0,0,0,0,0,0,0,-0.029477071265427,0,0,0,0,0.154602339769385,0.134193220976805,0,0,0,0,0,0,0,0,0.167230179190098,-0.143259912024436,0,0,0,0,0,0,0,0,0,0.151236240257076,0.31688748989315,0,-0.0346695142491572,0,0.0206937468207876,0,0,0,-0.0203459845469958,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307031476111847,0,0.0395060165379686,0,0.00171585565158556,0,0.142082716079942,0,0.0837118159031279,0,0.0273809550417494,0.255826131378354,0,0,0,0.446045863601149,0,0,0,0,0,0,0,0,0,0,0,0,-0.00146833778137137,0,0,0,0.34956080255829,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000214354873860456,0,0,0,0,0.754051717096914,0,0,0,0,0.0438736663466675,0,0,0,0,0,0,0,0,0,0,0,0,0.0325859235635864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475605905755347,0,0
X600011.SH,0,0,0,0.071379242250698,0,0,0.142991023850789,0.0784685939271139,0,0,0,0,0,0,0.216069639320094,0,0,0,-0.0267717789142244,0,0,0.372848140816869,0,0.0094434852009192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168776261355047,0,0,0,0,0,0,0,0,0.0530379290878119,0,0,-0.0134937630013497,-0.0261220474609247,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500550193348643,0,1.73472347597681e-18,0,-0.0268100478414682,-0.0902550054954899,0,0,0,0.133328899863193,0,0.0361831655334273,0.00342359734929914,0,0,0,0,0,0,0,0,0,-0.0240187473095916,0,0,0,0,0,0,-0.133340854619499,0,0,0,0,0,0,0,-0.0299772884731514,0.072088892733765,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0327990079146169,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.247564135945664,0.170587287233365,0,0.116433776713205,0,0.0938659117946425,0,0.0520957567224447,0,0,0,0,0,0.0738399801720359,0,0,0,0,0,0.0170615241459514,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0231960330386294,0,0,0,0,0,0
X600795.SH,0,0,0.216290637839033,0,0,0,0,0,0,0.035124274465374,0,0.135524571488484,0.29158490529233,0,0,0,0,0,0,0,0,0,-0.0128668995340094,0.0157283993088847,-0.0956161873329709,0.0172432962768203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134921756094596,0,0,0.0811619257230409,0,0,0,0,0,0,-0.0453475761806185,-3.46944695195361e-18,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466953777731589,0,0,0.0695865110668499,0,0,0,0,0,0,0,0.135874665360584,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.152449191542977,0,0,0,0,0,0.15373874528734,0,0,0,0,0.109386273291664,0,0,0,0,0,0,0,0.0360635614514321,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198225853005282,0,0,0.0197313597147429,0.236454377794417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0769291450862346,0,0,0.0164674702868377,0,0,0,0,0.258900426438832,0,0,0,0,0,0,0,0,0
X600362.SH,0.153454161543668,0,0,0,0,0,0,0,0,0.243330225677246,0,0,0,0,0,0,0,0,0.0700148628305183,0.113516372411084,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0082229390265134,0.0924322102636078,0.0721422039037579,0,0.011961409682633,0,0,0,0,0,0.136956424518421,0,0,0,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0.657131260733715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013141275626003,0,0,0.0456196297949143,0,0,0.277482721596762,0,0,0,0,0.0826838579653674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00789516563165047,0,0,0,0,0,0,0,0,0
