,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X002460.SZ,X600362.SH,X000301.SZ,X002466.SZ,X600489.SH,X600160.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000807.SZ,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X600176.SH,X000877.SZ,X002128.SZ,X601699.SH,X000630.SZ,X000408.SZ,X601168.SH,X600985.SH,X600096.SH,X000933.SZ,X600157.SH,X002353.SZ,X600352.SH,X600378.SH,X000831.SZ,X600995.SH,X002271.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.3956069748015,0,0,0,0,0,0,0,0,0,0,0,0.119253697089232,0,0,0,0.0488066804614211,0,0,0.115753681093659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762472965678478,0,0,0,0,0,0,0.0156259399495851,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0287228123719899,0,0
X601088.SH,0,0,0,0,0.432220006828368,0,0,0,0,0,0,0,0,0,0,-0.0247831480779669,0,-0.0171472048873587,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570181431114974,0,0,0,0,0.0696574281000245,0,0.0224772404321342,0,0,0,0,0,0,0,0,0,-0.00508391147355361,0,0,0,0,-0.0283795609913045,0,0
X600028.SH,0.603214584216364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00936220618552876,0,0,0,0,0,0.125368347692111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344800907606413,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709890750250907,0,0.0291589193379721,0.00057555347663254,0,0,0.198184026832543,0,0,0,0,0,0,0,0,0.0137279382866517,0.137433909435504,0,0,0.164041483506404,0,0,0,0,0,0.00199906159735506,0,0,0,0.0990317312625531,0.0154440943002547,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.332823836915679,0.143858569253033,0,0,0.0322689675108471,0,0,0.0450682888402144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784703977163357,0.154661002915264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024745292612681,0,0
X600019.SH,0,0,0,0,0.0454623964014114,0,0,0,0,0.252278929809764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1060221175998,0,0,0,0,0,0,0,0,0.139282223256297,0,0.0244264929905886,0,0,0,0,0,0,0.0388184653124955,0,0,0,0,0,0.00163990399597348,0,0,0,0,0,0,0,-0.00360145538068543,0,0
X600188.SH,0,0,0,0,0.144546054162179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177879511463498,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.288159158595693,0,0,0,0,0,0,0.0227249448430102,0,0,0,0.16241122656679,0.0958196875352032,0,0,0,-0.0609563412734322,0,0,0,0,-0.00555728834828578,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408856437043223,0,0,0,0,0,0.146578427205476,0.20327122022169,0,0,-0.0378568504889379,0,0.0883655429930658,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23647196043851,0,0.0512697409635182,0,0,0,0,0,0,0,-0.0240281457431132,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.16334290785202,0.148790445290071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438480602108481,0,0,0.0158262436496406,0,0,0,0,0.111882411187146,0,0,0,0,0.19590874242797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0.0307576546921362,0,0,0,0.103909946391376,0,0,0,0,0,0,0,0,0,0,0,-0.107263804304992,0,0,0,0,0,0,0,0,0,0.165939460053799,0,0.400340753730755,0,0,0,0,0,0,0,0,0.40076623477447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
