,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X601898.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X600160.SH,X002460.SZ,X600803.SH,X600489.SH,X000708.SZ,X000301.SZ,X000807.SZ,X000786.SZ,X002466.SZ,X600027.SH,X601991.SH,X000408.SZ,X600219.SH,X600176.SH,X000983.SZ,X002128.SZ,X600426.SH,X000630.SZ,X601168.SH,X601699.SH,X600378.SH,X600096.SH,X000933.SZ,X002353.SZ,X600985.SH,X000877.SZ,X600157.SH,X600299.SH,X600352.SH,X600995.SH,X000883.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.763618914956728,0,0,0.0208601344259675,0,0,0,0.0117027630829447,0,0,0,0,0.0265741092477951,0.00921140198776207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110545823022333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00295801168966454,0.00911316647004393,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.42499914409835,0.0341909113412339,0,0,0,0.0314032521646134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685688749991249,0.015590766003036,0,0,0.0246491149677666,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0277012619064799,-0.0120208082156216,0,0,0,0.00439796529550029,0,0
X600028.SH,0.345773193876852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410323187164284,0.0988804503738622,0,0.0331987843243821,0,0.00519774647491312,0,-0.0641182844741733,0,0,0,0,0,0,0,0.0705670117631157,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392240716178629,0,-0.00185932810524397,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243970027812557,0.0951178245730998,0,0,0.105758061316552,0,0,0,0,0,0.0681005951352302,0,0,0,0,0,0.210629398657246,0,0,0,0,0,0,0,0,0.0287145237317551,0.0253871672945838,0,0,0,0,0,0,0,0.0131025591646629,0,0,0,-0.00183158701888539,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0.114721860023183,0,0,0,-0.101431776451188,0,0.104343368971255,0,0.255614201747807,-0.0289972425353358,0,0,0,0.0542795866551522,0,-0.128840249240233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150015090699687,0,0,-0.0318389111686132,0,0,0,0,0,0,-0.00113157473273853,0.0072575191638394,0,0.0997226515623491,0,-0.00530612501927895,0,0
X601898.SH,0,0.515036678555793,0,0,0,0,0.097186564971526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196422652747249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130852100055847,0,0,0,0,0,0,0,0,0,0,0.020857297990833,0,0,0,0,3.46944695195361e-18,0,0
X600019.SH,0,0.0486688376874952,0,0,0,0.14795043815355,0,0,0,0.195568771462225,0,0,0,0,0,0,0,0,0,0,0.111547499349693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793080244492848,0,0,0,0,0,0,0,0.00585283733294073,0,0,0,0,-0.0233695635663168,0,0
X600188.SH,0,0,0,0,0,0.0346802283228726,0,0,0,0,0,0,0,0,0,0.0187334700201555,0.0748746672089991,0,0,0,0,0,0,0,0,0,0,0,0.108629528120867,0,0,0,0.000644440289035493,0,0.0350753550367619,0,0,0.121218955611569,0,0,0,0,0.223132227970342,0,0.0520809248884525,0,0,0,0,0,0,0.0108225296582681,-0.00685537484621771,0,0,0,0,0,0
X600585.SH,0,0,0,0.0464019519993001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602980967756329,0,0,0,0,0,0,0.0636269039293552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00524736522282888,0,0.0853723740830764,0.282191645747222,-0.0135596569397217,0,0,0,0,0,0,-0.0158598267578662,0.0143535164878062,0,0,0,0.0204489540037486,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406050439256552,0,0,0.0238255585562045,0,0,0,0.32276590375801,0.024807139032328,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115141933499055,0.0802907664415181,0,0,0,0.0414383316352204,0,0,0,0,0,0,-0.137516785255657,0,0
X600886.SH,0,0,0,0,0.104052484935218,0,0,0,0,0,0,0,0,-0.127362627050048,-0.16367779447803,0,0.42722079168961,0,0,0,0.0926543584427111,0,0,0,0,-0.028267938921763,-0.0211572440586364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114380091368494,0,0,0,0,0,0.0132638699707065,-0.0114999511471948,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0.00174112961181777,0,0,0,0,0.00232178144963305,0,0,0,0,0,0,0.561449695221508,0,0,0,0,0.0879613032542009,0,0,0,0,0,0,-0.0609045442864859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578237172926436,0.00298867820831493,0,0,0,0,-0.0129822615228017,0,0
X600011.SH,0,-3.46944695195361e-18,0,0,0,0,0.143406169403703,0,0,0,0.014655744076043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33482823936669,0,0,0,0,0.101581448918828,0,0,0,0,0,0,0,0,0,0,0.0863849242215999,0.0561578430458982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04771033287355,0.12621954319616,0,0,0.0459481435685442,0,0,0,0,0,0,0,0.284060720938043,0,0,0,0,0,0,0,0.153004342674685,0,0,0,0,0,0.0987419246219711,0,0,0,0.034397159431514,0,0,0,0,0,0,0,0.00346910489101245,0,0,0,-0.0118748198088529,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331364648174595,0,0,0,0,0,0,0,-0.00145091341066136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28927839068718,0,0,0,0,0,0,-0.0345851316696579,0.049255647557332,0,0,0,0.0201963167219004,0,0
X600111.SH,0,0,0,0,0.0584263705209269,0,0,0,0,0,0,0,0,0.277134111495858,0,0,0,0,0.0976066859823468,0,0,0,0,0,0,0,0.0271813033528634,0,0,0,0,0,0,0.10911183814594,0,0,0,0,0.0805706625357533,0,0,0.0525028492208567,0,0,0.0583666157880336,0.0483629464170156,0,0,0,0.140228118805791,0,-0.083580499033361,0.0325794277402031,0,0,0,0.0746078317145561,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.318058779538664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268693692444925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558927752813067,0.0216487325639232,0,0,0,0,0,0,-0.00375567993741758,0,0,0,-0.0561232248965621,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.270735629044436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103952198152773,0,0,0,0,0,0,0,0,0.0959996929109876,0.114686764146902,0.0478895398152047,0.0488494450804488,0,0,0,0,0,0,0,0,0,0,0,-0.0140434118173371,0,0,0,0,0,0.00178851206535937,0,0
X600160.SH,0,0,0,0,0.209949287502331,0,0,0,0.0508398748010367,0,0,0,0,0.260698410472038,0,0,0,0,0,0.0204680094113123,0,0,0,0.10423749764991,0,0,0,0,0,0.0228889722168323,0,0.102233321347134,0,0,0,0,0,0,0.0846269807562478,0,0.0980633013294037,0,0,0,0,0.118281353359343,0,0,0,0,-0.117649888796582,0,-0.0444883718213121,0,0,0,0,0,0
X002460.SZ,0,-0.0794351360218264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123348407194052,0,0,0.931715573021904,0,0,0,0,0.0789954622668658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0032154020027138,0.00912645148624901,0.0057068457565735,0,0,0,0,0
X600803.SH,0,0.0643963034875918,0,0.141399972006266,0,0,0.168551624160033,0,0,0.0766847336896366,0.0146957817039497,0,0,0,0,0,0,0,0,-0.0347015880405196,0,-0.0367803334327204,0,0,0,0,0,0.121910208896846,0,0,0,0,0,0,0,0,0,0,0.0229367185965366,0.148079020300251,0,0,0,0,-0.069630085093073,0,0,0,0,0,0,0.00937226698239132,-0.0204184976929761,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0.219851231765511,0.541774828814059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232027233674707,0,0,0,0,0,0,0.0146084580781691,0,0,0,0,0,0,0,0.0899340508932366,0,0,0,0,0,0,0,-0.141715437325134,0,0,0.0172616315003709,0,0
X000708.SZ,0,0,0,0.107638916132987,0,0,0.218627477989604,0,0,0,0,0,0,0,0,0,0,0,0,0.0272618878050067,0,0,0,0,0,0,0.0976746172114262,0,0.0935180835373125,0,0,0,0,0,0.0605478832994553,0.0906775541034142,0,0.0114602226961669,0,0,0.0892943530013303,0,0,0,0.0368000922323563,0,0,0,0.100169952729831,0,0,-0.0119652431957987,0,0,0,0,-0.00359837719709973,0,0
X000301.SZ,0,0,0,0,0.121046491553483,0,0,0,0,0,0,0,0,0,0.102583539147087,0,0,0,0.111063821181717,0,0,0,0,0,0.167824690246306,-0.000305121082309474,0,-0.10906140808675,0,0,0,0.253350625490021,0,0,0,0,0,0,-0.0945639303461051,0,0,0,0,0,-0.0189465889019139,0,0.0215002677521524,0,0,0,0,0.022860943490656,-0.0138761196942266,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0.33306764154123,0,0,0,0,0,0.0496373618121734,0,0,0,0,0,0,0,0.120985854701377,0,0,0,0,0,0,0,0,0,0,0,0,0.00435630464190725,0,0,0,0.443919772452302,0,0,-0.0392136807035534,0,0,0,0,0,0,0,-0.0270950460633732,-0.00524849905430004,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0.107990035173617,0,0.297457084612086,0,0,0,0,0,0,-0.102738381231267,0,0,0,0,0,0,0,-0.0824924464416219,0,0.0927046936452766,0,0,0,0,0,0,0,0,0,0,0,0.129558736084699,0,0,0.0964425578483372,0,0,0,0,0,0,0,0,-0.00815578117254916,0.0298940388875315,0,0,-0.0481315648252675,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117042899431496,0,0,0,0.617142502231214,0,0,0,0,0,0,0,0,0,0.0986310075960682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143893319252873,0,0.00725940288810437,0,0,0,0.00406412074300448,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0.101936464309202,0,0,0,-0.028274479056599,0,0.1597975251966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197995439833088,0,-0.177693889268921,0,-0.0227033947376157,0,0,0,-0.0272374242680948,0,0
X601991.SH,0,0,0,0.00515961848394183,0,0,0,0,0,0,0,0,0.0529157125409397,0,0,0,0,0,0.00508541051542356,0.0429906675327891,0,0,0,0,0,0,0,0.0854686503266047,0,0,0,0,0,0,0,0.169666709058423,0,0.0510884963513159,0,0,0,0,0.106130852510631,0,0,0,0,0.046402302539921,0,0,0,0,-0.00785685895330991,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0.0295861173680995,0,0,0,0,0,0,0,0,0.148346597961056,0.0723945249315909,0,0,0.0799163659907314,0,0,0,0.0677541159437189,0,0,0,0,0,0,0,0,0,0.200960355074936,0.0519992646362615,0,0,0,0,0.0307931780101787,0,0,0,0,0,0,0,0,-0.00258937483880671,0.0252359150674636,0,0,0,0.0311866181189655,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.301531117377925,0,0,0,0,0,0,0,0,0.100483569064148,0,0,0,0,0,0,0.180852362770566,0,0,0,0,0,0,0,0,0,0,0.0167916206345776,0,0,0,0,0,0,0.220170181493128,-2.16840434497101e-19,0,0,0,0,0,0.00628517899606861,0.00822775314182203,-4.33680868994202e-19,0,0,0,-0.0880813741611834,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445967311163181,0.0161332505094666,0,0,0,0.0315307980375206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190234055443144,0,0,0.0924677128446982,0,0,0.022188187175173,0.110079999359846,0,0,0,0,0,-0.0106772724313562,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0.027810880303722,0,0.012963327942285,0,0,0.220807861205032,0,0.0197364056745707,0,0,0,0,0.0367327167117626,0,0,0,0,0,0,0,0,0.0642384262249266,0,0,0,0,0,0,0,0,0.273435309890282,0,0,0,0,0,0,0.0184940316211458,0,0,0,0,0,0,0,-0.0331210971680404,0,0,0,0,0,0
