,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600809.SH,X600690.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X600104.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X000066.SZ,X600703.SH,X600372.SH,X000157.SZ,X600839.SH,X002028.SZ,X002049.SZ,X600522.SH,X002456.SZ,X002236.SZ,X600183.SH,X600741.SH,X600066.SH,X002156.SZ,X600460.SH,X601877.SH,X002085.SZ,X002129.SZ,X600487.SH,X000661.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.124965015267039,0,0,0,0.137931070862188,0,0,0,0,0.0377138873489676,0,-0.012212359455891,0,0,0,0,0.329205018224678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00741423540605483,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.00611867457110559,0,-0.00410622934359107,0,0,-0.042022522700972,0,0
X000858.SZ,0,0,0,0,0,0.339145395021691,0,0,0,0,0,0,0,0,0,0.043033345754534,0.0523072663703827,0.245486002382461,0,0.012318067410751,0,0,0,0,0,0,0,0,0,0,0,0,0.167961575112712,0,0,0,0,0,0,0,0,0.0921685495315259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419513483996204,0,0,0,0.242834537077457,0.0657492990089681,0,0,-0.013037123266228,0,0,0,0,0,0.0735161538922535,0,0,0,0,0,0,0,-0.0301449419458883,0,0,0,0.124323610643466,0,0,0,0,0,0,0,0,0,0,0.0274397999246381,0.165733923200551,0,0,-0.0396707015614042,0,0
X002415.SZ,0,0,0,0,0,0.0201913270577002,0,0,0,0,0,0,0.000398845626316542,0.0872623494656229,0,0,0,0,0,0,0.215308376594444,0,0,0,0.00631094370956923,0.0431632424386445,0,0,0,0.00755771966481423,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0620445024887806,0.0140038997900422,0,0,0,0,0,0,0,-0.00398935071555184,0,0,0,0,-0.0602856659578235,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0858735293058271,0,0,0,0,0.131455027742126,0,0,0,0,0,0,0,0.0398438717551868,0,0,0,0.250069056960683,0,0.000295429834564792,0,0,0,0,0,0,0.0501330300081995,0,0,0,0.0348869520653263,0,0.128707338961088,0,0.0154321998306018,-0.0169417924811718,0,0,0,0,0,0,0,0,-0.00457022533212212,0,0,0,0,0,0,0
X600809.SH,0,0.127136642305402,0,0,0,0,0,0,0,0.403233734265197,0,0,0,0,0,0,0,0,0,0.220181565063281,0.00387597054276157,0,0,0,0.0204526974746499,0,0,0,0.0523685174813213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448147498422511,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.225461808225172,0.0336851057975481,0,0,0,0,0,0,0,0,0,-0.023744576202086,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0321116193720958,0,0,0,0,0,0.00755665745325145,0,0,0,0,0,-0.0297717081393076,0,0,0,0.248319613889652,0,0.0293965634483516,0,0,0,0,0.0072626054762516,0,0
X000651.SZ,0,0,0,0,0.160402479208333,0,0,0,0,0,0,0,0,0,0,0,0,0.062163771470491,0,0,0.00818795651408168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0870524824783922,0,0,0,0,0,0.191448618097677,0,-0.0561094620506185,0.050307601649888,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.261625646145929,0,0,-0.0872536350563521,0,0,0,0,0,0,0,0,0,0,0,0.243297542385805,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.0362558029164918,0,0,0,0,0.12357409863874,0,0,0.0623865274148974,0,0,0,0,0,0,0.0120340417310124,0,0,0,0.0026962979101929,0,0
X000568.SZ,0,0.369769488767016,0,0,0,0.322489636239317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119172845620726,0,0,0,0,0,0,0,0,0,0.0258110240335282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507126601420287,0,0.0128358441827046,-0.00414174968178456,0,0,0,0,0,0
