,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X002304.SZ,X000625.SZ,X000858.SZ,X600031.SH,X000063.SZ,X600690.SH,X000338.SZ,X600276.SH,X000157.SZ,X600372.SH,X600741.SH,X600089.SH,X002241.SZ,X000100.SZ,X600703.SH,X600066.SH,X600118.SH,X000623.SZ,X601877.SH,X600271.SH,X000568.SZ,X000550.SZ,X000581.SZ,X002236.SZ,X000800.SZ,X600177.SH,X002475.SZ,X000869.SZ,X600582.SH,X002294.SZ,X300124.SZ,X000559.SZ,X600839.SH,X002129.SZ,X000400.SZ,X000050.SZ,X600809.SH,X002456.SZ,X002007.SZ,X000977.SZ,X002465.SZ,X600252.SH,X002292.SZ,X300003.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0.186205801552696,0,0.0728251761385852,0,0,0,0,0,0,0.572730026401599,0,0,0,0,0,0,0,0,-0.0707769092440386,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313264881062802,0,-0.0643195755205717,0,0,0,0,0,0,0,0,0.205968819183397,0,-0.0210022022826982,-0.00271602116176481,-0.183022829330959,0,0,0,0,0
X600519.SH,0,0,0,0.0429005551493614,0,0.22670713733334,0,0.0464768500918199,0,0,0.289549435173151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567120051268067,0,0,0,0,0,0,0,0,-0.0670756182786427,0,0,-0.0353622892395569,0,0,0,0,0,-0.140524290316583,0,0,0,0,0,-0.00943874647776706,-0.154474522040093,0,0,0,0,0
X000651.SZ,0.15674688750192,0,0,0.130048344862879,0.0706350011999948,0,0,0,-0.0699158635240443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313653968409127,0,0.0232114584443132,0,0,0,0,0,0,0,0.0417920673022428,0,0.0664294317649704,0,0.0747436435552899,0,0,0,0,0,0,0.0424756007998285,0,0,0,0,0,0,-0.0719194654694326,-0.0153804560667596,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858365738713484,0,0,0,0,0.433506464554131,0,0,0.119057165128164,0.0890730546371912,0,0.075402087842727,0.0660450462916847,0,0,0,0,0.181332261458143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0490052971816411,-0.000419108473587805,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.136971655300669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0853131131396003,0,0,0,0.0498184810114637,0.221412065808554,0,0,-0.0149208639448312,0,0,0.0636471851384164,0.132947180455457,0,0,0,0,0,0,0,0,0,0,-0.0427043730295004,0.00549822458442901,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.103020417840503,0.00191850069698653,0,0,0,0,0,0.0394347853589234,0,0,0,0.271260422795371,0,0,0,-0.0899309476109086,0,0,0,0,0,-0.143751388549581,0,0,0,0.0264576478947038,0,0,0,0,0,0,0,0,0.401187404714059,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0116635425370238,0.0100022082797436,0,0,0,0,0
X000625.SZ,0.360506755615345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000560461783400648,0,0,0,0,0,0.120063649871147,0,0,0,0.0272145309066363,0,0.161424010133236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094061507631357,0,0,0,0,0,0,0,-0.0303732372655882,-0.00270629722452974,0,0,0,0,0,0
X000858.SZ,0,0,0.220827790139041,0,0,0.0140617071923452,0,0,0,0,0.0962649184545143,0,0,0,0,0.154490464555061,0,0,0.0373347089479183,0,0,0,0,0,-0.0135261287118341,0.0104098915787971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00843838398295569,0,0,0.00582405945952729,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.0453275954463024,0,0,0,0.0347289810823824,0,0,0,0.852278419438498,-0.0242202455459966,0,0,0,0,0,0,0,0.017513171336124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0391184744145974,0,0,0,0,0,0,0,0.004270742448007,0,0,0,0,0,0
X000063.SZ,0.0725979024393192,0,0,0,0,0,0,0,0.0868678881508389,0,0,0,0,0,0,0,0,0,0,0.0901596413791911,0,0,0.00739370816041932,0,0,0,0,0,0,0,0.0936635731140691,0,0,0,0,0,0.0758405520450347,0.0273968879746188,0,0,0,0.00580160552049667,0,0.007546819862766,0,0,0,0,0.0199959124309953,0,0,0,-0.00176712591218294,0,0,0,0,0,0
X600690.SH,0,0.158798547508301,0.0308005106157025,0,0,0,0,0.10232409951723,0,0,0,0.136468993843847,0,0,0,0.173080070494751,0,0,0.0769213029710793,0,0,0,0,0,0,0,0.120384094523102,0,0,0,0,0,0,0,0,-0.0807408358947065,0,0,0,0.0286601539909623,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,1.96774827616346e-05,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400172927947202,-0.0963690410761885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575170779319103,0,0,0,0.0626587237068062,0.0335456148806651,0.0476342193035393,0,0.374018293050499,0.0139822532137666,0.0374633951945244,0,-0.0850978822524936,0,0,-1.73472347597681e-18,-0.0046296499670863,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0307450894153161,0,0,0,-0.0138940801914263,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501076028648456,0.0405493169066242,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0179526597431261,0,0.154933865104125,0,0,0,0,0,0,0.0612464421298643,0,0,0,0.138448002170005,0,0,0,-0.0527270026086105,0.0153754716128983,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.357749275971578,0,0,0.259064244975716,0,0,0,0,0.123432092972925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547296962917579,0,0,0.10400403081167,0,0.0651031980605074,0.00423299304592512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375658620555343,-0.0291309383098096,0,0,0,0,0,0
X600372.SH,0,0,0.018157455101339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174249966964611,0,0,0,0.0303552858367017,0.299924890439852,0,0.110092129460488,0,0,0,0,0,0.0478596857686595,0,-0.0909422990441468,0,0,0,0,-3.46944695195361e-18,0.152857763119302,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0402523542091588,0.0156355535750651,0,0,0,0,0,0
X600741.SH,0.199870404139718,0,0.0501472661993802,0,0,0,0,0,0,0,0.0193030175051559,0.0231625970454715,0,0,0,0,0.1873679259995,0,0,0,0,-0.0545696743643347,0.14120590965081,0,0,0,0.15718769592358,0,0,0,0,0,0,0,0,0,0,0.0162247347888204,0,0,0,0,0,0,0.0773889991669259,0,0,0,0,0,0,-0.0427042003060382,-0.0195898589511724,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0.116233125464793,0,0.163609531921241,0,0.185175703327153,0,0,0,0.349692335514946,0,0.103801802930921,0,0,0,0,0,0.0202529692199956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0343973587755956,0,0,0,0,0,0,0,0,0,0,0.00146808971009371,0,0.285499964493196,0,-0.0194810474582938,-0.00646917515437796,0,0,0,0,0,0
X002241.SZ,0,0,0.0339852313762518,0,0.0979720785622934,-0.130008168058438,0,0,0,0,0,0,0,0,0.0365512732511045,0,0,0,0,0,0,-0.0628893754819405,0,0,0.158447907895094,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.109512354328934,0,0,0,0,0.0166990364860399,0,0.154183596919502,0,0,0.140385279340806,0,0.117768626313957,0,-0.0022412967961491,-0.00483891534691831,0,0,0,0,0,0
X000100.SZ,0,0,0,0.118647091348,0,0,0,0,0,0,0,0,0,0,0,0.150302795585281,0,0,0,0,0,0,0,0,0,0,0.181993116860025,0,0,0,0,0,0,0,0,0.00752495037560886,0.042912195975162,0.0245086573661497,0,0,0,0,0,0,0.0245076023644074,0,0,0,0,0,0,0.0541621823330751,0.00385668174939114,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561230140544259,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0248952179349303,0.0657801580897148,0.0980155390427998,0,0,0.0314322349459292,0,0,0.0589125597789574,0.0509769147663143,0,0,0,0,0,0,0,0.005924119925658,0,0,0,0,0,0
X600066.SH,0.16857571851564,0,0,0,0,0,0,0,0.144810657212888,0.0318929263517056,0,0,0,0,0,0,0,0,0,0,0,0.0453580914813194,0.0883789092433362,0.0974341161481904,0,0,0,0,0,0,0,-0.0594672567564395,0,0,0,0,0,-0.0603561361584583,0,0,0.154026824564092,-0.0328062683581068,0,0,0,0,0,0,0,-0.00141648726016943,0,0,0.00130817184737414,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,-0.0939693643147129,0,0,0,0,0,0.13118711403747,0,0.432761417240164,0.513271108118495,0,0.0404198230007901,0,0,0,0,0,0,0,0,0,0,0,0.105655763397961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702158874979665,0,0.314654057607622,0.0439693795522631,0,0,0.0306721604666046,-0.0111472590919672,0,0,0,0,0,0
X000623.SZ,0.0518507242050717,0,0,0,0,0,0.0157325671295104,0,0,0,0,-0.000526272347562287,0,0,0,0,0,0,0,-0.0734577022901985,0,-0.17797838508901,0,0,0,0,0,0,0,0,0.706227922326633,0,0,0.277112020736429,0.215488139144142,0,-0.233995259685761,0,0,0,0,0,0,0.181065332559372,-0.0469208024010371,0,0,0,0,0,0,0.0284748453307692,-0.0138849340800345,0,0,0,0,0,0
X601877.SH,0,0,0.078279897443221,0,0,-0.00864260331030949,-0.0883566053129813,0,-0.0925002542362138,0,0,0,0,0,-0.0889484450203264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0908779189477791,0,0.0129752457501004,0.17637737764314,0,0,0,0,0.132608247852273,0,0,-0.0731815962744429,0.00665121752440482,0,0,0,0,0,0,0,0,0.00659086859996926,-0.0220841453565083,0,0,0,0.0337109418902035,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110482133521101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033691937893942,0,0,0,0.24074007040653,0,0.181687071270381,0,0,0,0,0,0,0.0594837009570465,0,0.158257984254131,0.169828761869345,0.0863985824291716,0,0.0672594585668578,0,0,-0.062012013763814,-0.0195399262197517,0,0,0,0,0,0
X000568.SZ,0,0,0.139736405526368,0.046584852354123,0,0,0,0.0988300381585651,0,0,0,0,0,0.040709952554435,0,0,0,0,0,0,0,0,0,0.0533148394780788,0.0555754611703234,0,0,0,0,0,0.142350771822363,0,0,0.141590710753684,0,0.028270979640422,0,0,0,0,0,0,0,0,0,0,0,0,-0.0922705290418895,0,0,0,0,0,0,0,0,0,0
X000550.SZ,0.167977621833861,0,0,0,0,0,0,0,0.00586710643150703,0,0,0,0,0,0,0,0,0,0,0.115475849617267,0,0,0,0,0,0,0,0.168599717220626,0,0,0,0,0,0.0172250084537665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917444461092449,0,0.0215474092281025,0,0,-0.000490543388281572,0,0,0,0,0,0
X000581.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00328424695877319,0,0.0610181512535005,0,0,0,0,0,0,0,0,0,0,0,0.0424959176256789,-0.0334233484066539,0,0,0.0439599829845362,0.210593225301808,0,0,0,0,0.0772629019570452,0.0964329563372458,0,0.0811007697781936,0,-0.0339964616489787,-0.0159199920714629,0,0,0,0,0,0
X002236.SZ,0,0.0309723214339552,0,0,0.171631461785206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117294181308262,0.0664932279520967,0,0.0962929851497929,0,0,0.0521155712586852,0.347361779878661,0.0176957200447807,0,0,0,0.0591359160018637,0.14127027828906,0,0,-0.0170283595035352,0,0,0,0,0,0,0
