,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X600741.SH,X600372.SH,X000157.SZ,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X002236.SZ,X000550.SZ,X601877.SH,X600177.SH,X002475.SZ,X000581.SZ,X000800.SZ,X600582.SH,X000568.SZ,X002129.SZ,X300124.SZ,X002294.SZ,X000623.SZ,X002292.SZ,X000559.SZ,X600060.SH,X300003.SZ,X000050.SZ,X002456.SZ,X000400.SZ,X000977.SZ,X000869.SZ,X600839.SH,X300146.SZ,X002465.SZ,X002038.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.177798015787389,0,0,0,0.111420711619348,0,0.102681201168084,0.123869441234905,0,0.234361907889798,0,0,0,0,0.159242952638412,0,0,0,0,0,0,0.0274923735925352,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029255708457697,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.0522953575991108,0.17297078371066,0,0.135031272479118,0,0.0259296354360818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570321766257402,0.0374128808865712,-0.0654459250628042,0.00518133039664865,0,0,0,0,0,0,0,0,0,0,-0.00854561424792793,0,0,0,0,0.0272696077785966,0,0,0,0,0,0,0,-0.00563284985310457,0,-0.0880302795627376,0,0,0,0
X000651.SZ,0.179432046297545,0.0176761964039456,0,0,0.113354400205953,0.102754249586796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134995147545105,0,0,0,0,0,0,0,0,0,0,0,0.103467435299469,0,-1.73472347597681e-18,0.0490164065558247,0,0,0,0,0,0,0,0,0,0,0.0519035332122668,0,0,0,0,-0.00226113017179821,0,-0.0612372068576489,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0863737833536899,0,0,0,0,0,0,0.145754329537004,0,0,0,0,0,0,0,0.147972054607885,0,0,0.0886535236370092,0,0,-0.216701808404566,0,0,0.16301891030779,0,0,0,0.0784616979157402,0,0,0.0462976622447856,0,0,0,0,0,0.086175156504243,0,0,0,0,0,0,0.186293341747654,0,0,-0.00576373366945629,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.128751224619287,0,0,0,0.202235276440231,0,0,0,0,0.00393947436777007,0.0937910197224568,0,0,0,0.115172459905226,0,0,0.0858549746946281,0,0.0538473529827527,0,0.0815254508627221,0,0.0366698026663356,0,0,0,0,0,0,0,0,0,0.145269012883838,0,0.117079882816728,0,0,0,0,0.011435965374238,0,0,0,0,0,0
X000625.SZ,0.094072046172135,0,0.148255487957959,0,0,0,0.129782522206279,0,0.193813404062178,0,0,0,0,0,0.0978477221645578,0,0,0,-0.0994018903386157,0,0,0,0,0,0.227863212755833,0,0,0,0,0,-0.0107167236986036,0,0,0,0,0,0,-0.042642232375854,0,0,0.0442543298358829,0,0,0,0,0,0,0,0,0,0,0,0.0172588589128171,0,0.0814962789974363,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.336353292801648,0,0,0,0,0,0,0,0,0,0,0,0,0.0757191544996876,0,0,0,0,0,0,0,0,0,0,0,0,-0.00171719006141669,0,0,0,0,0,0,0,0,0,0,0.347613155735249,0,0,0,0,0,0,0,-0.00549836191261755,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0569388198909376,0,0,0,0.097023257075595,0.0966658281043632,0,0.0317499149347313,0.0572557431427207,0.110134332382397,0,0,0.161400012468991,0,0,0,0,0,0,0,0,0,0,0,0,0.0522073357289371,0,0,0,0,0,0,0,0,0,0,0.0436272845361578,0,0,-0.00436413177220357,0,0,0,0,0,0,0,0,-0.00457306806982292,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.082726029678125,0,0.198471542910234,0,0,0,0,0.0421339453811133,0,0,0,0,0,0,0,0.0661888691729124,0,0,0.00577726638503363,0,0,0,0,0,0.125202451792606,0,0,0.0456968863318097,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-0.00646330559207583,0,0,0,0,0,0
X600690.SH,0,0,0.0684672158472705,0,0,0,0,0.129574787957263,0.00828604784036706,0,0,0,0.220898023906201,0.211140720592276,0.0055327412765157,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0761101645841762,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.0171188687027485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.015002544458244,0,0,0.0186604877802563,0,-0.0744701641512775,0,0,0,0.0346940831987383,0,0,0,0,0,0.064930558625935,0,0.216501311164568,8.67361737988404e-19,0,0.106357884644113,0,0,0,0,0,0,0,0,0.121307022301063,0,0,0,0,0,-0.0598321155713797,-0.00336727764831002,0,0,0,0,0,0,0,0,0,0,0,-0.0134405991282173,-0.00178325891502159,0,0,0,0,0,0
X600031.SH,0.151833016930889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806152836621798,0,0,0.0121071195797115,0,0,0,0,-0.0489177831768454,0,0.034881374876721,0,-0.00888315736885206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189699030455083,0,0,0,0,0,0,0
X000100.SZ,0.0457630090241214,0,0,0,0.188686669737296,0,0,0.0860491561343455,0,0.0568514357303538,0,0.0405158182459504,0,0,0,0,0,0,0,0,0,0,0,0,0.0282796608585706,0.0201045429330091,0.00438123868449419,0,0,0,0,0,0,0,0,0.0115932962202785,0,0,0.306170814618621,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219228665151196,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.113262021192731,0.119806639901341,0,0,0,0,0,0,0.628297712248903,0,0.0909549266207793,0,0,0.0278717183314623,0,0,0,0,0.0281131750673752,0,0,0,0,0,0,0,0,0.00042963977140731,0,0.0147730617975689,0.00500934769018727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265567457052429,0,0,0,0,0,0
X600741.SH,0.366052466717391,0,0.104412960497378,0,0,0,0,0.0656844223869606,0.0540099921705898,0.0338045565826113,0,0,0,0,0,0,0,0,0,0.0777415265418321,0,-0.0403896827330131,0,0,0.0364603237295247,0,0,0,0,0,0,0,0,0.0470118320540041,0,0,0,0,0.0119838882393932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00310403557630567,0,0,0,0,0,0
X600372.SH,0,0,0.0655996448972666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269401661375921,0,0,0,0,0.0779271513925638,0,0.0546033279980407,0,0,0,0,0,0.00642255976246966,0,0,0,0,0,0,0,0,0,0,0,0.054460171042495,0,0,0,-0.0339680840066436,0.0433901099070211,0,0,0,0,0,0
