,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600741.SH,X002129.SZ,X600703.SH,X600118.SH,X600271.SH,X002241.SZ,X600177.SH,X600066.SH,X600582.SH,X002236.SZ,X601877.SH,X000581.SZ,X000800.SZ,X000568.SZ,X000559.SZ,X000623.SZ,X000550.SZ,X600839.SH,X002475.SZ,X600060.SH,X002294.SZ,X000977.SZ,X300124.SZ,X002007.SZ,X002292.SZ,X000869.SZ,X000050.SZ,X300146.SZ,X000400.SZ,X002456.SZ,X002008.SZ,X002465.SZ,X600252.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.0472839432010436,0.117623541796334,1.73472347597681e-18,0,0,0,0.167960482180211,0,0,0,0,0,0,0,0.0620986181756337,0,0,0,0,0,0,0.0140823200501793,0.047224024780333,0,0.0793716190979698,0,0,0,0.0314184058282412,0,0.0157133090166296,0,-0.0115592226091826,0,-0.0252990890164228,0,0,0,0,0,0,0,0,0.0170751498810373,0,0,0,0.00392734629383304,0,0,-0.020271918707817,0,0,0,0,0,0
X600519.SH,0,0,0,0.102874435408,0,0,0.0946343376396212,0,0,0,0.0543296344912887,0,0,0.0909177717894014,0,0,0,-0.00507138019628284,0,0,0.0477699763634322,0,0,0,0,0,-0.0157131289398518,0,0,0,0.0283888968724554,0,0.0425196296063349,0,0,0,0,0,0,0,0,0,0,0,-0.0755408246164224,0,0,0,0,0,0,-1.0842021724855e-19,0.0250154391738119,0,0,0,0,0,0
X000651.SZ,0,0.1933515076641,0,0,-1.73472347597681e-18,0,0.0126595718938215,0,0,0.0594191974749364,0,0,0,0.248247218939186,0,0,0,0,0,0,0,0.0168733111585652,0,0,0,0,0,0,0,-0.00609770476848033,0,0,0.0249822683873442,-3.46944695195361e-18,0,0,0,0,0,4.33680868994202e-19,0,0.021870789264719,0,0,0,0,0,0,0,0,0,4.94881602935641e-05,-0.0732624733714669,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014726209626452,0,0.238359601215326,0.0572179054813571,0,0,0,0,0,0.0186648415803545,0,0,0,0,0,0,0.112554720519227,0,0,0,0,0,0.0632685133369834,0.11853146561763,0,0.0738009602918167,0,0.27041720872822,0,0,0,0.207050555766287,0,-0.0565017981161377,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0431167099415936,0,0,0,0,0,0,0.0515401954731351,0,0,0,0.126822350132801,0,0,0,0,0,0,-0.0946613933945483,0.0134236997778292,0,0,0,0,0.0259318000478873,0,0,0.257575587738153,0.256130591610679,0,0,0,0,0,0.0981180481379423,0,0,0,0,0,0.0842796951385056,0,0,0,0,0,0.00435147037690195,-0.0425907566662422,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.146304405820071,0,0,0,0,0,0,0.0346487517087768,0.0338399552830059,0,0,0,0,0.197295155846924,0.0287499952775392,0,0.0280460202821312,-0.0288950963573676,0,0,0.044146403720522,-0.0648337382983269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673132149917096,-0.035986117125173,0,0,0,0,-0.00520758430987866,0,0,0,0,0,0.0251129806375652,-0.0338022083129216,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.374664930646599,0.308455377750526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0.082687707633083,0,0.0929355265728202,0,0,-0.0466504685251994,0,0,0.0298529417703586,0.0565955978134323,0,0,0,0,0,0,0,0,0.0781564301111406,0,0,0,0,0,0,0.0558876647484418,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0367765290476796,0,0,0.113447878234158,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0531199814694248,0,0,0,0,0,0,0.0444309032361946,0.0187701670312845,0,0,0,0,0,0.136501641272451,0,0.0971702500332903,0,0.170439042797881,0,0,0,0,0,0,0,0,0.0286357620381519,0,0,0,0,0,0,0,0,0.0147025370696808,0,0,0,0,0,0
X000063.SZ,0,0,0.000505056566594525,0,0,0,0.0118379472860866,0,0,0,0,0.0303554777140919,0.151960012683634,0,0,0,0.0492049091684142,0,0.0280292487358382,0,0,0,0,0.0381387570348624,0,0,0.019581553869611,0,0,0,0,0,0.142083924650289,0,0,0,0,0,0,0,0,0,0,0.00077680647176049,0,0.0961059248999051,0,0,0,0,0,0,-0.00815037068030618,0,0,0,0,0,0
X600690.SH,0,0,0,0.0188114368364833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588448883334948,0,0.140447845951676,0.180441207808934,0.116634033938465,0,0,0,0,0.0115444929025687,0,0,0,0,0,0,0,0.0454677266558882,0,-0.0220148134535087,0,0,0,0,0,0,0
