,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X002292.SZ,X002236.SZ,X600066.SH,X000338.SZ,X002241.SZ,X002475.SZ,X600741.SH,X600089.SH,X000559.SZ,X601877.SH,X002129.SZ,X600177.SH,X000547.SZ,X000016.SZ,X600839.SH,X600435.SH,X000568.SZ,X002465.SZ,X300124.SZ,X300003.SZ,X600582.SH,X002294.SZ,X600252.SH,X002456.SZ,X002276.SZ,X000066.SZ,X002179.SZ,X000550.SZ,X002007.SZ,X000581.SZ,X000800.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.229479250412983,0,0,0,0.00851831000116329,0,0,0.103675008992282,0.0395923017925948,0,0,0,0,0,0,0,0,0,0,0,0,0.159769473413453,0.0428388448714444,0,0,0,0,0,0,0,0,0,0,0.0125621727603993,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0110670339122939,0,0,0,0,0.0184523824558746,0,0,0,0,0,0
X600104.SH,0.494476888594985,0,0,0,0,0.0301547124013001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236594987566395,0,0,0.012969682502318,0,0,0,0,0,0,-0.0128384834080641,0,0,0,0,0,0.068850841859491,0.067337267945253,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.120699593075198,0.0177715260162214,0.020950799511016,0,-0.00915475841099461,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0517194279619467,0,0,0,0,0.129188501145856,0,0.0870001913725327,0,0,0.105676308498811,0,0,0,0,0,0,0,0,0.0316587703518409,0,0,0,0,0,0.00232963600749018,0,0.349186264504846,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0437214109414849,0,0,0,0,0,0,-0.0181298609727568,0.00860561071197965,0,0,0,0,0,0
X002415.SZ,0,0,0,0,-0.0182653806012769,0,0,0,0,0,0,0.207505981947858,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.208722450368007,0,0,0,0,0,0.184918999554743,0,0,0,0,0,0,0.021794622817727,0.00809273885600716,0,0,0,0,0.0398702746623825,-0.0686384631097083,0,-0.0115047186171749,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0.119323935884435,0,0,0,0,0,0,0,0.104893948689309,0.0301588850991142,0.189091325473666,0,0,0,0.101188464556419,0,0,0,0.0151502385438411,0,0,0,0,0.0838563838264528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292775184501523,0,0,0,0,0,0,0.156908099067826,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.188264700986329,0,0,0,0,0.411139272983979,0,0,0,0,0,0,0.0349565823450407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112193340571311,0,0,0,0,0,0,0,0.00577659934232379,0,0,0.000772910227594775,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0318043906788898,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.238289127238675,0,0,0,0,0,0.031749215794199,0,0,0,0,0,0.138006156277903,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0785707845945396,0,0,0.00368669643568551,0,0.473828873009295,0,0,0,0,0,0,0,0,0,0,0.00388194340400438,0,0,0,0,0,0,0.0162727625168572,0,0,0,0,0,0
X600276.SH,0,0,0.276478264179586,0,0,0,0,0,0,0.0613445031171745,0,0.0922222117518955,0,0,0,0,0.0662804814422691,0,0,0,0.0825548161458442,0,0.0908052294982153,0,0.0356054046501654,0,0,0,0,0.167461352780315,0,0,0,0,0.000620162091852103,0,0,0,0,0.0162796736016259,0.12946764872344,0,0,0.00335356245583599,0,0.0180194759175037,0,0,0,3.46944695195361e-18,0,0,0.00834984149880785,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.141041239518392,0,0,0,0,0,0,0,0,0,0,0,0,0.174030043877424,0.321477677957598,0,0,0,0,0,0,0,0,0,0.105603618677291,0.0263044320839811,0,0,0,0,0.016741776284643,0,0,0,0,0,0,0,0,0,-0.017011960040364,-0.0218822025183219,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0879151642175509,0.038832150148793,0,0,0,0,0,0,0.123302154027133,0,0.0798870176059795,-8.67361737988404e-19,0,0,0,0,0,0,0.237037887211735,0,0.0273438533755865,0,0,0,0,0,0,0,0.0845767427318417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.101898848347387,0,0,0,0,0,0,0,0,0.0815793416144547,0,0,0.0842364248393812,0,0,0,0,0,0,0.016408947421283,0,0.015273719959338,0,0,0,0,0,0,0,0.0670553654224624,0,0.127134306554001,0,0,0,0,0,0,0,0,0,0,0,0.0981370431756929,0,0,0.0172236692653211,-5.42101086242752e-20,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357247927691827,0,0,0,0,0,0,0,0.0665882677532257,0,0,0,0,0,0,0,0.125419044572481,0.404539350812623,0,0,0,0,0,0,0,0.0184920042871969,0,0,0,0,0,0,0,0,0,0.00464550107774268,0.010927885541561,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0100153585230726,0,0,0,0,0.243607820494667,0,0,0,0,0,0.0435766251182251,0,0,0,0,0,0,0.0949048029571258,0,0.198987737010289,0,0,0,0,0,0,0,0,0,0,0.0314642515442162,0,0,0,0,0,0,0,0,0,0,0.0228521242589424,0.0256818782398548,0,-0.0142807192935835,0.00235486782362205,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.228612371552974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207611544094028,0,0,0,0.0905614047573156,0.161298309684895,0,0,0,0,0.011053434758776,0,0,0,0,-0.0175478784002692,-0.0239206203640206,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.168056788808271,-0.0110597295941705,0,0,0,0.165507331663099,0,0,0,0,0,0,0.0809103794480096,0,0,0,0.0127655924565823,0.181078368487838,0,0,0.0678085886505458,0,0,0,0,0,0,0,0,0.0650564327597417,0,0,0,0.181581899294068,0,0,0,0,0,-0.000364546878339878,-0.0015900966195253,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0.0198151829295891,0,0,0,0.232634738125868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925445945804547,0.204735988465549,0,0,0,0.0477022140352714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122617639695958,-0.00958020439299912,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0.191258225718288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281740244978717,0,0,0,0,0,0,0.0592605867835145,0,0.0613141927684432,0,0,0,0,0,0,0,0,0.0118982239546387,0,0,0,0,0,0,0.00615570037409199,-0.000956645981896822,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0.245161233700543,0,0,0,0,0,0.287234007450128,0,0,-0.0238243819023202,0,0,0,0,0,0,0,0,0.0855930482435116,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195581936179287,0,0,-0.0222385241365471,0.0345275338005506,0,0,0,0,0,0
