,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X000559.SZ,X002241.SZ,X002292.SZ,X600066.SH,X002129.SZ,X600089.SH,X600741.SH,X002475.SZ,X002236.SZ,X601877.SH,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X002465.SZ,X000568.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X600252.SH,X002456.SZ,X000977.SZ,X002276.SZ,X002179.SZ,X002008.SZ,X000066.SZ,X002242.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.232313655110763,0.0116174356031269,0,0,0,0,0,0.101307545663276,0,0,0,0,0,0,0,0,0,0,0,0.101696036257039,0,0,0,0,0,0.0405995709775628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377163764350388,0,0.00771430905118016,0.00161443648822633,0,0,0,0,0,0
X600104.SH,0.30905736297005,0,0,0,0,0,0.0785320958006495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118025267662085,0,0.0723850649711196,0,0,0,0.0873718044059056,0,0,0,-0.00230880546734909,0,0,0,0,0,0,0,0.0659844265633327,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0804404131435791,0.0399530605739608,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.153646530687001,0,0,0.157352872425913,0,0,0,0,0,0.0886951869648348,0.117998168762107,0,0,0,0.0852066093988677,0.0147969852554546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261056806016916,0,0,0,0,0,0,0,0,0,0,0.0318385131104231,0,0,0,0,-0.00150903973895816,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.097131399863141,0.175750065287888,0,0.0843619493291566,3.46944695195361e-18,0,0.0906009762395625,-1.73472347597681e-18,0.0991786078491167,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.119045351161465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.152964828458311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.00205103191288272,0,0.116795815148441,0.191595096837837,0,0,0,0,0.0379122105388081,0,0,0,0.0580981525052328,0.159983646618566,0,-0.12221457389219,0,0,0,-0.0449281061775579,0.0402003249855343,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.11679264729049,0,0.237453003955862,0,0,0,0,0,0,0,0,0,0,0,0.20237302139354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435860602183195,0,0,-0.0489330460515498,-3.50844757579368e-05,0,0,0,0,0,0,0,0,0,0,0,0.0220088659419525,-0.0169919446611647,0,0,0,0,0,0
X002304.SZ,0,0.186875819150768,0,0,0,0.286546333110194,0,0,0,0,0,0,0.0113573396829686,0,0,0,0,0,0,0.018672673215208,0,0,0,0,0,0,0,0,0,0,0,0,0.0893969380036071,0,0,0,0,0,0,0,0.0293547100124784,0,0,0,0,0,0,0,0,0,0.0149355814035316,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0390540493071875,0,0,0,0.148501810517381,0,0.185593694974045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449598896003355,0,0,0,1.73472347597681e-18,0,0.1431033969143,0,0,0.0627531576947875,0,0,0,0,0,0.0615567103482033,0.0417401706226964,0,0,0,0,0,0,0.0927310992755073,0,0,0.0053669989281796,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.228918720941854,0,0,0,0,0,0,0,0,0.0912203773581026,0,0,0,0.23387005963351,0.126879907648287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138425117177613,0,0,0,0,0,0,-0.00460313282353624,-0.0328666352654134,0,0,0,0,0,0
X000625.SZ,0,0.00643346642710334,0,0,0,0,0,0.0411724329922366,0,0,0.0243380102184151,0,0,0.0873445482712868,0,0,0,0.0599542510628979,0.027685355511364,0,0,0,0.00991207893379705,0,0.0801057129981464,0.155567719663262,0,0,0,0,0,0,0,0,0.153437393048961,0,0,0,0,0.0883864190711363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
