,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X600031.SH,X600271.SH,X000100.SZ,X600118.SH,X000559.SZ,X600066.SH,X600372.SH,X000157.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X600741.SH,X600089.SH,X002292.SZ,X000338.SZ,X300124.SZ,X002465.SZ,X600839.SH,X000568.SZ,X600177.SH,X002074.SZ,X300003.SZ,X002129.SZ,X002294.SZ,X000977.SZ,X600867.SH,X600582.SH,X002506.SZ,X002276.SZ,X600498.SH,X000800.SZ,X002008.SZ,X000869.SZ,X000547.SZ,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.404427334995918,0,0,0.016887581533096,0,0.140524718768985,0.0959218642786213,0,0,0,0,0,0,0,0,0,0.0501005860050729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0138675756639906,0,0,0,0,0,0,0,0,0.0389940319892094,0.0685201919333601,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.193127391545842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181304264559756,0.0899151601771918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,-0.0137655678956134,0.0104635325674683,0,-0.075017212378446,0.0147235820685313,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,-0.0599836657437719,0,0,0,0,0,-0.148552583903279,0,0,0,0.0544668115816781,0,0.0267268594518784,0,0,0.158229903045347,0,0,0,0.156708849767406,0,0.0712833147626962,0,0,0,0,0,0,0,0,0,0,0,0.0868916499830814,0,0.05778874394931,0,0,0,0,-0.108044390803513,0,0.0419995670623547,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.127102694733067,0.0302048324690964,0.0270862439853858,0,0,0.199671701474216,0,0,0,0,0,0.0212390518374385,0,0,0,0,0.0777996475068601,0,0,0,0,0,0,0,0,0,0,0.0986053633441583,0.0199615684332242,0,0,0,0,0,0,0.10243869734993,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411410950688396,0,0,0,0,0,0,0,0.01473387065887,0.0117410231289689,0,0.0192503581800635,0,0.0108307735026909,0,0,0.132308055330769,0.0348821738372891,0,0,0,0,0,0,0.0409162405415266,0,0,0,1.73472347597681e-18,0,0,0,0.0890087800125191,0,-0.0407783963056501,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.216855664843875,0.0573915613284924,0,0,0,0,0,0,0,0,0,0,0,0,-0.166198738304231,0,0,0.283410849485652,0,0,0,0.0341188418071844,0,0,0,0,-0.148214730509872,0,0,0,0,0,0,0,0,0,0.016923775072538,0,0.117323921236053,0,0,0,-0.0262774689801175,-0.0530081962318694,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130158753522792,0,0,0,0,0,0,0,0,0,0,0,0.403678486216345,0,0,0,0,0,0,0,0,0,0,0.0929706735300538,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.374550681492071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246793044562383,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0.227195104252631,0,0,0,0,0.0759840132991202,0,0,0,0,0,0,0,-0.0587922096532432,0.11253492723081,0,0,0,0,0,0
X000063.SZ,0,0.143854505824388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654546565485545,0.116585038149141,0.0144925932549153,0,0,0,0.10787536717763,0,0,0.174334171711755,0.0463228815147724,0,0,0.127151062451651,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0240601003988294,0,0.142463315307649,0,0,0,0,0.0705784093059964,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0.0738277249419369,0,0,0.101748884620736,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.110138198099214,-8.67361737988404e-19,0.163678502478357,0,0,0.22670758660576,0,0,0,0.0374686599765746,0,0,0,0.0567821682141644,0,0,0,0,0,0,0,0.029175564639642,0,0,0,0,0,0.00194840447090012,0.017051105181902,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.248551869479923,0,0,0,0,0.102399417034401,0,0,0,0,0.136085647756166,0,0,0,0.131137950995539,0.0679537887715098,0,0.0179741977328916,0,0,0,0,0,0,0.0036810808044557,0,0,0,0,0,0,0.00747367540607504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0.0216647489145292,0,0,0,0,0,0,0,0,0.0430619391104552,0,0,0.0689298263496457,-3.46944695195361e-18,0,0,0,0.26502747626852,0,0,0,0,0,0,0,0,0,0,0,0,0.0704689078992804,0.0893693230443794,0,0,0,0,0,0,0,0.215995875560504,-6.93889390390723e-18,0,0,0,0,-0.0401468363565238,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17498784295496,0,0,0.00908903871169043,0.281467993876689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149911961183544,0,0,0,0,0,0.0613364121216564,0.261020064242333,0,0,0,0,0,0,0,0,0,0,0,0
