,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600066.SH,X600271.SH,X600741.SH,X002241.SZ,X000100.SZ,X002236.SZ,X002292.SZ,X600031.SH,X600177.SH,X600118.SH,X002475.SZ,X002506.SZ,X000568.SZ,X000559.SZ,X600372.SH,X000157.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X300124.SZ,X002074.SZ,X002007.SZ,X600867.SH,X000869.SZ,X600089.SH,X002294.SZ,X002426.SZ,X002180.SZ,X002456.SZ,X000050.SZ,X002508.SZ,X000981.SZ,X002465.SZ,X600498.SH,X601877.SH,X002179.SZ,X600060.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.204884336311711,0.259250109818529,0.101386020476276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147019003303486,-0.0811599219939258,0,0,-0.0809095823713385,0,-0.180895907898998,0.113314581946806,0.159472729472676,0,0,0,0,-0.0496810612525588,0,0,-0.116334362865922,0,-0.0685752357584546,-8.67361737988404e-19,0,0,0,0,0,0,-0.0361281100149507,0.0633833214827467,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0878426362628996,0,0.123011018131556,0,0,0,0.122908525508788,0,0,0,0,0.00411669465997644,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0322253699821454,0,0,0,0,0,0,0,0,0,0,0,0.0615944407203242,0,0,-0.020226679159967,-0.0324347110361934,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.154670166446991,0,0,0,0,0.0956134749986586,0,0,0.0303119289788254,0,0,0,0,0.0291017861024934,0,0,0,0,0,0.0676854571590494,0,0,0.0225973043161255,0,0,0,0,0,-0.122408750058167,0,0.165541117486793,0.0206821957292979,0.0634837475795759,0,0,0.0790462690639591,0,0,0,0,0,0,-0.00807667629520507,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.126462388838957,0,0,0,0,0,0,0,0.0202173067456067,0,0,0,0,0.0776035333082912,0,0,0,0,0.0111733071157569,0,0.0305987928696168,0,0,0,0,0,0,0,0,0,0.0706419824075721,0,0,0,0,0.0260859274375149,0.0998306354727552,0,0,0,0,0,0,0,0,0,0.00995732585635391,0,0,0,0,0,0,0
X002304.SZ,0.103925773683531,0,0,0,0.619970181536658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353643231574053,0.0207977200504041,0,0.0607167016362359,0,0,0,0,0,0,0,0,0.0364787276229031,0,0,0,0,0,0,-0.130288423992294,0,0,0,0,0.0631599629501382,0,0,0,-0.00615370627739917,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158169050056428,0,0,-0.0234182113788955,0,0,0,0,0,0,-0.0219558531731773,0,0.165840375067846,0.096124756402857,0,0.0109835473401395,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0469243405388636,0,0,0,0,0,-0.00892301436914045,-0.0164702362571467,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687741603093387,0,0,0.0110669637002989,5.42101086242752e-20,0,0,0,0.119909601604968,0,0.163764107216914,0.0349862852652934,0,0.023785881961058,0,0,0,0,0,0,0,0,0,0,0,0.123124323715543,0.0660237913711586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0.0828283500927599,0,0,0,0.172575002635117,0,0,0,0,0,0,0,0,0,0.357401184791059,0,0,0,0,0,-2.71050543121376e-20,0,0.00363999207936309,0.0467482456084486,0,0,-0.113034114182244,0,0,0,0,-0.038055431234292,0,0,0,0,0,0,0.0852890699694137,0,0,0.0964112351981244,0,0,0,-0.06169604215129,0.00223810566657754,0,0.216087658373486,0,0,0,0.0913810254154742,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0478415611323357,0,0,0.191114868350145,0,0.0155418291914311,0,0,0,0,0,0,0,0,0.0610468486345925,0.244577181220721,0.0690691019949957,0,0,0,0.0508091747369024,0,0,0,0,0,0,0,0.124872593300329,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322932376550554,0.0343986765568149,0.114004642800251,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.204535081815474,0,0,0.281257094192843,0,0,0,0,0,0,0,0,0,0,0,0.0193464999996139,0,0,0.0134773191168829,-0.00808528284258362,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0889284561942645,0,0,0,0,0,0,0,0,0,0,0,0.0242974411136563,0.0284445135850128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202600797598113,0,0,0,0,0,0,0.0834287615787575,0.0717085832577454,0,0,0,0,0.0581824101421888,0,0,0.0647741009002469,0,-0.011853050268093,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0,0.184655475695673,0,0,0,0.0241209052563678,0,0,-0.0464177248402114,0,0.165981943390773,0,0,0,0,0,0,0,0,-0.0125446526341198,0,0,0.0799239167943711,0,0,0,0,0,0,-0.0408332254001751,0,0,-0.0127482610204213,0,0,0.106881389724857,0,0,0.0295776318040821,0,0,8.67361737988404e-19,0,0,0.103878712272004,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.346104795240765,0,0,0.135629384310271,0,0,0,0,0,0,0,0.0130159751893347,0,0,0,0,0,0,0,0,0,0,0,0.156007440483726,0,0.0789266005063745,0.118671905960286,0,0.236768704426837,0,0,0,0,0,-0.0387505118271979,0,-0.0179484821805181,0.173403515666402,0,0,0,0,0,0
