,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600271.SH,X002241.SZ,X600066.SH,X000100.SZ,X002292.SZ,X600118.SH,X600031.SH,X002236.SZ,X002475.SZ,X000568.SZ,X600177.SH,X000559.SZ,X002506.SZ,X002074.SZ,X600372.SH,X000157.SZ,X300003.SZ,X000338.SZ,X002456.SZ,X300124.SZ,X000050.SZ,X002426.SZ,X002085.SZ,X002249.SZ,X600867.SH,X002007.SZ,X002294.SZ,X600089.SH,X002465.SZ,X000869.SZ,X002180.SZ,X600699.SH,X002508.SZ,X000981.SZ,X002049.SZ,X002179.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.251112669761162,0.038035665148029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109553908027347,-0.0241800993144396,0,0,0,0.0172305971731148,-0.0637287222332681,0,0,0,0,0,0,-0.137612066456679,-0.00074149464835865,0,-0.0469121802808342,0,0,0,0,0,0.192821403259811,-0.0112029348763259,0,-0.0209048132538237,0,0,0,0,0,0.0158073961415001,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.165030376160269,0,0.166203332785702,0,0.0604774978333936,0,0,0,0,-0.0121482491079145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327348726727224,0,0,0,0,0,0.0882960055284912,-0.0313514474964345,-0.00374675606271142,0.066215492342577,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0762430440030293,0,0,0,0.10481399741884,0,0,0.093707758484553,0,0,0,0,0,0,0,0,0.0424284862029022,0,0,0,0,0.0715900535942402,0,0,0,0,0.127281220034494,0,0,0,0,0,0,0,0,0,0,0.0134936223683778,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0527737153883739,0,0,0,0.271665414913423,0,0,0,0,0.041750045465912,0,0,0.0422567944193122,0,0,0,0,0,0,0,0,0,0,0,0.0252411442483246,0,0,0,0,0,0,0,0.0182945562461591,0.0692891269086125,0,0,0,0,0,0,0,0.0307881997927662,-0.0485792815956782,0,0,0.065881872196568,0,0,0,0,0.000772513873469579,0,0,0,0,0,0,0
X002304.SZ,0.0900649647014287,0,0,0.340706070741205,0,0,0,0,0,0,0.145515058437149,0,0,0,0,0,0,0,0,0,0,0.165945279167424,0,0,-0.104201829874998,0,0,0,0,0,0.0173645151429314,0,0,0,0,0,0,0.157560816178512,0,0,0,0,-0.0222924924218768,-0.0183723100530479,-0.0768510187025954,0,0.144917130806623,0.0948918101306374,0,0,0.0166656333273013,0,0,0,0,0,0,0
X600276.SH,0,0.224401294667784,0,0,0,0,0,0,0,0.0873873924258438,0,0,0,0,0.073933024010992,0,0,0,0,0,0,0,0,0,-0.0445554814412743,0.0571545062740716,0.0586751680298483,0,0,0,0,-0.0374716664614146,-0.0257252940035501,0.0183177382147256,0,0,0,0,0,0,0,0,-0.0348703497958399,0,0,-0.0631796406612329,0.046262213775241,0,0.240683841719023,0,-0.0378757252432938,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961185340615965,0,0,0,0,0,0,0.139122080849008,0.118873431552272,0.0227178304173529,0.0425323613990316,0,0,0,0.0619668313150972,0,0.0390214440669076,0,0,0,0,0,0,0,0,0,0,0,0,0.016050067231041,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.233420338820026,0,0,0,0,0.0804247678220522,0,0,0.0633380793585977,0,0,0,0,0,0,0,0,0.0948180207850479,0,0,-0.0706191409508377,0.0492648709451304,0,-0.0985184329975476,0,0,0,0,-0.00472830639171166,0.21569630600587,0.0272164671119259,0,0,0,0,0,0,0,0,0,0,0,0.0590977273401888,0,0,-0.0813437960559893,0,0.0923815146000469,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.168595936309088,0,0,0,0.131020777363393,0,0,0,0,0,0,0,0,0.032522386128304,0,0,0,0.0557189101894964,0,0,0.0591108677444035,0,0,0,0,0,0,0,0,0.0681069173988003,0.0448085861807252,0,0,0,0,0,0,0,0,0,0,0,0.0921531045556094,0.000437497620347554,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.0378659083277478,0,0,0,0,0,0,0,0,0.00804993277645103,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.123605733573461,0,0,0,0,0,0,0,0,0,0,0.0185202342955047,0,0,0,0,0,0,0.477551241882354,0,0.121356089171951,0,0.0352047594739742,0,0,0,0.0409021255893289,0,0,0.00802992307770327,0,0,0,0,0,0,0
