,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600276.SH,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X000338.SZ,X002241.SZ,X000100.SZ,X002475.SZ,X600066.SH,X002236.SZ,X601877.SH,X600118.SH,X002456.SZ,X600271.SH,X000157.SZ,X600177.SH,X300124.SZ,X600372.SH,X600522.SH,X600089.SH,X002085.SZ,X002007.SZ,X002508.SZ,X000981.SZ,X000066.SZ,X300003.SZ,X002294.SZ,X600699.SH,X000559.SZ,X600867.SH,X002292.SZ,X002180.SZ,X300136.SZ,X000623.SZ,X002074.SZ,X600498.SH,X600809.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.168803734412743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086415365975227,0,0,0,0.0157348922965102,0,0,0,0.148451027092239,0,0,-0.0182320643162058,0.0106427403846,0,0,0,0,0,0
X600104.SH,0,0,-0.167318466209471,0,0,-0.0376217347488898,-0.0736240058757789,0,0,0,0,0,0,0,0.728958045931314,0,0,0,0,0,0,0,0,0.142176871823498,0,0,0,0,0,0,0,0,0,0.104310574807695,0,-0.0840792863564174,0,0,-0.124133738331282,0,0,-0.0510278820365065,0,-0.0941286446695812,0,0,0.0175178407454331,0,0,0,-0.0176753373463702,0.00981023281769828,0,0,0,0,0,0
X002415.SZ,0,0,0,0.147851733707367,0,0,0,0,0,0,0,0.0839920560914929,0,0,0,0.0490574780135873,0,0,0,0,0.0525637669215687,0,0.0456007075053738,0,0,0,0,0,0,0,0,0,0,-0.0420362558479877,-0.0595812298925658,-0.0323963812724759,0,0,0,0,0,0.143383162208366,0.129801673968279,0,0,-0.113293329904174,-0.0183315233285679,0.107290291125403,0,0,-0.0176235370960536,0.00867989120703591,0,0,0,-0.0292174280760744,0,0
X000651.SZ,0,0.244378507777427,0,0,0,0,0,0,0,0.462247918507727,0.221706413847735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227612353792431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0995042606572333,0.371089340294912,0,0.427531545610457,0,0.0403118171320391,0,0,0,0,0.0193362323687581,0,0,0,0,0,0
X000858.SZ,0,0,0,0.199700372078701,0,0,0,0,0.132933513228563,0,0,0,0.0494912789890756,0.248981687851142,0,0,0,0,0,0.14300802084045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0342642718164106,0,0,0,0,0,0,-0.0411097750458661,0,0.0657689216104855,0,0,0,0,0.103857499628507,0,0.00590353361192489,0,0,0,0,0,0,0
X002304.SZ,0,0.333457632817976,0,0,0,0,0.0662657489129151,0,0,0,0,0,0,0.243692158553057,0.0446244580974775,0,0,0,0,0,0,0,0,0.053588574512151,0,0,0,0,0,0,0,0,0,0,0,0.0465761677705818,0,0,0,0,0.0648022172244399,0,0,0,0,0,0,0.0743050514112147,0.12460928840782,0,-0.0045157598120067,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0.127545835823008,0,0,0,0,0,0,0.0540568504205841,0,0,0.24041139634188,0,0,0,0,-0.61539013747202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0389489082752482,0,0,0.239683042928482,-0.0733962350785489,0,0,0,0,0,0,0,-0.018278515822507,-0.00114223698391538,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0396034241049283,0,0,0,0,0.17215860222409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597608098308079,0,0,0,0,0,0,0,-0.00437551554388298,0,0,0,0,0,-0.121920028086353,0.0196914893532532,-0.00206779337236897,0,0,0,0,0,0
X000625.SZ,0,0,0,0.105427676005528,0,0,0,0,0,0,0,0,0.084103553307489,0,0.52020984550536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437238624206732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00631308565336569,0,0,0.114396957555029,0,0,-0.00702881940680213,-0.00186691384264127,0,0,0,0,0,0
X600690.SH,0,0,0,0.146721250255005,0,0,0,0,0,0,0,0,0.0520297293019216,0,0,0,-0.0878272045642872,0,0,0.0875169460481722,0,0,0.20903494638044,0,-0.166186026323557,0,0,0,0,0.0304996178052239,0,0,0,0,0,-0.037500059359475,0,0,-0.0387326712018034,0,0,0,0,-0.131221743632997,-0.0156209509286915,0,0,0.0950246177845735,0,0,-0.0116498009579527,0.00821293318960989,0,0,0,0,0,0
