,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002085.SZ,X002456.SZ,X600271.SH,X600118.SH,X000157.SZ,X600089.SH,X300124.SZ,X600522.SH,X600177.SH,X002508.SZ,X002007.SZ,X600372.SH,X300136.SZ,X000066.SZ,X600699.SH,X000981.SZ,X300003.SZ,X600487.SH,X600867.SH,X002294.SZ,X002074.SZ,X000559.SZ,X002008.SZ,X002180.SZ,X600566.SH,X002292.SZ,X000623.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,-8.67361737988404e-19,0,0.0790189468241663,0,0,0,0,0,0,0.178250369085889,-0.123309910004575,0,0,0,0.0543111106756421,0,-0.039351487660706,0,0,0.0197582409580329,0,0,0,0,0,0,0,0,0,0,0,0.0730207249925411,0,0,0,-0.025323219106682,0.102902836957269,0,0,0,0,0,0,0.0154958353174081,0,0,0,0,0.00880305269090402,-0.00253818991221878,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188599328488509,0.259213181476387,0,0,-0.0729008754384659,0,0,0,0,0,0,0,0,0,0.270153402116784,0,0,0,0.0327613379680309,0,0,-0.0137365029366708,0,0,0,0,0.23810619650199,0,0,0.0330173639022951,0,-0.109163468025986,0,0.00401342920817625,0,0,0,0,0.00523395444683892,-0.00705895140628491,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0868291184625346,0,0,0,0,0.297547553004845,0.07101331643343,0,0.128416678166635,0,0,0,0,0,0,0,0,0,0,0,0.126087393587019,-0.136706449222148,0,0,0,0,-0.121598121877754,0,-0.138601380792536,0,0,0,0,-0.0375653686906052,0,-0.00223568738052953,0,0,0,0,-0.0279626790144445,0.00214114868386889,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0551341417015311,0,0,0,0,0,0,0.283258376859173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308864739004451,0,0,0,0,0.017248560701068,-0.00351627784214069,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0741159669382123,0,0.177915203889168,0,0,0.0151409843819508,0,0,0,0.202603261142768,0.0362469371044385,0,0,0,0.113786632762641,0,0,0.0900707403577273,0,0,0,0,0,0,0.00274932641016104,0,0,0,0,0,0,0,-0.12373261836978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967368488313342,0.0025763556871022,0,0,0,0,0,0
X002304.SZ,0,0,0,0.13935848067529,0,0,0,0,0,0,0,0,0.300775114076015,0.108934903383867,0,0,0,0,0,0,0.056125145514843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421431001873178,0,0,0,0,0,0,0,0,0,0,0.0218522497283419,0.00561985848803198,0.0947288648483126,0,0,0,-8.12472444696179e-05,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.125295457418888,0,0,0,0.206502426818435,0,0,0,0,0,-0.0385344380629081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036947464089615,0,0,0,0,0,0,0,0,-0.022700253822159,0,0,0,0,0.0296744816197365,-0.0300717260757861,5.42101086242752e-20,0.00437850593707739,0,0,0,0,0,0
X000725.SZ,0,0,0,0.482926035643276,0,0,0,0,0,0,0,0,0.0159396658557932,0,0,-0.539238417798328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265794504795557,0.158249150187169,0,0,-0.0598877222005718,0.0170884919752283,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.130229053501735,0,0,0,0,0,0,0,0,0,0.150881846512795,0,0,0.1889258052673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272234268714135,0,0,0,0.0213568161748527,0,0,0,0,0,0,-0.176561531321546,0,0.177601990022328,0,0,0,-0.0109222086371429,0.00311123485335398,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.260095146275083,0,0,0.0287001656834902,0,0,0,0,0,0,0.1428311357745,0,0,0.0126667625486885,0,0,0,0,-0.135269188436414,0.0312851191659215,0,0.0766238244502216,0,0,0,0,0,0,0,0,0,-0.0249277990404457,0,0,0,0,0,0,0.140464821052503,0,0,0,0,-0.0950742271793096,0,0,-0.0145945148741621,0.00683543617464408,-0.00325903932515963,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.134693761760693,0,0,0,-0.0411103686170244,0,0,0,0,-0.159795944695903,0,0,0,0,0,0,0,0,0,0,-0.095277733035449,-0.102735180862238,0,0,0.270825983717563,0,0,0,0.0898390492195788,0,0,-1.73472347597681e-18,0,0,0,0.152541561822179,0,0,0,0,0,0,-0.0526115581480743,0,0,0,0,0.0157439698127773,0.00848556327964824,0,0,0,0,0,0
X600703.SH,0,0,0,0.0196801301775854,0,0,0.159810221638445,0.0444270074234142,0,0,0,0,0,0,0,0,0,0.099876609322098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00236914517040524,-0.138751179632511,0,0,0,0.22813043893183,0,0,0,0,-0.0165054276027019,0,0,0,0,0,0.061825325627034,-0.00362231950783671,0.0198260310456418,0,0,0,0,0,0
X000568.SZ,0.290469687425057,0,0.0762627669544245,0,0.393163077564491,0,0,0,0,0,0,0,0,0,0,0,0,0.0921153997764284,0,0,-0.0402834702176198,0,0,0,0,0,0,0,0,0,0,0,0,0.0221261343041637,0,0,0,0,0,0,0,0,0.246540286925887,0,0,0,0,3.46944695195361e-18,0.248030002402926,-0.00348860418782597,0,-0.014600410400757,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.188815212121593,0,0,0,0,-0.02026286976584,0,0,0,0.0593403269941087,0,-0.184798803390005,0,0,0,0,0,0,0,0,0,0,0,0.185426562880142,0,0,0,0,-0.0100674405078487,0,0,0.0370131386568747,0,0,0.248475994283578,0,0,-0.0308928404361089,0,0,0,0,0,0,0,0,0.00340841260026083,0,0,0,0,0,0,0
X600741.SH,0,0.0105295459313849,0,0,0,0,0,0.0347090963845528,0.189352304038872,0,0,0.133866404748462,0,0,0,0,0,0,0,0.0136414969357367,0,0.0910701373524448,0,-0.0224922142678937,0,0,0,0,0,0,0,0,0,-0.0795057992415234,0,0,0,0,0,0.113363285319961,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-0.00654256423655982,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0937688310116803,0,0,0,0,0,0,0,0,0,0.0728919760467321,0,0,0,0,0,0.118314896475549,0,0,0,0,0,0,0,0,0,0,0.44522607199345,0.00666254345488345,0,0,0,0.0943749246901576,0,0,0,0,0,0,-0.0607184685302124,-0.0299591611044525,0,0,0,-0.0214796714200002,0.00275336492267313,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0404259453399138,0,0,0,0,0,0,0,0.00747449481356182,0,0,0,0,0,0,0,0,0,0.077004798037756,0,0,0,0,0.0275017061595433,0.0732114458469297,0,0,0,0,0.0500441377257721,0,0,0,-8.67361737988404e-19,0,0,0,0.196470682442772,0.0190285863122986,0.137955201376802,0.00528465542811922,-0.00631597553853518,0,0,0,0,0,0
X002236.SZ,0,0,0,0.322804640308072,0,0.00569125408056802,0,-0.023154110765411,0.0880085892453022,0,0.0507608431687779,0.256953744550871,0,0,0,0.0125374906931333,0.273414146313643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116616849032693,0,0,0,0,0,0,0,0,0,0,-0.369467480444465,0,0.188397773489884,0,0,0,0.0340805916283736,-0.0189173755454947,0,0,0,0,0,0
X600066.SH,0,0.21027443258353,0,0,0,0,0,0,0.0608233683095966,0,0,0,0,0,0,0,-0.10980693421792,0.113161020519651,0,0,0,0,0,-0.0370735767423645,0,0,0,0,0.187372800728112,0,0,0.219421540187871,0,0,0,0,0,0,0,0.0538047139084458,0,0,0,0,0,0,0,0,0,0,0,-0.00434575282405584,0.00438089209519731,0,0,0,0,0,0
