,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X000625.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X000100.SZ,X002508.SZ,X601877.SH,X300124.SZ,X002085.SZ,X300003.SZ,X300136.SZ,X002008.SZ,X600177.SH,X600522.SH,X600271.SH,X000157.SZ,X002007.SZ,X002294.SZ,X600089.SH,X600118.SH,X600487.SH,X600867.SH,X600566.SH,X600809.SH,X600699.SH,X300115.SZ,X600372.SH,X000559.SZ,X002180.SZ,X000066.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.059611234720685,0,0,0,0,0,0.0712758755517079,0,0,0,0,0,0,0,0,0.0840344445219203,0,0,0,0,0,0,0.00631676236657948,0,0,0,0,0,0,0,0.155285524304414,0,0.102056411626097,0,0,0.173157587270619,0,0,-0.0633699449081982,0,0,0,0.143534768843697,0,0,-0.000632935136238899,0,0,0,0,0,0
X600104.SH,0,0,0,0.191888242986952,0,0,0,0,0.204119884250779,0,0.0382952414677815,0,0.0762829631685112,0.324760571612808,0,0,0,0,0.0562784816355752,0,0,0,0.0404916432513205,0,-0.140009078243939,-0.0864458311495932,0,-0.0882032123936881,0,0,0,0,0,0,0,0,0,0,0,0.0707530423955851,0,0,0,0,0,0,0,0,0,0,-0.0176445273259491,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0833275173683837,0.077170704447952,0,0,-0.112655730439289,0.175995823369005,0,-4.33680868994202e-19,0,0,0,0.277390841676804,0,0,0,0,0,0,0.220948696020646,0,0,0,0,0,0,0,0.13079369193098,0,0,0,0,0,0,0,0,0.0513624022649967,0,-0.374460955246665,0,0,0,-0.0410451808762523,0,0,0,0.0070314812686525,0.014840118296816,0,0,0,0,0,0
X000651.SZ,0.0666870489180456,0,0,0,0,0.0733946952733579,0,0,0.0700065729395691,0,0.218242367875917,0.0144372505967861,-1.0842021724855e-19,0,0,0,0,0,0.113783034576592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486829460946372,0.151615031992592,0,0,-8.67361737988404e-19,0,0,-0.000536413333730036,0,0,0.0138255501759093,0.00322324592752649,0,0,0,0,0,0
X000858.SZ,0.0241138163304359,0,0,0,0,0.0211410170954489,0,0,0,0,0,0.616664419936561,0,0,0,0.044375878305599,0,0,0,0.0211179078410233,0,0,0,0.0663178143469259,0,0.0690042883311899,0,0,0,0,0,0,0,0,0,0,0,0.0697546067538288,0,0,0.0617344337445217,-0.0122161763078595,0,0,0,-0.0183079956878684,0,0,0,-0.00309572598104203,-0.0134956871752549,0,0,0,0,0,0
X000725.SZ,0,0,0.438832518127251,0,0,0,0,0,0,0,0,0,0,0,-0.133057414982803,0,0,0,8.67361737988404e-19,0.122370187848813,0,0,0,0,0,0,0,0,0,0,0,0.32278086408811,0,0,0,0.350151013420849,0,0.0794734642025894,0,0,0,0,0,0.0584918030790714,0,0,0,0,0,-0.0252213565199327,0.0257403620651917,0,0,0,0,0,0
X600276.SH,0,0,0.0291171908466152,0.0266843364743803,0.0167015611197503,-0.0141471837381698,0,0.0776904708601781,0,0,0,0,0,0,0,0,0,-0.136113272507957,0,0,0,0,0.0254476104332971,0,0,0,0,0,0,0,0.0307803604129762,0,0,0,0,0,0,0,0,0,0,0,-0.0992494314337632,-0.0536522795998195,-0.0692572748578851,0,-0.119578081980078,0.0149070764867702,0,0.0254129127230807,-0.0169337275704206,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.243419823625511,0,0,0,0.56620036964013,0,-0.0594446845634854,0.0968384347812645,0,0.135903888268759,0,0,0.0808186697302112,0,0,0,0,0,0,0.0408738720348232,0,0,0.135228069331191,0,-0.0750355479862231,0,0,0,0,0,0,0,0,0,0,0.0669685583577891,0,0,-0.324855673138175,0,0,0,0,0.645759332542302,0,0,0.0225099547471723,0,0,0,0,0,0
X600690.SH,0,0.53811546324547,-0.00385267214473839,0,0,0,0,0.0558045211022194,0,0,0,0,0.0301508453150513,0.0513089998473919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033377763987237,0,0,0,0,0,0,0,0,0,0,-0.00262084203782837,0,0,0.147831053412259,0,0,0,-0.120434749604221,0,0,0.0110186438980363,-0.00389737947344659,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.114706070086074,0,0,-0.114983091299135,0,0,-0.0892006871372696,0,0.141813435241352,0,-0.030000855963557,0,0,0,0,-0.0400836214852516,-0.167195648869219,0,0,0.161556201152182,-0.0105805334602773,0,0,0,0,0,0,0,0.125386899948405,0,0,0,-1.73472347597681e-18,0,0,0.0456285701709663,0,0.111101866949107,0.133342376295477,0,0,-0.0613018045705306,0,0,0.0181622888740962,-0.0292459650180638,-0.00678617744003196,0,0,0,0,0
