,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X000625.SZ,X600741.SH,X002236.SZ,X002475.SZ,X002241.SZ,X600031.SH,X600066.SH,X002456.SZ,X000338.SZ,X002508.SZ,X000100.SZ,X601877.SH,X300124.SZ,X300136.SZ,X300003.SZ,X600177.SH,X600522.SH,X600271.SH,X002008.SZ,X002294.SZ,X000157.SZ,X002007.SZ,X002085.SZ,X600118.SH,X600089.SH,X600487.SH,X600566.SH,X600699.SH,X600867.SH,X600809.SH,X600372.SH,X000559.SZ,X300115.SZ,X000623.SZ,X000596.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0.157466361430814,0,0,0,0,0.0545966024938661,0,0,0,0,0,0,0,0,-0.0105403675266232,0,0,0,0,0,0,0,0,0,0.152738585650171,0,0.175865784596632,0.0437199975814821,0,0,0,0.187224268305174,0,0,0,0,0.257347289285973,0,0,0.0122097150152823,-0.0189194154180695,0,0,0,0,0,0
X600104.SH,0,0,0,0.159433778551608,0,0,0,0,0.0831306395644364,0,0,0,0,0.516231245755544,0,0,-0.160352070813828,0,0,-0.0108033112716237,0,0.0468925243689352,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251624821118015,0,0,0,0.133544699364463,0,0,0,0,0,-0.0857905380658247,0,0,0,0,0.0112437807905315,-0.011745704917947,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.119199190931595,0,0,0,0,0.157663613792684,0,0,0.278723577202038,0.165851614195453,0,0,0,0,0,0.0797723528671608,0,0,0,0,0,0,0.0881879689085209,0.0157527332048321,0,0,0,0,0,0,0,0,0.104973474087956,-0.276175581206268,0,0,0,-0.183629393078534,0,0,0,-0.0878462394625287,0,0.000198874952104047,0.00855063846672629,0,0,0,0,0,0
X000651.SZ,0.0797748461514068,0,0,0,0,0,0.0299989857570365,0,0.218030796149625,0.166070919086656,0.0943161742470193,0,0.00129308048938542,0,0,0,0,0,0,0,0,0.119686686409058,0,0,0,0.0556226769941252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00981765497229693,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0252899237869946,0,0,0,0,0.607770248122233,0,0,0.0994630050943466,0,0,0,0,0,0,0,0,0.0889708207736512,0,0,0.0142353634653302,0,0,0,0,0,0,0,0,0,0.00431767591239576,0,0,0,0,0,0,0,0,0,0,0,0,-0.00073681999115222,-0.00180483837017837,0,0,0,0,0,0
X600276.SH,0,0.0862135903378883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130100978708154,0,0,0,0,0,0,0,0,0,0,0,-0.142288469173761,0,0,0,0,0,-0.00876593292980829,0,0,0,0,0,0,-0.0553911790573685,-0.190184691065787,0,0,0.0707801261651049,0,0,0.0108067531184674,0.0141121944046354,0,0,0,0,0,0
X000725.SZ,0,0,0.373406479351523,0,0,0,0,0,0,0,0,0,0,0,-0.0288500505071095,0,0,0,0,0,0.045143472398995,0,0,0,0,0,0,0,0,0.232795499386681,-0.0711942618707571,0,0,0,0.253437927050667,0,0.471512772568571,0,0,0,0,0,0.137251415805758,0,0,0,0,0,0,0.00933565196007785,0.0197667597938811,0,0,0,0,0,0
X002304.SZ,0,0.0083900319463597,0,0,0,0,0,0,0.519804629644861,0,0,0,0,0.0817144882786269,0,0,0,0,0,0,0,0,0,0.14556630888615,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0369375483817636,0,0,0,0,0,-0.202905592207993,0,0.790591736406183,0,0,0.0183798829872362,0.020639978253473,0,0,0,0,0,0
X600690.SH,0,0.627601968682957,0,0.0317808628424903,0,0,0,0.0451290735744409,0,0,0,0,0,0.00800604504696266,0.0547533774716236,0,0,0,0,0,0,0,0.016844663292698,0,0,0.0180532122674053,0,0,0,0,0,0,0,0,0,0,0,0.0486567871030901,0,0,0,0,0,0,0.0982650013760992,0,0,0,0,4.33680868994202e-19,-0.000274594416276734,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0616852335695985,-0.0190047068403172,0,0,0.0753316239223634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606634733110022,0,0,0,0,0,0.0329324458389059,-0.142229886799571,0,0,0,0,0,0.0861905816966536,0,0,0,0,0.0808263576045706,0,0.247372811525517,0,-0.00345685045839273,0,0,8.67361737988404e-19,-0.0150726196965594,0,0,0,0,0,0
X600703.SH,0,0,0.126529687726944,0,0,0,0.0723106126363496,0,0,0.0656145263331411,0,0,0,0,0,0,0,0,0,0.0582329052093981,0,0,0,0,0,0,0,0,0,0,0.00864748545202573,0,0,0,0,0,0,0.194881405475792,0,0,0,0,-0.0205606373913171,0,0,0,0,0,0,0.0167343992203162,0,0,0,0,0,0,0
X000568.SZ,0,0,0,-8.67361737988404e-19,0.695640448221182,0,0,0,0,0,-0.00435127381340078,0,0,0,0,0,0,0,0,0,0,0.0311033179437443,0,0,0,0,0,0,0.0198562346440685,0,0,0,0,0,0,0,0,0,0,-0.018614567327096,0,0,0,0,0,0,0.128774360523725,0,0,0.00618838255073605,-0.00686393651921604,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0324774600415259,0,0.0864842755462939,0,0,0,0,0,0.00354720478485506,0,0,0,0.801444351707075,-0.309182778037157,0,-0.00326170455588798,0,0,0,0,0.0916137705383671,0,0,0,0,0,0,0,0,0,0.0418279142353662,0,-0.0797914010435563,0,0,0,0,0,0,0,-0.0217366192622261,0,0,-0.0404485625360309,0.0258691467371664,0,0,0,0,0,0
