,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X600031.SH,X002241.SZ,X000338.SZ,X600066.SH,X002456.SZ,X601877.SH,X300124.SZ,X000100.SZ,X002508.SZ,X300136.SZ,X300003.SZ,X002085.SZ,X600089.SH,X600271.SH,X002294.SZ,X002008.SZ,X600177.SH,X600522.SH,X000157.SZ,X002007.SZ,X600487.SH,X600118.SH,X600809.SH,X600867.SH,X600566.SH,X600699.SH,X000981.SZ,X600372.SH,X000559.SZ,X002074.SZ,X000581.SZ,X600498.SH,X300115.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.00734438204289046,0,0.00740350920646564,0,0,0,0,0.0424273641001938,0,0,0,-0.0420476902097287,0,0,0,0,0,0,0,0,0,0,0.0722816415986356,0.0923696101823873,-0.0407453528837734,0,0,0,0,0,0,0.20415702831298,0,0.425878572983084,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,-0.00416892472728478,0,0,0,0,0,0
X600104.SH,0,0,0,0.192312076587588,0,0,0,0,0,0.0728862430320767,0,0.4391400760137,0,0.0879554388243562,0,0,0,-0.0376623729516843,0,0,0,0.00911305939412953,0,0,0.0198361111269639,-0.0786588351193639,0,0,0,-0.146517841278941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159858921792738,0.0355669320163128,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.258328748022757,0.158586222287396,0.0447593277277129,0,0,0,0,0,0.0659978433913294,0,0.401258283684553,0,0,0,0,0,0,0,0,0,0.215155476142644,0,0,0,0,0,0,0,0,0.0229974426556211,0,0,0,0,0,-0.0971268265205001,0,-0.150878850858457,0,-0.0174143374594051,-0.137647619280394,0,0,0,0,0,0,-0.0051773112914807,0,0,0,0,0,0,0
X000651.SZ,0,0.0963759646336688,0,0,0.130976281549941,0.0538956706552518,0,0,0,0,0,0,0,0,0.148592321673635,0,0,0,0,0,0,0,0,0,0.0904281459990798,0,0,0,0.0110117186795047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123055644512983,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.695291314353643,0,0.0443451390306402,0,0,0,0,0,0,0.0666573149794082,0,0,0,0.0272698331507081,0,0,0,0,0,0,0,0,0,0,0,0,0.0495455987941669,0,0,0,0,-0.00558193694716918,0,0,0,0,0,0.0654412628046204,0,0.00641042756944809,0.00953040927906098,0,0,0,0,0,0
X000725.SZ,0,0,0.0708646019935394,0,0,0,0,0,0,0,0,0,0.144869470485952,0,-0.00455685348181108,0,0,0,0.129332368402872,0,0,0,0,0,0,0,0,0.320261832249517,0.330387229919196,0.350084198150577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188208285149903,0,0,0,0,0,0,0,-2.71050543121376e-20,0.017967675078425,0,0,0,0,0,0
X600276.SH,0,0.203513862756238,0.129456696270388,0,0.061029744220701,0,0,0,0,0,0,0.0877848800472119,0,0,0,0,-0.153754269631286,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593241147318039,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361876690363508,-0.105155837430403,0,-0.0704766002765642,0,0,-0.0151391121676287,-0.0367255837939045,0.00909435779515535,0.00650439669368844,0,0,0,0,0,0
X002304.SZ,0.154143606726373,0.138969310728776,0,0,0.44485730105455,0,0,0,0,0.0648928306327184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100173437808041,0,0,0,0,0,0,0.14072078268833,0,0,0,0,0,0,0,0,0,-0.116191458184236,0,0,-0.00783469567955256,-0.013681045836369,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0127519801582135,0,0,0,-0.0176131009625689,0.220076404830358,0,0,0,0,0,0,0,0,0,0.141400186312604,0,0.150965954726751,0,0,0,0.0433415367019753,0,0,0,-0.0404170237510112,0,0,0,0,0,0.0533425921665597,0,0,0,0,0,0,0,0,0,0,0,0.162844428930594,0.134289430552151,0,-0.0138266427864367,-0.0164148096674056,0,0,0,0,0,0
X600690.SH,0,0.310138786841262,0,0.150372176143844,0,0,0,0.0440905683775391,0,0,0,0.285189743020662,0,0,0.16042173308395,0,0,0,0,0,0,0,-0.0794193547176178,0,0,-0.0265839963635676,-0.158760651672712,0,0,0,0.0630574934228245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132290884358971,0.0173823746685037,0,0,0.0216620294379722,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0626623447591553,0,0,0.103207804741905,0,0,0,0,0,0.0253681082720283,0,0,0.0252431986063174,0,0,0.0861782571584693,0,0,0,0,0,0,0,0.00385805915471811,0,0,0,0,0,0,0,0.158370109963436,0,0,0,0,0.0413686106485275,0,0,0,0,0,0,0,0,0,0.0274765055001692,0.0160879744266006,0,0,0,0,0,0
X600741.SH,0,0.411672636175701,0,0,0,0,0,0.064404172349588,0.197270318009363,0.123640591031372,0,0,0,0,0.217850223133154,0,-0.000262235870838954,0,0,0,0,-0.107725806586334,0,0,0,0,0,-0.0137694045918408,0,0,0,-0.0931802435821614,0,0,0,0,0,-0.0237121956107756,0.0417481285407754,0,0,0,0,0,-0.151772905678399,0,0,0,0,0,0.19641928745442,-0.00982076354418374,0.0369027065479116,0,0,0,0,0,0
X000568.SZ,0.0246769468985355,0,0,0,0.722694934423466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174311781312198,0.0442456561876451,0,0,-0.000382270547971415,0,0,0,0,0.0606746593584115,0,0,0,0,0,0,0,-0.0269230571872939,0,0,0,0,0,0,0,0,0,0.0106479769365269,-0.00546119250851815,0,0,0,0,0,0
X000625.SZ,0,0.0299062168628938,0,0.080089247026142,0,0,0,0,0,0.0678900103258093,0,0.273295870833628,0,0,0.00238100345916305,0,0,0,0,0.0471194271300997,-0.230748893731186,0,0,0,0,0,0,0,0,0,0,-0.0969354368758135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218094506235395,0.111919874067956,0,0,-0.0970235024871123,0,-0.00190913863385605,0.00505364977553433,0,0,0,0,0,0
X002236.SZ,0,0,0.473052360707812,0,-0.0468244145816688,-0.438818411710964,0,0,0,0,0,0,0,0,0,0.00253917077810867,0,0,0,0.055917285810958,0,0,0,0,0,0,0,0,0,0,0,0.257616857353788,0,0,0,0.385186421005436,0,0.0531551315058689,0,0,0,0,0,0,0,0.0424950931806521,0,0.00580160406501006,0.4144711354314,0.0748752590564988,0,8.67361737988404e-19,0.0198124504074206,0,0,0,0,0,0
X002475.SZ,0,0,0.0475985285632157,0,0,0,0,0,0,0,0,0,0,0,0.039837958477185,0,0,0.0600990110908292,0,-0.0654306958126965,0,0,0,0,0,0.0802886962167763,0,0,0,0.0194436548881511,0,0.452231704694481,0,0.00281963282331532,0,0,0,0,0,0,0,0,0,0,0.060768782595893,-1.73472347597681e-18,0,0,0,0,0,0,0.0131217324440424,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.0985663150182969,0,0,0,0,0,-0.00609313282386283,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0155501589647706,0,0,0,0,0.0195948731619238,0.111434062554447,-0.203009376017142,0,0.110252928849987,0.304788219905808,0,0,0,0,0,0,0.0490289410702533,0,0,0,0,0.287692696199448,0,0,0,0,0,-0.0299403262228679,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,-0.0303337268387469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156139523804111,0,0,0,0,0,0.131960389650777,0.0950823658786677,-0.224322878356521,0.104360083506089,0.480474164212706,0.412071598772828,0,-0.139583639487525,0,0,0,0,0,0.0254565520564933,0,0,0,0,-6.93889390390723e-18,0,0,0.0248723565051836,0,0.0870432795038564,0,0,0,0,0,0,0,0,0
X000338.SZ,0,-0.0504695017343071,0,0,0,0.226142747997344,0,0,0,0,0,0,0,0.0462847778181749,0,0,0.348461470755057,0,0,0,0,0.0783869159252282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00876754303844511,0,0,0,-0.0382140140595806,0,0,0,0,0.189851073007644,0,0,0,-0.0117081959570133,0,-0.00252403240069472,-0.00789498988059739,-0.115905207710009,0,0,-0.156432356794439,0,0
X600066.SH,0,0,0,0,0,-0.0147659071612564,0,0,0,0,0,0,0,0.0462069557765419,0.0939535649241631,-0.524180586873912,0,0,0,0,0,0,0,0,0.104755974636201,0,0,-0.0773097770062851,0,0,0,0,0,0,0,0,0,0,0,-0.0660158515987316,0,0,0.178096465335918,-0.00136625254244091,0,0.147014682280206,0,0,-0.0435862962559647,0,0,0.0143899005415922,0.00981157944463154,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0.389527854307807,0,0,0,0,0,0,0.113707494820085,0,0.0951302066347037,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564045142713619,0.122734210536811,0,0.0802461431623593,0,0,0.155021421236899,0,0,0,-0.0844175972606227,0,0,0,0,0,0,0,0,0,0,0,0.0186572962166522,-0.024032739694547,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174165077789756,0.100828787831047,0,0.371896223335811,0,0,0,0,0,0,0,0,0,0.041269213315063,0,0,0,0,0,0,0,0.108024490718571,0,0,0,0.0106168761542876,0,0,0,0,0.151522458540009,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,-0.111926672439354,0.292698660164981,0,0.255644528410929,0,0,0,-0.129547830913401,0,0,0,0,0,0,0,0,0,-0.142822821288194,0.0555810600329425,0.13865175355369,0,0,0.209975107517036,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327171759848829,0.0210409013455563,0,0,0,0,0,0
