,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X000625.SZ,X600741.SH,X600031.SH,X002456.SZ,X000338.SZ,X600066.SH,X300124.SZ,X000100.SZ,X300136.SZ,X601877.SH,X600809.SH,X002008.SZ,X300003.SZ,X002085.SZ,X600487.SH,X600271.SH,X600089.SH,X002508.SZ,X600177.SH,X600522.SH,X000157.SZ,X000050.SZ,X600118.SH,X002294.SZ,X600867.SH,X300115.SZ,X600699.SH,X000559.SZ,X000981.SZ,X600372.SH,X600566.SH,X600498.SH,X000623.SZ,X002180.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.179905722119751,0,0,0.127390165864205,0,0,0.00904607467421562,0.119780568688068,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0648075036723915,0,0,3.46944695195361e-18,0,0,0,0.0544485510123458,0,0,0,0,0,0.0559268013793504,0,0,0,0,0,0,0,0,0,0.035349053998723,-0.00431706490036228,0,0.00470800029699646,-0.0209737950274375,0,0,0,0,0,0
X600104.SH,0,0,0,0.385652807621547,0,0,0,0,0,0,0,0,0.0781146780251147,0,0.180198014838612,0,0.227538043731092,0,-0.0671656665497694,0.0458566131787188,0.187563461670423,0,0,-0.0302967947912337,0,0,0,0,0.00817826565763779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0776640674109459,0,0,0,0,0.0224058988381168,-0.00340201024562073,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0647755874072773,0.271923246611108,0,0,0,0.0591626018334508,0,0,0,0,0,0,0,0,0.0643785629506909,0,0.064907845608636,0,0,0,0,0.0339789640591599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278797379808337,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.213178851387178,0,0,0,0,0.16499222453257,0,0,0.0911183531469796,0,0,0,0,0.081462540889152,0,0,0,0,0,0,0,0,0,0,0,0,-0.00201120487414801,-0.0497259133137151,0.0681151568456215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394467255814342,0,0.0541043115896299,-0.00942992953944222,0.0246475203372016,0,0,0,0,0,0
X000858.SZ,0.146496369101759,0,0,0.211485502569502,0,0,0,0,0,0,0,0.237376418262623,0.0949445787317567,0,0,0,0,0,0,0,0,0,0,0,0,0.152484934619253,0,0.0751554750513278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536761028313479,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0826101311381006,0,0,0,-0.0320284163167786,0,0.164459846745245,0.171457260904427,0,0,0,0,0,0,0,0,0,-0.0765542110437671,0,0,0,0,-0.0427261451633034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144359763259206,-0.0520809838555487,0,0.131765885926647,0,0,0,0,0.0119063721818737,-0.00407450197846857,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.119504165971164,0,0,0.0410611208618497,0,0,0,0.133475316705322,0,0,0.0837836669179028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308588824990272,0,0,0,0,0.0229234746763355,0.209472849042321,0,0,0,0.184568327423445,0,0,0,0,-0.00616221926565436,-0.00658652135775745,-0.0622179985815867,0,0,0,0,0
X002304.SZ,0,0,0,0,0.556042107789709,0,0,0,0,0,0,0.072387378181487,0,0,0,0,0.0658693959421882,0.0411466035542513,-0.194912086670393,0,0,0,0,-0.0399232355147739,0,0,0,0,0,0,0,0,0,0,0,0,0.0295803600706634,0,0,-0.0497519309741997,0,0,0,0,0,0,-0.0168097191385059,0,-0.0538065312108466,0,0,-0.00572150370609739,0.00322739330288148,0,0,0,0,0,0
X000063.SZ,0,0,0.0839993772809584,0,0,0,0,0,0,0,0.351945594946633,0,0.122022637317045,0.0198983539884444,0,0,0,0,0,0,0,0.0658241592492686,0,0,0,0.0261330907162332,0,0,0.0452005073380359,0.0705221950501615,0,0,0,0,0,0,0,0,0.0567756814035206,0,0,0,0,0,0.119614096909096,0,0,0,0,0,0,-0.0412984189740035,0.0683532251585081,0,0,0,0,0,0
X600690.SH,0,0,-3.46944695195361e-18,0.36531512981968,0,0,0,0,0.0250987720738988,0,0,0,0.0413483915242618,-1.73472347597681e-18,0,0,0.329179078238469,0,0,0,0,0,0,0.0367894389806048,0,0,0,0,0.0378467059827483,0,0,0,0,0,0,0,0.0437800978368767,0,0,0,0,0,0,0,0,0.0954411026582701,0,0,0,0,0,0.0182180349515202,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.107271296439233,0.221042072919109,0,0,0,0,0.0582020981046586,0,0,0.304401556446714,0,0,0,0,0.369287046282324,0,0,0,0,0,-0.201761498315606,0.0422983001548718,0,0,0,0,0,0,0,0,0,0.111226095214602,0,0,0,0,0,0,0,0,-0.200922572235432,0,0,-0.262459036264264,0.00673810490244907,0.000413701017681533,0,0,0,0,0,0
X000568.SZ,0.176254965375608,0,0,0,0.314403702584074,0,0.0995977000743876,0,0.0196871606256321,0.0101071325487203,0.0163049679250178,0,0,0,0,0,0,0,0,0,0,0.00381950997670186,0,0.0965983412113897,0,0,0,0,0.0140754270445424,0,0,0,0,0,0,0,0.0470674302993794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201146570936131,0,0,0,0,0,0
X002236.SZ,0,0,0.334466775011459,0,0,0,0,0,0.157541971354099,0,0,0,0,0,0.120150204945768,0,0,0,0,0,-0.114952348032067,0,0,6.93889390390723e-18,0,0,0.0745972690805243,0,0,0,0,0,0,0,0,0,0.100522102504506,0.00233747005599148,0.015785679407401,-0.0869528465314514,0.204284443041422,0,0,0,0,0,0,0,0,0,0,0,-0.011949353492786,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0.193447674591591,0,0,0,0,0,0.0746280939983418,0,0.0888454624011773,0,0,0.282153389765512,0,0,0,0,0,0,0.146865099032072,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0979821777780513,0,0,0,0,0,0,0,0,0.00752648335679079,-0.0228587322678669,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.182971100256426,0,0,0,0,0,0,0,0,0,0,0.157417922986827,0,0,0.254638649434415,0,0,0,0,0,0,0,0,0,0.0297533786537795,0,0.0346302813269104,0,0,0,0,0,0,0,0,0,0,0.0341744129018304,0,0.0111591202256738,-0.0985980047860574,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.0364595750465713,0,0,0.00695307033785545,0,0,0,0.000790462917838635,0.114158091571473,0,0,0,0,0.169486742602368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172130408608469,0,0,0.128552597271372,0,0,0,0,0,0,0,0.0275939697040317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0.514214390639176,0,0,0,0,0,0,0,0,0.051466821211934,0,0,0,0,0,0,-0.0336510187859176,0,0,0,0,-0.173827016569558,0.127121855507286,0,0,0.0406398270908274,0,0,0,0,0,0.00776971489240116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256016574154156,0,0,0,0,0,0
X600031.SH,0,0,0,0.00941487930178067,0,0,0,0,0,0,0,0,0,0.0232507606780595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.228249258976317,0.303901015837024,0,0,0,-0.304018493629839,0,0,0,0,0.0035368968581457,0,0,0,0.154216927033254,0,-0.0387618798963192,-0.017600060348689,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.162481352965183,0.15300944256127,0,0,0,0,0,0,0,0,0,0.0527906858313907,0,0,0.0460022989486665,0,0,0.17459029770232,0,0,0,0,0,0,0.0923691158529863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00942580008086641,0.031027128343182,0,0,0,0,0,0
X000338.SZ,0,0,0,-0.1958770118518,0,0,0,0,0,0,0,0,0,0,0,0,0.130822984601061,0.2518477884559,0,0,0,0,0,0,0.332736305214145,0,0.0598219004313259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940443178081351,0,0,0,0.21455878714762,0,0,0.227222606314957,0,0,-0.0114768871689618,0.0398365592721122,0,0,0,0,0,0
