,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X000568.SZ,X600703.SH,X600741.SH,X002236.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000625.SZ,X601877.SH,X002008.SZ,X002456.SZ,X600066.SH,X300124.SZ,X002508.SZ,X600809.SH,X000100.SZ,X300003.SZ,X600487.SH,X002241.SZ,X002294.SZ,X600271.SH,X600867.SH,X600522.SH,X300136.SZ,X600089.SH,X000157.SZ,X600177.SH,X000981.SZ,X600566.SH,X000596.SZ,X000050.SZ,X002085.SZ,X600707.SH,X002180.SZ,X000661.SZ,X600498.SH,X002179.SZ,X600699.SH,X300142.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.0613822739161468,0,0,0.683294193439997,0.0327480026872442,0,0,0,8.67361737988404e-19,0,0,0,-0.0797302988044201,0,0,0,0,0.0787355170054118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046014159896861,0,0,0.0592248367266969,0,0,0,0,0,0.0129159644940309,0,0,0,0.00795379122388153,0,0,0,0,0,0
X600104.SH,0,0,0.050720019613958,0,0,0,0,0,0.167725806621845,-0.139089233016646,0,0,0.196024751999219,-1.0842021724855e-19,0,0.0695870035329221,-0.011775627186551,0,0,0,0.0299020359066924,0,0,0,0,0,0.119297877063082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763696397531602,0,0,0,0,0,0,0,0.111911744714511,0,0,-0.0160066887502125,0.0275483774338979,0.0408972971482954,0,0,0,0,0
X002415.SZ,0,0.0833309033653843,0,0,0,0,0,0,0.106803448315984,0,0,0.0706501374750989,0,0.147466763195743,0.0570176364891714,0,0.108431956667669,0,0.0139493209703414,0.210248664304942,0,0,0,0.114020776246164,0,0,0,0.211277237114498,0,0,0,0,0,0.0587259741289652,0,0,0,0,0,0,-0.106304455831491,0,0,0,0,0,0,0,0,0,0,-0.0234957926569819,0.0065529306933316,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.317518124818028,0,0,0.117099601034088,0.0536242223814091,0.0917093354510561,0,-0.00715393901645634,0,0,0.0744641465115062,0,0,0,-0.0363524642864989,0,0,0,0,0,0,0,-0.0820513880170551,-3.46944695195361e-18,0,0,0,0.117074810864331,0,-0.0140363084804785,0,0,0,0,0,0,0,-0.0609447018510983,0,0,0,0,0,0,0.110565392052789,0,0,0.00604568528606892,0.00794052589336951,0,0,0,0,0,0
X000858.SZ,0.282700303369437,0,0,0.00189762279921373,0,0,0,0.130812267963777,0.00749538802771043,0,0.210350310865852,0,0,0,0,0,0,0,0,0.190337765400865,0,0,0,0,0.060441955990224,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00490732445516922,0,0,0,0,0,0,0
X600276.SH,0,0,0.0406645408011418,0,0,0,0.0289382683705856,0,2.16840434497101e-19,0,0,0.258525659855703,0,0,0,0,0,0,-0.0324748579095392,0,-0.0694838326321804,0,0,0.360411479783504,0.0429691898443135,0,0,0.0230202813347886,0,0.0424060591171818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590727782151124,0,-0.0194944137696425,0,0,0,0,-0.0151690637874642,0.0269649708935787,0.100082286451989,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.188001012289218,0.514049900995098,0,0,-0.0613126472360358,0,0,0,0,0,0,0,0,0,0,0.0401379198423059,0.0373843075673815,0,0.175558517131276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112665683777231,0,0,0,0,0.107439922453625,0,0,0,0,0,-0.0621015148138066,0.0780074672500954,0,0,0,0,0,0
X002304.SZ,0.267657547602772,0,0,0,0.163386464589456,0,0,0,0,0,0.23237220999815,0.0329419253466741,0.151719983814121,0,0,0,0,0,0,0,0,0,0,0.0658724179194815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407788830052971,0,0,0,0,0.00540225480861181,0,0,0,0,0,0,0.00408891350197121,0,0,0,0,0,0,0
X600690.SH,0,0,0.00467201488531264,0,0.428471821770584,0.104054888673126,0,0,0,0,0,0,0,0,0,0,0.0444218197669235,0,0,0,0,0,0,0,0,0.0186909656712318,0,0,0,0,0,0.0521935029105224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196414372621633,0,0.125910432926162,0,0,0,0.00878492522633953,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.341406827060572,0,0,0,0,0,0,0,0,0,0,0,0,0.113583891541132,0,0,0,0,0,0,0,0.180443682914506,0.0469738510004582,0,0.38430759967577,0.104414862778222,0,0,0,0,0,0,0.0701834097277623,0,0,0.109795177392671,0,0,0.0265563651079248,0.282717458234145,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.353597989395687,0,0,0.0289212635268775,0,0,0,0,0,0,0,0,0,0,0,0.0870095414592419,0,0,0,0,0.0731653900975138,0,0,0,0,0,0,0,0,0.0416150598039289,0,0,0,0,0,0.312158886827761,0,0,0,0,0,0,0,0,0,0,0,0.00338507822589421,0,0,0,0,0,0,0
X600703.SH,0,0,0.0691646941504322,0,0,0,0,0.28049823027077,0,0,0,0,0,0.463281328262754,0,0,0,0,0.0431440444375014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00532162171544836,0,0,0,0,0,0,0,0,0,0,0,0.606500158370662,0,0,0.0184283846633554,0,0,-0.0256699897530296,0.00311080155010277,0,0,0,0,0,0
