,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X600031.SH,X300003.SZ,X002008.SZ,X300124.SZ,X002456.SZ,X601877.SH,X000625.SZ,X600066.SH,X600487.SH,X600809.SH,X000100.SZ,X002241.SZ,X600867.SH,X002294.SZ,X600271.SH,X600566.SH,X600522.SH,X300136.SZ,X002508.SZ,X000157.SZ,X600089.SH,X002179.SZ,X000981.SZ,X000050.SZ,X300142.SZ,X000661.SZ,X002049.SZ,X600177.SH,X000596.SZ,X600707.SH,X600498.SH,X000977.SZ,X600372.SH,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.514560527615399,0.0523817811206394,0,0.0567392095230335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00845393854327203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821956817786263,0,0,0,0.0409131832712456,0,0,0,0.0129893725973554,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.284624602976673,0,0,0.192083442586711,0,0.253032965481499,0,0,0,0,0,-0.167314858115572,0,0,-0.00572291989956445,0,-3.46944695195361e-18,0,0,0,-0.111571434171672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202472537681942,0,0,0,0,0,0,0,-0.0219120322067782,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.170619957580947,0,0,0,0,0,0.0951018572966745,0,0.0914910869001172,0,0,0.0364713631786899,0,0,0,0,0,0.364298886348857,0,0,0,0,0,0,0,0,0.157332628885266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00706731085883618,0,0,-0.0145736077214435,0.0229404219180476,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.320324489450608,0,0,0,0,0.192191856163313,0,0,0,0.00456665388932794,0,0,0.0792532847356091,0,0.00372230172754846,0.0215004699769245,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.0937676559660003,0,0,0,0,0,0.174815744307454,0,-0.0294946278190756,0,0,-0.0653770895431057,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.170003184433049,0,0,0.173568801360395,0,0,0,0,0,0,0,0.589492607095537,0,0.0285507965339791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208488117552393,0,0,0,0,0,0,0,0,0,0,0,-0.0076777470539125,-0.00650570744147946,0,0,0,0,0,0
X600276.SH,0,0,0,0.0525885523762005,0,0,0,0,0,0.129215060108911,0,0,0,0.014829626371565,0,0,0,0,0,0,0,0,0,0,0.256630327226889,0.00549585242681229,0,0,0.0800077162780922,0,0,0,0,0,0.121535719528151,0,0,0,0,0,0,0.0282534418013045,0,0,0,0,0,0,0.111114829938647,0,0,0,0.00839805107866859,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.282606174632403,0,0,0,0,0,0,0.0563094854639988,0,0.039138229453745,0,0,0,0,0,0,0,0,0.0458976825617255,0,0.0638149579322455,0,0.151688561611032,0,0,0.0867857258659434,0,0,0.307653945972941,0,0,0,0,0.022110140815425,0,0,0,0,0,0,0.0647703879667359,0,0,-0.00775133551238819,0,0,0,0,0,0,0
X002304.SZ,0.229440256839652,0,0,0,0.00790786513160224,0,0,0,0,0,0.0628191181378184,0,0.128540781607749,0,0,0,0,0,0,0,0,0,0,0,-0.0969835103842143,0,0,0,0,-0.0500253221693311,0,0,0,0,0.302774602845844,0,0,0,0,0,0,0,0,0,0.266206101179456,0,0,-0.0809105772311596,0,0,0,0.0100214514539635,-0.0219085937909189,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.177874629504001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454169024698172,0,0.188769513761651,0,0,0,0.0841932227550839,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.160642139668755,0,0.122738079544169,0,0,0.348722382848305,0,-0.0115302995636363,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.101919221496599,0.312813994582505,0.0343352111077495,0,0.137028371259483,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753672992307219,0,0,-0.106136988645286,0,0,0,0,0,0,0,0,0,0.0397801340823832,-0.0246709156130024,0,0,0,0.00449591043862369,0,0,0,0,0,0
X600703.SH,0,0.0769702971058588,0,0,0.0137459686955643,0,0,0,0,0,0,0,0,0.0109622225854847,0.419128857110262,-0.132872926868498,0,0.156510731292288,0,0,0,0,0,0,0.223851128780181,0,0,0,0,0,0,0,0.548872522905972,0,0,0,0,0,0,0,0,0,0.0790064437766334,0,0,0,0,0.0231852017610875,0,0,0.0624654283854698,0,0.00474108843085808,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.515498469154689,0,0,0,0,0,0,0,0,0,0,0.147699584108295,0,0,0,0,0,0,0,0,0,0.10907641598297,0,0,0.105814584205625,0,0,0,0,0,0,0,-0.0561807207722683,0,0,0,0,0,0,0,0.153813444808988,0,0,0,0,0,0,-1.0842021724855e-19,3.42679558208703e-05,0,0,0,0,0,0
X600741.SH,0,0.472149577965793,0,0,-0.0362345005237062,0,0,0.138337756807608,0.152422977215166,0,-0.078193729431184,0,0,0,0,0,0.00911920531027973,0,-0.124793583053497,0.0894039194413116,0,-0.00939186481739736,0,0,0,0,-0.044220766404267,0,0,0.049830770253793,0,0.0451854013090432,0,0,0,0,0,0,0,0,0,0,0.00457327580403114,0,0,0,0,0,0,0,0,0.0336367369186858,0,-0.0805239110224997,0,0,0,0,0
