,X600519.SH,X600104.SH,X000651.SZ,X000858.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000568.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X002008.SZ,X000596.SZ,X600487.SH,X002236.SZ,X002456.SZ,X002007.SZ,X000100.SZ,X600809.SH,X002179.SZ,X600566.SH,X000661.SZ,X600498.SH,X600867.SH,X000625.SZ,X300146.SZ,X600066.SH,X002294.SZ,X600177.SH,X000157.SZ,X600089.SH,X000977.SZ,X002506.SZ,X300136.SZ,X600372.SH,X002241.SZ,X002180.SZ,X000981.SZ,X300142.SZ,X600522.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.202231210945556,0,0.00435060554291083,0,0,0,0,0,0.0113405195832309,0,0,0,0,0.169860608536461,0,0,0,0,0,0,0.00451195997545684,0,0,0,0.18672754019843,0,0,0,0.042637128436187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112736507757428,0,0,0,0,0,0
X600104.SH,0,0,0,0.0261625181909415,0,0.149723787589273,0,0,0.163065286721503,0,0,0,0,0,0.0967363565968765,0,0,0,0,0,0,0,0,0.0843181560402933,0,0,0,0.159916528020338,0,0,0,0,0,0,0,0,0,0,0,0,0.176280748741641,0,0,0,0,0,0,0,0,0.118756103102469,0,0.0177151305225931,0.0158545248479274,0,0,0,0,0,0
X000651.SZ,0.25001250023346,0,0,0,0,0,0,0,0,0,0,0.167600424127988,0,0,0.019795613959438,0,0,0,0,0.0617428834400511,0,0.148372455919772,0,0.0029343585046919,0,0,0,0,0,0,0,0,0.045920302282142,0,0,0,0,0,0,0,0,0,0,0.0356618936354519,0,0,0,0,0,0,0,0,0.00493801336233269,0,0,0,0,0,0
X000858.SZ,0,0.166359457835436,0,0,0,0,0.0472721742261424,0,0,0,0,0.287756387998794,0,0,0.00480776070973907,0,-1.0842021724855e-19,0,0,0,0.0139615272563834,0,0,0.0626714330064385,0,0,0,0.0909721111281509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150462880060944,0.00174275537214947,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0553340633686951,0,0,0,0,0,0,0,0.0502300120296233,-2.16840434497101e-19,0,0.594860962681239,0,-0.0247424580089433,0,0,0,0,0,0.0577084844202304,0,0,0,0,0,0,0,0,0.0988812646044729,0,0,-0.0415238068746569,0,0.0990623121494035,0,0,0,0,0.228897288726466,0.0354491025857912,0.0925944444641475,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0132962600276252,-3.46944695195361e-18,0,0,0,0,0,0.287355543986875,0,0,0,0,0,0,0.209143036474839,0,0.111125089288376,0,0,0,0,0,0,0.0437393464175022,0,0.257812057626663,0,0.0840086472169657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341535641266872,0.0232692041865181,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0926317810045294,0,0,0,0,0,0.600427200748693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197923313793333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038484304225969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435417170841843,0,0,0,0,0,0.13699236054277,0,0,0,0.442962388423588,0,0,0,0.101908897182002,0.0697481544692741,0,0,0,0,0,0,0,0,0.0356299067410763,0,0,0.223970012248243,0,0.0853692120203498,0,0,0,0,0,0,0.0376630563712937,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0.0461735453006495,0,0,0.201423915002769,0,0,0,0,0.306359774466638,0,0,0,0,-0.0784725209239199,0,0,0,0,0,0,-0.026733206794462,0.00653502566785487,0.197130531898569,-0.0323009885769813,0,0,0,0,0,0.167212474668149,0,0,0,0,0,0.0348280381418323,0,0,-0.0389903636823873,0,0,-0.0286145208385762,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0919711680895343,0,0.0398414189969442,0,0,0,0.199882517259857,0,0,0,0,0.0958746779462412,0,0,0,0,0,0,0.13859822831175,0,0.256559023014678,0,0,0,0,0,0,0,0,0,-0.101355121106083,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.195081915985414,0,0,0.233080205427293,0,0,0.0258775117332969,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0698143894785863,0,0,0,0,0,0,0.126857053872498,0,0,0,0,0,0,0,0.48218213356346,0,0,0,0,0,0.297000039090945,0,0,0,0,0,0,0,0,0,0.086486836376059,0,0.0904763480238627,0,0,0,0,0,0,0,0,0.00997207174549478,0.0878876873309142,0,0,0,0,0,0
X000568.SZ,0,0,0,0.309929126439585,0,0,0.299293937648886,0.0655014734275245,0,0,0,0,0,0,0,0,0.170383095495039,0.0992639385385108,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.127875822223177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646083388372114,0,0,0,0,0.0142512031792626,-0.0132615924464721,0,0,0,0,0,0,0
X000338.SZ,0,0.1902679376134,0.190469040551495,0,0,0,0,0,0,0,-0.0274700236820818,0,0,0,0,0,0,0,0,0,0,0.0199244953495771,0,0,0,0,0,0.236271000493882,0,0,-0.00145453497905907,0,0,0,0,0,0,0,0,0,0,0,0,0.0727712447892234,0.0967899439274431,0,0,0,0,0,0,0.0109328880188592,0.000387238115196378,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116170811205074,0.16642135887726,0,0,0.12451068839053,0.0449081601886844,0,0,0,0,0,0.067421675396314,0,0.0206426023472786,0,0,0,0,0,0,0,0,0.133994468409072,0,0,0.0180822482472501,0.202305572950258,0,0,0,-0.0270130305878406,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.0293990574763061,0,0,0,0,0,0,0,0.0466894370897033,0,0,0,0.285139871490794,0,0,0.138489736603527,0,0,0,0,0,0,0,0,0,0,0,0.131384461817415,0,0,0,0,0,0,0.0145891849881448,0,0,0,0,0.0588771197523967,0,0,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,-0.106903336016249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097958977503399,0.308440964500649,0.211185136076606,0,0,0,0.102575667875139,0,-0.00866659563546987,0,0,0,0.244703678788379,0,0,0,0,-0.0977073406223098,-0.0198869796156836,0,-0.204538597069604,0,0,0,0.0494025409309347,0,0,0,0,-0.0284881627566314,-0.00563261466950385,0.126081600777605,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0.631968010975095,0,0,0,-0.16592895470464,0.139020960452316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210573540004801,0,0,0,0.128965198877178,-5.42101086242752e-20,-0.022543175482368,0.129360785712082,0,-0.00949888878824073,0,0,0,0,0,0,0,0,0.0855824336762483,0,0,0,0,0,0,0,0.00340714551493408,0.0150253280997219,0,0,0,0,0,0
X600271.SH,0,-0.105651034260309,0,0,0,0,0,0,0,0.0673076494194232,0,0,0,0,0,0,0,0,0,0,0,0,0.122353113112323,0,0,0,0,0,0.0626319142647398,0,0.0299669999629879,0,0,0,0,0,0,0,0,0,0.424430163103056,0,0.263229716843819,0.54203034306965,0,0,0,0.0832057524232053,0,0,0,0.0107378795380851,0,0,0,0,0,0,0
