,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600703.SH,X300003.SZ,X600741.SH,X601877.SH,X600271.SH,X002236.SZ,X002007.SZ,X002008.SZ,X600487.SH,X000100.SZ,X600498.SH,X300124.SZ,X000661.SZ,X002456.SZ,X600867.SH,X002179.SZ,X600566.SH,X000625.SZ,X300146.SZ,X300142.SZ,X600809.SH,X000157.SZ,X000596.SZ,X600177.SH,X002180.SZ,X600372.SH,X002294.SZ,X600089.SH,X002506.SZ,X600066.SH,X300136.SZ,X600522.SH,X000977.SZ,X002241.SZ,X000050.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.591198038737402,0.176792223391377,0,0,0.0372265023336581,0,-0.0337783723735635,0,0,0,0,0,0,0,-0.0687045316335072,0,0,0.0594966214484516,0,0,0,0,0,0.0336922880481344,0,0,0,-0.0204630916623949,-0.0222861554611393,0,0,0.136490517559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00745695171275852,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.00440283408987395,0,0,0,0,0,0,0,0,0,0,0,0.142758940980315,0.421111469686054,0,0,0.101139059855914,0,0,0,0,0.0761536331903107,0.0752121949532751,0.0125803339743175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827287708995158,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171441408657408,0,-0.0469690169797228,0,0,0,0.627540818075043,0,0.227678082578992,0.0909259771842408,0,0,0,-0.0466111310789093,0,0,-0.0628502875070481,0,0.0557317776473413,0,0,0,0,0,0,0,-0.0542318823591867,0,0,0,0,0,0,0,0,0,0,0.123925776945584,0.00632221524319132,0,0,0,0,0.12202540075172,0.0949722240358547,0
X600276.SH,0,0,0.171998200448957,0,0,0,0,0,0,0.0246884430914026,0,0,0,0,0,0.433505808555401,0,0,0,0,0,0.0254752749396745,0,0,0,0,0,0.0511932165312833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371892344917155,0,0,0,0,-0.000822426778744244,0.012822529769712,0,0,0,0,0,0
X000651.SZ,0.211543130021331,0,0,0,0,0.111728552669053,0,0,0,0,0,0,0,0.205070830714681,0,0.0616455009844482,0,0,0,0,0,0,0,0,0,0.00416524945190528,0,0,0,0,0,0,0,0,0,0,0,0,0.0795353496105222,0,0,0,0,0,0,0,0,0,0,0,0,-0.01817234811704,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.217614681897417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366617712040983,0,0.25161337549441,0,0,0,0,0,0,0.0412142915361099,0,0,0,0,0,0,0,0.00660333463601276,0.0399581965672357,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180197879489666,0,0,0,0,0,0,0,0,0,0,0,0,0.0129172963160025,0,0,0,0,0,0.0997633437459072,0,0.402104388100662,0,0.380273851673719,0,0,0,0,0,0,0,0,0,-0.0473934644828046,0,0,0,0.0605556877274457,-0.00541344496222878,0.0475561753726638,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0854201714260612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868066184801562,0.145316909709283,0.257535177876654,0,0,0.0713318789537566,0,0,0.0511363246309523,0.022388347016299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0212746472705776,0,0,-0.0351250697928999,-0.0163996869059419,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0829163513506993,0,0,0,0,0,0,0.102496485781275,0,0,0,0,0,0,0,0,0,0,0,0.164194017710075,0,-0.0253549482388956,0,0,0,0.00512573819267717,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.288393664132949,-0.0516461344978889,0,0.324138986661925,0,0,0,-0.0501687123664018,-0.00671686241309842,-0.0899932479155647,0,0,0,0,0,0
X000063.SZ,0,0,0.0896554145860415,0,0,0,0,0,0,0,0,0.352345348304852,0,0,0,0,0,0,0,0,-0.147538533263855,0,0.35846157923885,0,0.177141253461166,0,0,0.142178096096152,0,0,0,0,-0.0622805561051722,0.105346241711538,0,0,0,0,0.125179034469367,0,0,0,0,-0.052874387729207,0,0,-0.0711378003576466,0,0,0,0,0.0462839732839542,-0.101725807039373,0,0,0,0.0271901262762189,0,0
X600031.SH,0,0,0.0207917810355088,0.181219711422645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349525199159587,0,0,0,0,0,0,0,0,0.0413403341949838,0.101705032578112,0,0,0.0790180661515283,0,0,0.128114275707845,0,0,0,0,0,0,0,0,0,0,0,-0.0140168015364429,-0.0368781883128756,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365897750269821,0,0,0,0,0.0345395409617379,0.0329270634272708,0,0,0,0,0,0,0,0.835966640192174,-0.111523079509417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789456556294972,0,-4.33680868994202e-19,0,0,0.158691409707471,0,0.000901265023624078,0.0969891468944651,0,0,0,0,0,0
X000338.SZ,0,0.0846156288153411,0,0,0,0,0,0.101882175059802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399866822765123,0,0,0,-0.0116397564419697,0,0,0,0.156066448707501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176862137929108,-0.00591050859941163,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0.205829660319315,0,0.0791365273240571,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.238926690549303,0,0,0,0,0,0,0,0.0181808062877375,0,0,0,0,0,0.376414433192034,0,0,0,0.0582205612907974,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197935406882718,0.0427143267819442,0,-0.111052832419028,0,0,0,0
