,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600703.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X300003.SZ,X002008.SZ,X000625.SZ,X600809.SH,X600487.SH,X000596.SZ,X000661.SZ,X600498.SH,X002007.SZ,X002456.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600177.SH,X300146.SZ,X600566.SH,X000050.SZ,X600089.SH,X600066.SH,X600522.SH,X002180.SZ,X600867.SH,X002129.SZ,X002506.SZ,X600372.SH,X002241.SZ,X000977.SZ,X600776.SH,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0945015643489774,0,0.0349964353213603,0.160172949542014,0,0,0,0,0,0,0,0,0,-0.0681593088599214,0,0.0143168046320998,0,0,0.0296132530234024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720334210128241,0,0,0,0,0,0,0.0098786454219199,0,0,0,0,0,-0.00596113667699804,0.0634198142490794,0,-0.0328388079389904,0.0303043736882965,0,0,0,0,0,0
X600104.SH,0,0,0,0.112419110926611,0,0,0,0,0.116505402465467,0,0.0780817969359336,0,0,0,0.132483014917773,0,-0.000221606158335788,0,0.029070976719531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086911805917418,0,0,0.248361166780742,-0.0664318952660774,0,0,0,0.0507500302090239,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.00837256036717919,-0.0467401518820348,0,0,0,-0.0107023033137998,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.199037255280131,0,0,0,0,0,0.638135143480073,-0.0689124622013756,0.00427854123588074,0.076588993973261,0,0,0,0,0,0,0,-0.0851026913833507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0426852517418955,0.0499807054153441,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.103095260046256,0,0,0,0,0,0,0.326981618592525,0,0,0,0,0.0808860924593315,0,0,0.0108121810260639,0,0,0.00412545514734268,0,0,0.0409258179161186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158988431808326,0,-0.00161614274735163,0,0,0,0,0,0,0
X000651.SZ,0,0.126466731794742,0,0,0,0,0,0,0.168803977112005,0,0,0,0,0,0.059366788014858,0,0,0,0.0775580055561937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605550942795731,0,0,0,-0.0409277106079324,0,0,0,0,0,0,0,0,0,0,0,0.0351557535973802,0,0,0.00423417155709218,0,0,0,0,0,0
X600276.SH,0.217243993882111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290932310878496,0,0,0,-0.411474765980032,0.312304050640949,0,0,0.112194987245541,0,0,0.0854078456659554,0,0,0,0,0,0,0,0,0.141153821565871,0,0,0,0.316029867295029,0,0,-0.283100775453786,0,0,0,0,0,0,0,-0.00734666246659136,0.0830740822763236,0,0,0,-0.0107558467750404,0,0
X002304.SZ,0,0,0,0.0303604085587878,0,0,0,0,0.018551585864527,0,0,0,0,0.271983993036202,0,0,0,0,0,0,0.137774361383121,0.12840452198339,0,0,0,0,0.0293254148422238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0739366225403153,0,0,0,0,0,0,0,-0.00448724508352701,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0997509341161315,0,0,0,0,0,0,0.0258661356946614,0,0.0783579344805358,0.144807087623574,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730454409922754,0,-0.0099733449998289,0,0.253895741667523,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.012302085047919,0.0137397719867695,0,0,0,0,0,0,0
X600690.SH,0,0.274246649759703,0,0,0.083092453622941,1.0842021724855e-19,0.104823731659573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557191434088829,0,0,0.01286244487473,0,0,0,0,0,0,0.221738143926938,0,0.0734041836562507,0,0,0,-0.0856241065965051,0,0,0,0.0786542277733764,0,0.0182244378720504,0,0,0,0.111280108259377,-0.00908523505906086,0,0,0,-0.0189236832434158,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251572637441619,0,0,0.20185169430439,0,0,0,0,0,0,0,0,0,0,0,0.0859819623258708,0,0.0178887386559544,0,0,0,0,0,0,0.0500068213430702,0,0.00765084757446433,-8.67361737988404e-19,0,0,0,0.137503327638026,0,0
X600031.SH,0,0,0,0,0,0,0,0.0744684924098889,0,0,0,0.206857548384882,0,0,0.139372826517995,0.0591313622341213,0,0,0.0416059229319652,0,0.0493602851633957,0.00100291567450245,0,0,0,0,0,0,0,0.0907914835422493,0.021204149796086,0.126859104823807,0,-0.0337370375430279,0,0,0.0282514168891349,0,0,0,0,0,0,0,0,0,0,0,-0.0360762025768377,-0.0592277867828033,0,0.00259733225237798,0,0,0,0,0,0,0
X000338.SZ,0,0.0831203169726765,0,0,0,0,0.02480276314498,0,0.104742832609377,0,0,0,0,0,0.177262135219268,0,0,0,0.155955634044013,0.0312137974346223,0,0,0,0.0623241806884151,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115142205972607,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00238199136400276,0.015934777976415,0,0,0,-0.0465747270619322,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209084169456337,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0131597096371848,0,0.150653193111122,0,0,0.106288468154787,0,0,0.216507628728493,0,0,0,0,0,0,0,-0.0212204276596745,0,0,0,0,0.0306035145261743,0.158168088023743,0,0,-0.0660881139560554,0,0,0,-0.0409227344046543,0,0
