,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X002475.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X002008.SZ,X300003.SZ,X000625.SZ,X600487.SH,X600809.SH,X002456.SZ,X600498.SH,X600776.SH,X000661.SZ,X000596.SZ,X002007.SZ,X000050.SZ,X600066.SH,X002179.SZ,X000157.SZ,X300142.SZ,X600522.SH,X300146.SZ,X600177.SH,X600089.SH,X300136.SZ,X600867.SH,X002241.SZ,X600566.SH,X600372.SH,X000977.SZ,X002180.SZ,X002129.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0392332315505053,0,0,0,0,0,0,0,0,0,0,0.00783234756995305,0,0,0,0,0.0380951980298058,0,0,0,0.0257820757526406,0,0,0,0,0.0890271724238814,0,0,0,0,0,0,0,0,0,0,0.0424324377848917,0,0,0.0144677678001037,0,0,0,0,0,0,0.106180151088792,0,0,-0.00200036215532465,0.0108176725692361,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0177442337925407,0,0,0.132822974030335,0,0.0976032239695479,0.250476822114048,0,0,0,0,0,0.1038659137879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170567235158636,0,0,0,0,0,0,0,-0.0556647460224658,0,0,0,-0.059002094286401,0,0
X002415.SZ,0,0,0,0,0,0.0192756911556915,0.135141539313494,0,0,0.0362873044443544,0,0,0,0.12971159153683,0,0,0.0522333259642872,0,0.308585736680203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026934970791224,0.0583898273417533,0,0,0,0.0597465049585683,0,0
X000651.SZ,0,0.222142890645887,0,0,0,0,0,0,0,0,0,0,0,0.0629683390340989,0.116716550175046,0,0,0,0.0820939377081664,0,0,0,0,0.0695209168194942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00107747395256508,0,0,0,0,0,0,0
X000858.SZ,0,0,0.102768523867116,0,0,0.0318770578233888,0.107405661286362,0,0,0,0,0,0,0.286941140657168,0,0,0,0,0.0487668354787317,0,0,0,0.010199661543459,0,0,0.0170311335549146,0,0,0,0,0.0166744462762523,0,0.0352326652218766,0,0,0,0,0,0,0,0,0.00679874896567684,0,0,0,0,0,0,0,0,0,-0.0108510468260884,0,0,0,0,-0.0367905063158501,0,0
X600276.SH,0.128781201915404,0,0,0,0,0,0,0,0,0,-0.398863044945894,0,0,0,0,0.219279665041519,0,0,0,0,0,0,0.286353220816518,0,0,0,0,0,0,0.311602047374535,0.216126266462412,0,0,0,0,0,0,0,0.0212008267187241,0,0,0,0,0,0.183823025406251,0,0,0,-3.29655564578271e-05,0,0,0.0405442429530625,0.060113583874283,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0756563812738289,0,0,0,0,0,0,0,0,0.185505232315234,0.0459310746440142,0,0,0,0,0,0.0142995806134409,0,0.153101084318914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117789251579652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04055117221751,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0487053211849202,0,0,0,0,0,0,0,0,0.0107846509605114,0,0,0.0410094952646514,0,0,0.271777211339533,0,0,0,0,0,0,0,0,0,0,0,0.0752857336910685,0.164786352225589,0,0,0,0,0,0,0,0,0.0100472335958818,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0296288052700364,0,0,0,-2.71050543121376e-20,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353271769527544,0,0.0480428909253833,0,0,0,0.0165329833447438,0,0,0.271666401373876,0,0,0.199646634817628,0,0,0,0,0,0,0,0,0,0.061980202930539,0,0,0,0.0118655227869327,0.0447151376432499,0,0,0,0,0,0,0,0,0.00713256196580736,-0.00392258831778259,0,0,0,0.146047093133758,0,0
X600690.SH,0,0.27636957076713,0,0,0,0,0.185940185740254,0,0,0,0,0,0.08197600606365,0,0,0,0,0,0,0,0,0,0.021179769976898,0,0,0.043609749024773,0,0,0,0,0,0,-0.0201797465661553,0,0.0839625967225779,0,0,0,0,0,0,0,0,0,0,0,0.138940286992646,0,0,0,0,-0.0147936374963909,-0.00148799046312377,0,0,0,0,0,0
