,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X000661.SZ,X600809.SH,X000596.SZ,X601877.SH,X002236.SZ,X600183.SH,X600703.SH,X000157.SZ,X000100.SZ,X002007.SZ,X300003.SZ,X300142.SZ,X300124.SZ,X600271.SH,X002179.SZ,X000625.SZ,X600498.SH,X002241.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002463.SZ,X600867.SH,X300014.SZ,X002008.SZ,X600487.SH,X600066.SH,X300146.SZ,X002049.SZ,X300136.SZ,X000050.SZ,X002371.SZ,X000977.SZ,X600118.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.247357302560581,0.0967681863918704,0,0,0.12486331831438,0,0,0,0,0,0.0695920449444439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167820403867003,0,0,0,0,0.00567868826581012,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126417719884447,-4.33680868994202e-19,0,0,0,0,0,0
X000858.SZ,0.0450708530864511,0,0,0,0,0,0.464771141314197,0,0,0.165926001577956,0,0.120448182177852,0,0.140727984338391,0,0,0,0.0642893614654513,0,0,0,-0.0114358656824758,0,0,0,0,-0.00728478108315475,0,0,0,0,0,0,0,0,0.0361439203679302,-0.0524244225258837,0,0,0,0,0,0,0,0,0,0.069750548629552,0,0,0,0,-0.00674220705896583,-0.0110484127855958,0,0,0,-0.0587216811084071,0,0
X000651.SZ,0,0,0,0,0,0,0.209677219750869,0,0,0.0247764673342049,0,0.103540882471932,0,0,0.0822022187355261,0.0394894604294599,0.104578864442002,0,0,0,0,0,0,0,0.100306777965416,0,0.0231190955481247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359089908383276,0,0.0275424419665693,8.67361737988404e-19,0,0,0,-0.0570450401067543,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.173455787818078,0,0,0,0.00756829530908482,0,0,0,0,0.12054997770734,0,0,0,0.343762692060373,0,0.134228424538969,0,0,0,0,0,0,0,0,0,0,0.091984800331091,0,0,0,0,0,0.0723747840227325,0,0,0,0,0,-0.134534780577656,0,0,-0.00662098522030471,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0127013303938377,0,0,0.223303176435054,0,0,0,0,0,-0.104467847879503,-0.0136387083405502,0,0,0.0357935832143681,0.0952716174319161,0,0,0,0,0.20056869262217,0,0,0,0,0,0,0,0.0946588343981691,0,0,0,0,0,0,0,0,0.0606323198620133,0,0.024980097944035,-0.096188695465425,0,-8.67361737988404e-19,0,0,0,0,0,0
X002415.SZ,0.0277203414354808,0,0,0,0,0,0,0,0,0,0,0.110635171545477,0,0,0,0,0,0,0,0.565875647327122,0,0,0,0,0,0,0,0,0,0,0,0,0.212697939274705,0,0,0.196801489738753,0,0.0586399167294644,0,0,0.0396928731478656,-0.0748134962893944,0,0,0,-0.057187481923047,0,0,0,-0.0222335137332985,0,-0.00275677915081624,-0.0189695187536536,0,0,0,0.0831121154199729,0,0
X002304.SZ,0,0.0701443126875358,0,0.011884540195992,0,0,0,0,0,0.202194448965905,0,0,0,0,0.207097962661652,0,0.246161625946776,0,0,0,0,-0.0333854876412097,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0338532534495288,0.0334015760897729,0,0.0874646021365528,0,0,0,0,0,0,0,0,0,0,-0.0905479878393837,0.0468110124046262,-0.0293954100767184,0.0516818944500989,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.16659215563975,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0421185207587362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641767984463136,-0.0226788521983801,0,0,0,0,0,0.0151460833697622,0.0603972181708528,0.348689019011745,0,0,0,0.0184009632807587,0,0,0.0771990785313112,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.187596724493446,0,0,0,0,0,0,0,0,0.0708185342305679,0,0,0,0,0,0,0,0,-0.18033094544035,0,0.0208360178641454,0,0,0,0,0.0383745070189364,0,0.0602423356987967,0.104164769466261,0,0,0,0.0078165901286694,0.223181504856846,0,0,0,0,0.211400190304331,0,0.0392574122196155,0.00549569826349368,0,0,0,0,0,0
X000568.SZ,0,0.529576385565959,0,0,0,0.0770804926450393,0.0204080813145537,0,0,0,0,0.0104983974044101,0,0,0,0.225289271389806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147914320912794,0,-0.00168080352548764,0,0,0,0,0,0,0
