,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600183.SH,X000596.SZ,X600703.SH,X002236.SZ,X601877.SH,X000100.SZ,X300003.SZ,X002241.SZ,X002007.SZ,X000157.SZ,X002463.SZ,X600271.SH,X002179.SZ,X300142.SZ,X300124.SZ,X000625.SZ,X000066.SZ,X002008.SZ,X600867.SH,X300014.SZ,X002129.SZ,X002049.SZ,X000977.SZ,X600498.SH,X300136.SZ,X600066.SH,X600177.SH,X002506.SZ,X002371.SZ,X300146.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.410793908841516,0,0,0.0710702357744504,0,0,0,0,0,0.14675764719591,0.0654822138934619,0,0,0,-0.0767403838922397,0,0.0353093350709383,0,0,0.035867356192883,0,0,0,0,0,0,0,-0.0469611647996606,0,0,0,0,0,0,0.00188293397396681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0435994186110992,0.293922097024726,0,0,0,0,0.369376492661066,0,0,0.0950999530300354,0,0,0,0,0,0,0,0,-0.109251934355491,0,0,0,0,0,0,0,0,0,0.0758797909101146,0,0,0,0,0,0,0,0.0708116579550407,0,0,0,0,0,0,0,0,0,0.00228830083282959,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0258908603180447,0,0,0,0,0,0,0,0.110179859101657,0,-0.0218687578164974,0,0,0.0323564133927723,0,0,0,0,0.148561374748945,0,0,0,0,0,0,0,0.0790679195692497,0,0,0.052481267285343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241115072411927,0,0,0,0,0,0,0
X600276.SH,0,0.0816635609122141,0,0,0,0,0,0,0,-0.00349247386661591,0.165442672245566,0.1075789193879,0,0,0,0.123754502059323,0,0.141816422521083,0,0,0,0,0,0,0,0,0,0,-0.0173616966803419,0,0,0,0,0,-0.0596407620650496,0,0.0706405477897013,0,0,0,0,0,0,0,0,0.0383339204633038,0,0,0,0,0.161069512761377,0,-0.0101366449061554,0,0,0,0.00387632175159998,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0637517942138932,0,0.12911832734127,0,0.158877888358851,0,0,0,0,0,0,0,0,0.156981437807202,0.0132076968845525,0,0,0.11921652136015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231937033583073,0,0,0,0,0,0,0,0,0,0,0,0,0.0123133292849402,0,0,0,-0.0478735990165266,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587164713124083,0.291420364920176,0,0,-0.115697866976662,0,0,0,0.0386385006615609,0,0,0,0,1.0842021724855e-19,0.0185897968876032,0,0,0,0,0.0592187958492258,0,0.00487249068959598,-0.0220068804358989,0,0,0,0.0493114374394623,0,0,0.0806173001350584,0,0,0,0,0,0,0,-0.0104825024810738,0.0118580669045992,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00783626574363635,0,0,-0.0186374599859956,0,0,0,0,0,0,0,0,0,0,-0.0248274416895442,0,0,-0.0162034350621079,-0.0151767087940271,0,0,0,0.161000399917018,0,0
X002304.SZ,0,0,0,0.0925070356853884,0.0443330719694266,0,0.166811020938849,0,0,0.169111571460807,0,0.180092188508547,0,0,0,0.0580195024597069,0,0,0,0.104379227789145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138796891032338,8.67361737988404e-19,0.0922857145495219,0,-0.0695555083527596,0,0,0,0,0,0,0,0,0,0,0,0,-0.00949456577168411,0.0115710187297926,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.283733178081929,0,0,0,0,0,0,0,0,0,0,0,0.224605448965454,0,0,0,0.00988663202028302,0.00451870920285168,0,0,0,0.0882931017344887,0,0,0.02765812473555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539408390925353,0.0610320112572734,0,0,0.00787412811072256,0.00177221774139148,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,-0.0384401239850919,0,0.028075086611737,0,0.0670930344226028,0,0,0,0,0,0,0,0,0,0.0609857649516273,1.38777878078145e-17,0,0.0214638105892902,0,0.0281427077748317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629388291047432,0,0,-0.042540179163028,0,0,0.268615468352948,0,0,-0.0433056028890244,0.0661679871092903,0,0,0,0,0,0
