,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X002475.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X002241.SZ,X600183.SH,X000596.SZ,X600703.SH,X002007.SZ,X300003.SZ,X601877.SH,X000100.SZ,X002236.SZ,X000157.SZ,X300142.SZ,X002463.SZ,X002179.SZ,X000066.SZ,X300124.SZ,X600271.SH,X002008.SZ,X000625.SZ,X300136.SZ,X600867.SH,X002129.SZ,X300014.SZ,X000977.SZ,X600177.SH,X002506.SZ,X600498.SH,X002049.SZ,X002180.SZ,X600066.SH,X002456.SZ,X600487.SH,X002371.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.0638766249740004,0,0,0.577437658470204,0,0,0,-0.0345050732773233,0,0,0.0512363684012213,0,0,0,0,0,0,0,0,0,0,0,-0.00508917336992324,0,0,0,0,0,0,0,0,-0.0679746343114779,0,0,0,0,0,0,0,0,0,0,0,-0.00889399886429408,0,0,0,0,0.0246290031781055,0,0
X000858.SZ,0.10601768367219,0,0,0,0,0,0,0,0.0237448758915427,0.0251142540744934,0,0.493265612398638,0,0,0,0,0.149619027059454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174398002637485,0,0,0,0,0,0,0,0,0.0612786307521753,0,0,0,0.0074430220006327,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.129963516725014,0,0,0.19806957122199,0,0,0,0.0513585815692318,0,0.0205670465007601,0,0,0.0532761102464301,0,0,0.013918680386222,0,0,0,0,0.08156919054418,-0.0321156185492514,0,0,0,0,0.00596828121473315,0,0,0.0590355258915875,0,-0.0608199293102379,0,0,0.069048069986446,0,0,0,0,0,0,0.0120162750060849,0,0.0109528794019961,-0.0303691984663251,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229001007076908,0,0,-0.0701539396975048,0,0,0.254404815384005,0,0,0,0.020523929550324,0,0,-0.0230249530794175,0,0.124147900058507,0.0639060834268737,0,0,0,0,0,0.0213920668557087,-0.00729291866071614,0,0,0,0,0,-0.0361108645645436,0,0,0,0,0,-0.00114686241104992,0,0,0,0,0.0118584575044063,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0160713341124359,0,0,0,0,0,0,0,0.0817124048284216,0,0,0,0.002514788218975,0,0,0,0,0.103342743979512,0,0.509366246210596,0,0,0,0,0,0,0,0,0,0,-0.014459325902185,0,0,0.00096157328529963,0,0,0,0.0611622535523389,0,0,-0.00570174226957117,0,0,0,0.00677309286440495,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0542551505624872,0,0,0,0,0,0,0,0.0464703309491555,0.152178914252591,0,0,0,-0.0618364914870973,0,0,0,0,0.0874961171783495,0,0,0,0,0,0,-0.0152160111626407,0,0,0.0698144630474249,0.156623197184844,0,-0.0357494268859381,0,0,0,0,0,0,0.00955934600314022,0,0,0,0,0,0,-0.0071314693614109,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.00106136154182057,0,0.100392576527856,-0.0502991566337126,0,0,0,0.138500159133198,0.0997097387828231,0,0,-0.215846353217656,0,-0.0585904586825586,0,-0.173307552689238,0,0,0,0,0,0,0,-0.0794075074239742,0,0,0,0,0.0636652354787692,0,0,0,0,0,0,-0.000101667778242139,0,0,0,0,0.130642923268272,0,0
X002304.SZ,0,0,0.0530745672753017,0,-3.46944695195361e-18,0,0.166243999644137,0,-6.93889390390723e-18,0,0,0.175712413798393,0,0,0,0.132084083027317,0,0,0.0352485031565905,0,0.101231251742205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522314362346212,0,0,0.0327893608618956,-0.0374864443759562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297128071372041,0,0,0,-0.028834422476475,0,0
X002475.SZ,0,0.0231092274441379,0,0,0.199799603912468,0,0,0,0,0,0.00281283436565173,0,0,0,0,0.0758245305478041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054392279835905,0,0,0,0,0.155426416479009,0,0.0691840287428328,0,0,0,0,0,0,0,0.0866240783149372,0,0,0.177516862010192,0,0,0,0.0332037126648339,0,0,0,0,0,0,0
X000063.SZ,0,0.0354710183745022,0,0,0,0,0,0,0.0233225821985248,0,0,0,0,0,0,0,0.127348328776712,0,0.0359187982552412,0,0,0.174178857001164,0,0,0,0,0.196544526978276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113997389699436,0,0,0,0,0,0,0
