,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X600741.SH,X000661.SZ,X600183.SH,X002241.SZ,X600703.SH,X000596.SZ,X002007.SZ,X300003.SZ,X002236.SZ,X601877.SH,X000157.SZ,X300142.SZ,X000100.SZ,X000066.SZ,X002463.SZ,X002179.SZ,X002008.SZ,X300124.SZ,X600271.SH,X300136.SZ,X000625.SZ,X600867.SH,X002506.SZ,X600177.SH,X002129.SZ,X300014.SZ,X600498.SH,X000977.SZ,X600066.SH,X002049.SZ,X002456.SZ,X002180.SZ,X002371.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,-0.0184447486998166,0,0,0,0,0.641439336832341,0,0,0,0,-0.0445486830853173,-0.0151993227065104,0,0.0339780032522765,0,0,0,0,0,0,0,0,0,0,0,0,0.0169841927836892,0,0,0,0,0,0.00121385502082523,0,0.0352120479674479,-0.0733842118028947,0,0,0,0,0,0,0.0200830325905374,0,0,0,0,0,0,0,0.0182970904872511,0,0
X000858.SZ,0.219175636456545,0,0,0,0,0,0,0,0,0.0235164138627529,0,0.495399657191232,0,0,0,0.0800163112453066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507283632652285,0,0.0316166753854364,0,0,0.0183636093082916,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0637778960655621,0.0385147619704493,0,0,0.199129330091589,0,0,0,0,0.0905022121231331,0.0950641856432516,0,0,0,0.0409984337307654,0,0,-0.0252351186572885,0,0,0.0777093407836917,0,0,0,0,0.0472761377260411,0,0,0,0,0.0115280053010314,0.0668117747589115,0,0,-0.0219565995359258,0,0,0,0,0,0,0,0,0,0.000709165459228367,0,0,0,0,0.0386731463346088,0,0
X000651.SZ,0,0,0,0,0.0588340864283928,0,0,0,0,0,0,0,0,0,0,0.179940805023096,0,0,-0.0576013963793437,0,0,0,0.290431098153688,0,0,0,0.0315410273692829,0,0,0.1106763602429,-0.000978482636414651,0,-0.0145828538529856,0.110510473872414,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409784471936367,0,0,0,0,0,0,0,0,0.0118098874169568,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.155826057391606,0,0,0,0,0,0,0,0.106714694708621,0,0.017304693641674,0,0,0,0,0,0.513241374033369,0.130826401470561,0,0,0,0,0,0,0,0,0,-0.033459902221702,0,-0.0303559604416561,0,0,0.020529799634594,-0.000564700837496453,0,0,0,0.0251181124161093,-0.0466328081419614,0,0,0,0,0.0139875917339491,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0302036696433273,0,0,0,0,0,0,0,0,0,0.205446102121395,0,-0.107752198562713,0,0,0,0,0,0,0.0905484228915779,0,0,0,0,0,0,0.0606738307398467,0,0,0,0.0573931778491733,-0.0672038492170868,0,0,0.0104010661632285,0.00557329655106454,0,0,0,0.0595291561491754,0,0,0,0,0,-0.0133957712442868,0,0,0,0,0.0067365251771111,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128792152304755,0,0.0803142897931418,0,0,0.12267743191604,0,0,-0.264261051454878,0,0,-0.1589324312639,-0.0428784369379342,0,0,0,0,0.029798053720581,0,0,0,0,0,-0.0585486326644372,0,0,0,0.14562432290034,0,0,0,0,0,0,0.0239676565431906,0,0,0,0.102910430041703,0,0
X002475.SZ,0,0,0,0,0.180896055627498,0,0,0,0,0.0144011695541996,0,0,0,0,0,0,0.0620125888093348,0,0.00900413983572755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168656301391627,0,0,0.081774000069158,0,0,0,0,0,0,0,0,0,0.0854883352350423,0.187342796344023,0,0,0,0,0.036204754604487,0,0,0,0,-0.00772101405501584,0,0
X002304.SZ,0,0,0.180343179849653,0,0.127467047598498,0,0.171218081060279,0.0413823155665186,0,0,0,0.119568736201261,0,0,0,0,0.0134425209051687,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00848225729404816,0,0,0,0,0,0,0.103580213563013,0,0,-1.0842021724855e-19,-0.0236545913299321,0,0,0,0,0,0,0,0,0,0,0.00476830945169533,0,0,0,-0.0753808031456245,0,0
X000063.SZ,0,0,0,0,0,0,0,0.0535326448093483,0,0,0.0851090630883389,0.031129427241935,0,0,0,0.0953897879767908,0,0,0,0,0.258885127053665,0,0,0,0.101264973166039,0,0,0,0,0,0,0,0,0,0.201238630902195,0,0,0,0,0,0,0,0.0187095360184454,0,0,0,0,0,0,0,0,0.0172853013696286,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,-0.0621256143183,0.0521406828651251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109932218224361,-0.00907896934474368,0,0,0,0,0,0.0549461340202562,0,0,0,0,0,-0.0232435119104641,0,0,0,0.0741999891008573,0,0.0511069025894387,0,0.311499610049585,0,-0.0755022449352672,0.0905869370981833,0,0,0,-0.00450239857905929,0,0
X000568.SZ,0,0.674506447705571,0,0,0,0,0,0,0.0703871964010774,0,0,0,0,0,0,0,0,0,0,-0.146515722255268,-0.0384475169324735,0.147477452944754,0,0,0,0,0,0.101862128870705,0,-0.0239833825323944,0,0,0,0,0,0,0,0,0,0,0,0.013229067067817,0,0,0,0,0,0.0554243821301088,0,0,0,-0.00565369962867548,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404635391912746,0,0,0.0466035777093392,0,-0.0100763522882588,0,0,0,0,0,0,0.153323267076291,0,0,0,0,0.0788397077669953,0,0,0,0,0,-0.0200679144239988,0,0,0,0,0,0.121379272279261,0,0,0.109640028869501,0.037811573508483,-0.0511775351820084,0,0,0.0279917315615767,0,0,0,0,-0.00877624272376918,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140695754888084,-0.00306053487251213,0,0.00178076879066608,0.0349416742528538,0,0.0584642789708221,0,0.0117291093520908,0,0,0,-0.12538395409872,0,0,0,0,0,0.137672051416708,0,0,0,0,0,0.055893417666895,0,0,0,0,0,0
