,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X000338.SZ,X600690.SH,X000661.SZ,X600741.SH,X600809.SH,X600703.SH,X002241.SZ,X000596.SZ,X300003.SZ,X601877.SH,X600183.SH,X000100.SZ,X002236.SZ,X000157.SZ,X300124.SZ,X000066.SZ,X300142.SZ,X002007.SZ,X300014.SZ,X002371.SZ,X000625.SZ,X300136.SZ,X002179.SZ,X002463.SZ,X002456.SZ,X002008.SZ,X600271.SH,X000977.SZ,X600584.SH,X002180.SZ,X600177.SH,X000050.SZ,X600066.SH,X002506.SZ,X002129.SZ,X600498.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.212501104804263,0,0,0,0,0.0808761583824923,0.360544709898954,0,0,0,0,0.111016001227154,0,0,0.222594214260149,0.0072953023014249,0,0,-0.0217940677077671,0,0,0,0,0,0,-0.117827643199635,0,0,0,0,-0.0591006098576011,0,0,-0.0524831039178483,0,0,0.0441714123129942,0,0,0,0,0,0,0,0,-0.0225524962108859,-0.00419728609507659,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0721449080768377,0,0,0,0,0,0.595969692263792,0,0,0,0,-5.42101086242752e-20,0.0182437168891192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033006222605373,0,0,0,0,0.0137149904327872,0,0,0.0175998708956112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182564975649838,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,-0.0174468368991199,0,0,0,0,0.387365978569615,0,0.0701586272871902,0,0.0152150861154278,0.0487438966031156,0.0125693880155248,0,0,0,0,0,0,0,0,0,0,0,0.0233852200420138,0,0,0,0,0.221923687546218,0,0,0,0,0,0,0,0,0,0,0,0,0.027642432658548,-0.00321013280712802,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.178238055959222,0,0,0,0,0,0,0.252889090322808,0,0,0,-0.0695568982065278,-0.00820528054670235,0.0588897595402817,0,0,-0.147112366039205,0.115765772100374,0,0,0,0.000278977040417875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592606346784672,0,0,0,0,0.248487632924808,0,0,0,-0.0238564767866925,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.0829367737894427,0,0,0,0,0,0,0.0580843859198102,0.0734771275258708,0,0,0,0,0,0,0,0,0,0.606754801671954,0,0.0335511993525307,0,0.0770263219894834,0,0,0,0,0,0,0,-0.0853540134658541,0.0331709524990959,0,0.0482642071091912,0,0,0,0,0,0,0,0,0,0,0.0498919439854904,-0.0576330184620495,0,0,0,-0.0373653268043208,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449887035555879,0,0.0101614638684773,0,0,0,0,0,0,0,0,0.0126858914432313,-0.00882829792407666,0,0,0.006044921883986,-0.0313413846654191,4.33680868994202e-19,0,0,0.140363137613915,0,0,0,0.0189130782408526,-2.16840434497101e-19,0,0,0,0,0,0.0309090604138577,0,0.000956468236768494,0,0,0,0,0,0,0,0,0
X002475.SZ,0.0223630123060222,0,0,0,0,0,0,0,0,0,0,0.00982543963597681,0,0.0437184664376798,-0.00546300424159624,0,0,0.168739300665044,-0.1301772893856,0.0545997881929376,0,0,0,0,0,0,0,0,0.235701380218733,0,0,0,0,0,0.225231489006863,0,0,0,0.409196019837304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014296434438704,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.15587809153101,0,0,0,0.158933017884114,0,0,0,0.0674756143525066,0,0,0.00249018202055032,0,0,0,0,0,0,-0.0133969523711276,0,0,-0.0225890096959016,-0.123405789442992,-0.0731570745514808,0.0579598946170465,0,0,0,0,0,0,0,0,0,0.20426039666464,0,0,0,0,0.0348218867232883,0,0.0214599215871599,0,0,0,0,0,0,0
X002304.SZ,0,0.0818363546906627,0,0.0322282953345512,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0342493099720711,-0.0390519793959347,0.212831969518075,0,0,0.0441316591934953,0,0,0,0,0,0,0.0798229006042179,0,0,0,0,0,0,0,0,0,0.0135841994848451,0,0,0,0,0,0,0,0,0,0,0.0162045363966368,0.0565002100504638,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0.019158052956446,0,0,0,0,0,0,0.036656434689535,0,0,0,0,0,0,0,0,0,0,0.207081733468958,0,0,0,0.0516216870797064,0,0,0.0429668083212236,0,0,0.00875976493867962,0,0,0.0491878391318495,0,0,0,0.0817459174712193,0,0,0.0816457776782989,0,0,0,0,0.0318998579336069,0,0.0403527246308077,0.0115934904359499,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0177552078474995,0.213088602715099,0,0,0,0,0.110518412889461,0,0,0.0424249128440207,0,0,0.146414493311189,0,0,0,0,0.0520648525728042,0,0,0,0,0,0,0,0.0483222750769476,0,0,0.127688024232523,0,0,0,0,0,0,0,0,0,0,0.088695246807578,0,0.0375991627769688,0,0,0,0,0,0,0,0,-0.0494203303824659,0,0
X600031.SH,0,0,0,0,0,0,0.13942933514221,0,0,0,0,0,0,0,0,0,0,0,0,0.0541361051331041,0.100980672465872,0,-0.061571791773649,0,0,0,0.166873078849373,0,0,0,0,0.0562623209272724,0,0,0,0,0,0,0,0,0.000179923330450669,0,0,0,0,0,0,0,0,0,0,0,0.029377733911174,0,0,0,0.0441368187870012,0,0
X000568.SZ,0.268898168250147,0.361532560784277,0,0,0,0,0,0,0,0,0.0148840435296478,0,0,0,0,0.0241417228582561,0,0.106470244982419,0,0,0,0,0,0,0,0,0,-0.00502943001975633,0,-2.16840434497101e-19,0,0,0.00847915649395371,0,0,0,0,-0.0327371508487213,-0.0907031937357339,0,0,0,0,0,0,0,0,0.161458455429975,0,0,0,0.0139759085162618,0.00315369137014747,0,0,0,-0.0198122936697184,0,0
X000338.SZ,0,0,0,0,0,0,0.182261698814154,0,0,0,0,0.10795276137915,0,0,0,0,0,0,0,0,0,0,0,-0.0240026722418004,0,0,0,0,0.0724100425874468,0,0,0,-0.0303694380874579,0,0,0,0.119212861740797,0,0,0,0.0224563169404398,0,0,0,0,0,0,0,0,0,0,0.0309724826758127,0.0247070553401059,0,0,0,-0.0152687270384247,0,0
X600690.SH,0,0,0,0.385008721834088,0.126476593886001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292911329222617,0,0.115211843840149,0,0.0473072378817981,0,0,0,0,0,0,0,-0.121449458434976,-0.0792881199821973,0,0,0,0.10224082314901,0,0.0368811359061306,0,0,0,0.0432757416249516,0,0,0,0,0,0,0,0,0,-0.016005343522561,0,0,0,0,0,0
