,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X000725.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X600741.SH,X600809.SH,X002241.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X300003.SZ,X000977.SZ,X000596.SZ,X601877.SH,X002007.SZ,X002236.SZ,X600183.SH,X300124.SZ,X000157.SZ,X600584.SH,X002456.SZ,X002180.SZ,X002129.SZ,X000625.SZ,X300142.SZ,X600118.SH,X002008.SZ,X600271.SH,X300136.SZ,X000066.SZ,X002179.SZ,X002463.SZ,X002414.SZ,X600699.SH,X002049.SZ,X600177.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0834710531761054,0,0,0,0.256744157287465,0,0,0,0,0.162460698349841,0,0.170363615757821,0,0,0,0,0,0,0,0,0,0,0,0.113967382106112,0,0,0,0,0,0,-0.0754347768200875,-0.079962676465993,0.120180381101673,0,0,-0.086130653398079,0,-0.0317180803937297,-0.0398146067784523,0,0,0,-0.0765883774398002,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0631305881279,0,0.464274696513192,0,0,0,0,0.00205588816419692,0,0,0.00216591843406215,0.0156884751635231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412151230150429,0.0362627565029993,0,0,0,0.0212826679981763,0.118203676564759,0,0,0,0.0231002272283676,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.190703772019233,0,0,0,0,0,0.112515079437014,0,0,0,0,0,0,0,0,0,0.118110412828588,0,0,0,0,0.0211911372564944,0,0.140094125598641,-0.0744093356035928,0,0,0.147350474924906,0,0,0,0,0,-0.0125248835573011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248511909729123,0,0.0342973020509093,-0.021303338245804,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0991176355440713,0,0.0263404325263642,0,0.207338365035536,0,0,0,0.0396335878979667,0,0,0,0,0,0.0433400671492474,0,0.0144115578449433,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0483471349086062,0.0189683450939789,0,0,0,0,0,0.111424104527759,0,0,0,0,0.0337887352605918,0,0,0,0,0,0.0239503745050944,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0591876767548882,0,0,0,0,0,0,0.13038023125816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246848989288829,0,0.284958432159432,0,0,0,0,0,0,0,0,0.149734918671298,0,0,0,0,0,0.0515820678365577,0,0,0,0,0,0,0.0322665706836039,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.185885015631806,0,0,0.0323249539755751,0,0,0,0,0.21384458653378,0,0,0,0,0.0178628481889622,0,0,0,0,0,0,0,0.169315167834619,0,0,0,0,0.145081585081974,0,0,0,0,0,0,0,0,-0.00408728477432199,0.00801734140116094,0,0,0,0,0,0,0,0,0,0.00308761787303167,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150545445393288,0.0434624621376256,0,0.296970495622959,0,0,0.0398262720331002,0,0,0,0,0,0,0,0,0,0,0.044774635144043,0,0,0,0.0848391321972011,0,0.166667370533231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362644385070401,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0799358755852132,0,0,0,0,0.215375993410311,0,0,0,0,0,0.112970867796595,0,0,0,0,0,0,0,0,0,0.149410049796475,0,0,0,0,0,0,0,0,0.183691134575505,0,0,0,0,0.127726078340247,0,0,0,0,-0.0146027617967021,0.0234875281671579,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172200573704721,0,0,0,0.105214830160809,0,0,0,0.120351815975878,0,0,0,0,0,0,0,0,0.168329483838903,0,0,0,0.156469670789041,0,0,0.0426114462960411,0,0.00563176754926912,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281394491793564,0.0617342843157366,0.00269712861385403,0,0,0,0,0,0.0130953776701052,0,0,0,0,0.027995887400549,0.112807540144933,0,0,0.039619669324644,0,0,0,0.0459218484371449,0.0168138553127205,0,0.041269141324286,0,0,0,0,0,0,0,0,0,0,0,0.0451691638700994,0,0
X002304.SZ,0,0,0,0,0,0.224394160150474,0,0,0,0,0,0,0,0.113552828861772,0.0624871620203123,0.0232606614540071,0,0,0,0,0.0921475146887818,0.033204193740435,0,0,0,0.174719115842136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597582691402446,0,0,0,0,0,0,0,0,-0.00618646711578848,0,0,0,0,0.0191057576036434,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.178849693920256,0,0,0,0,0,0,0,0,0.166403258397967,0,0,0,0,0,0.0682586499336272,0,0,0,0,0,0.425309518461257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101982363912066,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0376442185683385,0,0,0,0,0,0,0,0.0561490817879796,0,0,0,0,0,0,0,0,0,0.0302694189991618,0.0405077830335766,0.110538795351655,0,0.153328197033514,0,0,0,0,0,0,0,0.0213591701668665,0.0161593919259262,1.73472347597681e-18,0.0181195492297505,0,0,0,0,0,0,0,0,0,0.217860486944616,0,0,0,0,-0.025590076703831,0,0,0,0,-0.0237609282341686,0,0
X000568.SZ,0,0.453398568026356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2526519615714,0,0,0,0,0,0,0,0,0,0,0.0448972605140292,0,0,0,0,0,0,0,0,-0.0336553503608967,0,0,0,0.0241733283513614,0,0,0,0,0.0811320268503286,0,0,0.0416804257121355,0,0,0,0,0,0.0194318988365329,0,0
X000338.SZ,0,0,0,0,0,0.200634779293973,0,0,0,0,0.0792255095916395,0.213608018015043,0,0,0,0,0,0,0,0,0.0989301929827174,0.114486517870474,-0.00521940620253379,0,0,0,0,0.203688283285131,0,0,0,0.0842118158599869,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682624171817313,0,0,0,0,0,-0.0502755800444579,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256338874646463,0,0.111432949103319,0.112529132707346,0,0,0,0,0,0,0,0,0,0.0707201220986839,0,0.181003580601054,0,0,0,0,0,0,0,0.00902679610276816,0,0,0,0.00589000824967304,0,0,0,0,0.000692343758151025,-4.33680868994202e-19,0,0,0,0,0,0
X000661.SZ,0.163488712818095,0,0.263793158764018,0,0,0,0,0.0456039359831251,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0275229428223959,0,0.215989864171469,0,0,0,0,0,0,0,0.157348410078184,0.0661085984649295,0,0.0176305097500617,0,0,0,0,0,0,0,0,0,0.150817381844812,0,0,-0.0764817962670291,0,0,0.000226756045842217,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0.184592833370576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042832648862384,0,0,0,0,-0.00454853600960296,0,0,0,0,0,0,0.195493778888706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182083792451647,-0.0127523660230311,0,0,0,0,0,0
X600809.SH,0,0,0.107471201888268,0,0,0.0403021804734773,0,0,0,0,0,0,0,0.601538733443821,0,0.0306832491464082,0.0537329208983377,0,0,0,0,0,0.0067094318849112,0,0,0.0535353555752981,0,0,0,0.0637744850873459,0,0,0,0.0288967561586782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240652914287832,0.0100204475203772,-0.029363596664872,0,0,0,-0.0466182982418778,0,0
X002241.SZ,0,0,0,0,0,0,0.552955698677377,0,0,0,0,0,0,0,0,0.211613770643581,0,0,0,0,0,0,0,0,0.127212171702342,0,0,0.00195971675580626,0,0,0,0,0,0,0,0,0,0,0,0.143402551075204,0,0.0767786756658331,0.0582851750952535,0,0,0,-0.00209934855390701,0,0,0,0,0,-0.0209184679945026,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0.566929191277828,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0802274194319196,0,0,0,0,0,0,0,0.172800301433012,-0.126006375300773,0,0.140925519230768,0,0,0.00740162347311831,0.08456394721247,0,0,0,0,0,0,0,0,0,0.00911402478153624,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757407515686488,0,0,0,0,0.0868506697766777,0,0,0,0,0,0,0,0.0126686197465516,0,0,0,0,0,0.197082387519984,0,0,0,0,0,0,0,0.0638097238992313,0.428631830456051,0,0,0.174782593731273,0,0,0,0,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0.082063741296575,0,0,0,0,0,0.273570592739755,0,0,0,-0.29708039037946,0,0,0.267199964758825,0.318902118942792,0,0,0,0,0,0,0.0455865373506795,0,0,0,0,0,0.0396368675688016,0.115618461951516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104646269421222,-0.0818973985326822,0,0,0,-0.00290674923432713,0,0
X300003.SZ,0,0,0.135807571906978,0,0,0,0,0,0,0,0.0376620742289982,0,0,0,0,0,0,0,0,0,0,0.0571618082894317,0,0,0,0.157410884060278,0,0,0,0,0,0,0,0,0,0,0,0,-0.194381811015623,0,0,-0.174965352411152,0.304729487986064,0,0,0,0,0,0,0,0.15983579282418,0.0311667827598874,0.0776211603010116,0,0,0,0.160322350251942,0,0
X000977.SZ,0,0,0,0,0,0,0,0.362098079792511,0,0,0,0,0,0,0,0.19742428963321,0,0,0,0,0,0.194375113325202,0,0,0,-0.0773260455696099,0,0,0,0.127821320116519,0,0,0.0328654085436067,0,0,0,0,0.0193346680818679,0,0,0,0,0,0,0.0815926630819768,0.134992641212718,0,-0.0959292446413738,0,0,0,0,0.0285065220892036,0,0,0,0,0,0
X000596.SZ,0,0,0.0779640096740172,0.02158457678629,0,0,0,0,0.150233269712047,0,0,0.251176060648364,0.172540381904086,0,0,0,0.0603005389743507,0,0.19748442101676,0,0,-0.045806512352941,0,0,-0.0193019094706244,0,0,0,0,0,0,0,0,0.0238435638808169,0,0,0,0,0,0,0,0,0,0,0,-0.0494718268844312,0,0,0,0,0,-0.000478622553972198,0,0,0,0,0.0349002907293071,0,0
X601877.SH,0,0,0,0,0,0.256934868955902,0,0,0,0,0.0854370570840588,0,0,0.0915256883602878,0,0,0,0,0,0,0,0,0,0.00321094417188036,0,0,0,0,0,0.0835743688307572,0,0,0,0,0,0.0480882324297402,0.0306680299036325,0,0,0,0.0905763842043594,0,0,0,0.0264811427481844,0,0.0208453233670641,0,0,0,0,0,0.0106085639476017,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129313079355952,0,0,-0.0148964020350223,0,0,0,0.134590197218268,-0.0784506040527397,0,0,0,0,0,0,0,0,0,-0.0826056577970184,0,0.191895132860977,0,0.0120151888829766,0.352587533537585,0,0,0,0,0,0,0,0,-0.153790827758929,0,0,0,0,0,-0.0927301497371888,0,0,0,-0.102920777955711,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185584004144297,0,0.0828901894626547,0,0,0.0671815449379917,0.0167030580541513,0,0,0,0,0,0,0.0266186351794157,0,0.11025610483595,0.231211176683498,0,0.114592316500006,0,0,0,0,0,0.207640551425372,0.0439756424045727,0,0,0,0,0,0,0,0.00269271187574175,0,0,0,0.016040557084097,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.187616020984193,0,0,0,0,0,0,0,0,0.18091837427758,0,0,0,0,0,0,0,0,0,0,0.00312063443709576,0,0.089879875152673,0.000895832847859798,0,0,0,0.0749149519049717,0,0,0,0,0.516932331826733,0,0.0332628881393728,0.0584954515905118,0,0,0,0.0403313706040554,-0.00314030321968898,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0.0393692060088449,0.052236694832573,0,0,0,0,0,0.146954253927941,0,0,0,0,0,0.0469756069071069,0,0,0.0336652072345332,0.0446016047245852,0,0.138235136628198,0,0,0,0,0,0,0.0261663961770356,0.0913981934238729,0.0272803308558269,0,0,0,0,0,0,0,0,0.0943891005500798,0,0,0,0,0,0,0,0,0,0.0509139247653222,0,0
X000157.SZ,0,0,0,0,0,0,0,0.138680435767349,0,0,0.119571351772569,0.322094473461056,0,0.174948272727468,0.0443575761859885,0,0,0,0,0,0.0643001335587979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382309696200329,0,0,0,0,0,0,-0.00513809675854505,0.0143412370479899,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483866143263121,0,0,0,0,0,0.169483504542655,0,0,0,0,0,0,0.10847252225058,0.18232831572853,0,0,0,0.159192775790102,0.0901318257299414,0,0,0,0,0,0,0,0,0,0.0194712865955765,0,-0.0805794979196316,0,0,0,0,0.0442913172920571,0.0020418513717236,0,0,0,0,0,0
