,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X600031.SH,X000725.SZ,X002304.SZ,X000568.SZ,X000661.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X300003.SZ,X600741.SH,X002007.SZ,X600183.SH,X000100.SZ,X002371.SZ,X000977.SZ,X000596.SZ,X002241.SZ,X300014.SZ,X601877.SH,X000625.SZ,X002236.SZ,X300142.SZ,X000157.SZ,X002463.SZ,X300124.SZ,X600498.SH,X002129.SZ,X002456.SZ,X600271.SH,X000066.SZ,X002223.SZ,X002179.SZ,X300136.SZ,X600487.SH,X600584.SH,X600118.SH,X600522.SH,X002414.SZ,X600177.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.263870663925909,0.26272370414626,0,0,0,0,0,0,0,0,0,0.0212517438480468,-0.0471825304010557,0,0.00442922492929923,0,0.178945734785524,0,0,0,-0.0352742847459429,0,0,0,0.058636172244103,0,0.15162464583255,0,0,-0.209938362522761,0.0774451893918951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0493565914422992,-0.00749476305940673,0,0,0,0,0,0
X000858.SZ,0.0291571413327152,0,0,0,0,0.0629899116474866,0,0,0,0.0742921894015583,0,0,0.371249812774005,0.108928440771786,0,0,0,0,0,0,0,0,0,0,0,0.194130509825576,0,0,0,0.0576368526552138,0,0.00577133918236795,0,0,0.00149344045836896,0,0,0,0,0,0,0,0,0,0,0,0,-0.00571982977439729,0,0,0,0,0.0136436473756639,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509146759196051,0.0220831811331046,0,0.116258195985329,0,0,0.0176745251198766,0,0,8.67361737988404e-19,0.00318382042498657,0,0.0905540616513513,0.0399134952863252,0,0,0,0,0,0,0,-0.0124029375625282,0,0,0,0,0,0,0,0,0,0.0265812164207596,0,0,0,0,0,0,-0.00657830375695256,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0397127644631676,0,0,0,0,0,0,0.239745361295446,0,0.178408611955615,0,0,0,0,0,0,0,0,0,0.00726736952142275,0.0258822543937225,0,0,0,0,0,0.182790321843516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130684232208536,0,0,0,0,0,0
X002415.SZ,0,0.0567085257187019,0,0,0,0,0.0975301969642568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649598353884585,0.0644087561673235,0,0,0.149528967769039,0,0,0,0,0,0.0245597091316791,0,0,0,0.120549562138303,0,0,0.00337146991092741,0,0,0,0,0,0,0,0,0,0.0232525961047993,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.291233701050813,0.210831239656143,0,0.0884562509108293,0.0314860448438491,0,0,0,0.0807480940271313,0,0,0,0,0,0.0018262079474108,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.106588022164662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415157040146711,-0.0341402500987584,0.0251802136245096,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.340444832866158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134524314841427,0,0,0,0,0,0,0.262074012622751,0.0266654651210819,0,0,0,0,0,0,0,0,0,0,0,-0.0606318921333472,0.0381479542523399,0,0.25747067048714,0,0,0,0,0,0,0,0,-0.0307251553220074,0.02515118676329,0,0,0,0.0196428320885724,0,0
X000063.SZ,0,0,0,0,0,0,0.126414743187368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665740229499141,0,-0.0804410274750322,0,0.051837582497366,0,0.222511614844932,0,0.0628565588085147,0,0,0,0,0,0.518260254560142,0,0,0,0,0,0,0.0832801427251016,0,0,0.0202270232193783,-0.210447973600952,0.00818458433007302,0,0,0,0,0.0478471336433231,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0.0611475133919505,0,0,0,0,0,0.0560850177678908,0,0,0,0,0,0,0,0,0,0,0,0,0.11034432996244,0,0,0,0,0,0,0,0,0.213330782078857,0,0,0.0463730316427376,0,0.198986148773549,-0.0601658208481727,0,0,0,0.0322332841028998,0,0,0,0,0,0,0.0502267402402904,-0.0120191727571431,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.0151065649201599,0,0,0,0,0,0,0,0.0327268805205598,0.0958535367686466,0,0,0,0,0,0,0,0.0723201333200983,0,0,0.124586101114966,0,0,0,0.102302880076211,0,0,0.413077501919369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00765768252529936,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102259721990222,0,0,0.0132376685009348,0,0,0,0,0,0.42828487061693,0,0,0,0,0.0897215064331239,0,0,0,0.0296413398098267,0,0,0,0,0.0112263866595923,0,0,0,0,0,0.0843097776132212,0,0,0.0185685313840105,0.0429100328352104,0,0,0,0,0.0305897421353381,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.294498512085358,0,0.0854258071388477,0,0,0,0,0,0,0,0,0.0376499525089399,0,0,0,0,0,0.109478766818881,0,0,0,0,0,0,0,0,0,0,-0.0103204928054862,0,0,0,0,0.0248879515620945,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.379862230367095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4428340203804,0,0,0,0.0330608822530598,0,0,0,0,0,0,0,0,0,0,0,0.0238911980267933,0,0,0,0,0,0,-0.0027526739247439,0,0.0375952610602012,0,0,0,0,0,0,0,0,0,-0.0113452723070254,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207862573830712,0,0,0,0.078239752843303,0,0,0,0,0,0,0.202493962698041,0,0,0,0.160672304099632,0,0.0349556584945811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138008034691985,0,0,0,0,0,0.00248290847715162,0,0,0,0,0,0,0
X000338.SZ,0,0.139018611512827,0,0.0208822109257594,0,0.199336757247846,0,0,0,0.285626909811693,0,0,0,0,0,0,0,0,0,0,0.0936185492419842,0,0,0,0.0444261581119544,0,0,0,0,0.0685387871952003,0,0.0849510244722309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017806639427121,0,0,0,-0.0275009581581646,-0.0332705614404162,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0985531799090597,0,0,0.220322300094703,0,0,0,0,0,0,0,0.0228608326302675,0,0,0,0,0,0,0,0.130938139379428,0,0.130324636350722,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.00399773937570719,0,0,0,0,0,0,0,-0.0398076715772006,0,0,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0.0484153822835879,0,0,0,0,0,0,0,0,0,0,0.0549249306504992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425449096133139,0.0526437449220253,0,0,0,0,0,0,0.52792324043488,0,0,0,0,0.125082378631273,0,0.0228008767472392,0.0209065150645628,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0110582647658902,0,0,0,0,0,0,0.623790497965245,0,0,0,0.0178827342475455,0,0,0,0.0270118809457936,0,0,0,0,0.0534210647166463,0,0,0,0,0,0,0,0,0,0,0.057876090624979,0.0479320828878331,0,0,0,0,0,0,0,0,0,0,0,0.0457285083172175,0.010380115984684,0.0348485904006793,0,0,0,0,0,0,0
