,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000661.SZ,X600031.SH,X000063.SZ,X000725.SZ,X000568.SZ,X003816.SZ,X600809.SH,X000338.SZ,X600703.SH,X600690.SH,X002241.SZ,X300142.SZ,X000596.SZ,X002007.SZ,X300014.SZ,X000100.SZ,X002371.SZ,X300124.SZ,X300003.SZ,X002049.SZ,X600741.SH,X000157.SZ,X002129.SZ,X600183.SH,X000800.SZ,X600584.SH,X601877.SH,X002236.SZ,X002414.SZ,X000977.SZ,X000625.SZ,X300136.SZ,X002456.SZ,X002179.SZ,X000066.SZ,X002185.SZ,X002463.SZ,X002008.SZ,X600118.SH,X002180.SZ,X601799.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.158349552608293,0,0,0,0,0,0.187750769348887,0,0,0,0,0,0,0,0,0,0,0,0.171837149425819,0.0623920254945836,0,0,0,0,0,0,0.028623230474391,0,0,0,0,0,0.0374017343607939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000996257702112605,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.205909488504793,0,0,0,0,0.16313503647397,0,0.347163070205173,0,0.00409204954605325,0,0.123073188501167,0.0786165077411039,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0188758343146445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00468000585333325,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0439750593118774,0.101263432850942,0,0,0,0,0,0,0,0,0,0,0,0,0.0780634212652873,0,0,0.160544849940541,0,0.0959381512906694,0.0557771025113108,0,0,0,0,-0.0296275026060725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782767224914432,0,-0.0142975322704024,-0.00340521867817707,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467742883720375,0,0,0,0.221865836969377,0,0.098615459135517,0,0,0,0,0,0,0.0337511245804171,0,0,0,0.1775363216452,-0.0368580827566895,0,0,0,0,0,0,0,0.117403266803765,0,0,0.0400667126287489,0,0,0,0,0,0,-0.012408749110785,0,-0.0240730327653397,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,-0.0684540843110897,0.0558611351110982,0.0252935820218858,0,0.100013806322603,0,0,0.109083794806553,0,0.0316648991197866,0,0.0400138539692459,0.0779299533566372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170736453731311,0,0,0,0,0,0.0090333831041899,-0.00964208375509902,0,0,0,0,0,0
X002415.SZ,0,0,-0.124703445982678,0,0,0,0,0,0,0,0.090104053371511,0,0,0,0,0,0,0,0,0,0.0259770126632077,0,0,0,0,0,0,0.0944345619240622,0.0388866912063833,0,-0.0461380542362174,0,0,0,0,0.243834151826352,0,0.0954737525791692,0,0,0,0,0,-0.0254773104563014,0,0.081899026269424,0,0.115311609279904,0,0,0,-0.00200694973134525,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0740165307826492,0.150419082282299,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265120809005989,0,0.0182418232711778,0,0,0,0,0,0.00410751795520391,0,0.0754245215898766,0,0,0.168227627437763,0,0,0.13363468905672,0,0,0,0,0.0904061054365979,0,0,0,0,-0.0734436677771794,0,-0.14088128980423,-0.00419899453499944,0,0,0,0,0,0,0
X002304.SZ,0,0.183922240934258,0,0,0,0,0,0,0,0,0,0,0.381106603544178,0,0,0,0,0.0912622996183457,0,0.118318409746203,0.0685027477647491,0,0,0,0.0599248821789088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216718040443106,0,0,0,0,0,0,0,-0.00756127247887848,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.129399689228188,0,0,0,-0.153016315889452,0,0,0,0,0,0,0.0857105007355621,0,0,0,0,0,0,0.227403656586195,0,0,0.0557622418797092,0,0.127591724688086,-0.00584894338245229,0,0,0,0,-0.0892564630923667,0,0,0,0,0,0,0.0367251849161559,0,0,0,0,0,0,0,0,0.0580013199809736,0,0.0342770796007556,0.0128439708357738,-0.0199602114749379,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.219425586668992,0,0,0.0827053178474632,0,0,0,0,0.0459894190282498,0,0,0.107691035557444,0,0,0,0,0.0373160544072027,0,0,0,0,0,0.0349224913435429,0.0719654018170959,0,0,0,0,0,-0.0516290257649026,0,0,0,0,0,0,0,0,0,0,0.00533291890523553,0.201883639486888,0,0,0,0,0,-0.0165009773974872,0,0,0,0,0,0,0
