,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000568.SZ,X600031.SH,X000725.SZ,X000661.SZ,X000063.SZ,X600809.SH,X600690.SH,X003816.SZ,X002241.SZ,X000338.SZ,X000596.SZ,X600703.SH,X002007.SZ,X300014.SZ,X300124.SZ,X002371.SZ,X300142.SZ,X000100.SZ,X600741.SH,X002049.SZ,X002236.SZ,X000157.SZ,X002129.SZ,X300003.SZ,X601877.SH,X600584.SH,X000800.SZ,X300136.SZ,X002414.SZ,X600183.SH,X000625.SZ,X002179.SZ,X002456.SZ,X000066.SZ,X000977.SZ,X600118.SH,X601799.SH,X002185.SZ,X002008.SZ,X000050.SZ,X002508.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.210497036716888,0,0.0439647670183407,0,0,0,0,0.115171674620749,0,0,0,0,0.0867541679248674,0,0,0,0,0.0785461792664144,0,0,0,0,0,0,0,0,0,0,0,0.0398306472300804,0,0,0.081953535183994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.66551522593303e-05,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.300625274032336,0.141042854901685,0,0,0,0,0.277082732006244,0,0,0.00333808657000206,0,0.0721705482939272,0,0,0,-0.030062612948479,0,0,0,0,0,0,0,0,0,0,0,0,0.0491564836620931,0,0,0,0,0.0886793568897323,0,0,0,0,0,0,0,0,0,0,0,0.00650117351700516,0,0,0,0,0,0
X600276.SH,0.045086013934335,0,0,0,0,0,0,0.0715607973467187,0,0,0,0.143396127551672,0,0.0798062432106701,0,0,0,0,0,0.0259967156639585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100665955018946,0,0,0,0,0,0,0,0,0,0,0.0390227727557075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0204048507474866,0,0,0,0,0,0.296575410793146,0,0,0,0.0358743690080977,0,0,0,0,0,0,0,0,0,0.0608520847152256,0,0,0.0856307824611206,0,0.0278764806731573,0,0,0,0,0.0235563114564617,0.0530111504596911,0,0.0331175686508419,0,0.0908404300862465,0,0,0,0.01569712983759,0,0,-0.0223241979006879,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.134416866127324,0,0.124505199567511,0,0,0,0,0,0,0.0408551615724627,0,0,0,0,0,0.00567213247696456,0,0,0,0,0,0,0,0,0,0.0953905043349787,0,0,0,0.0551752348535552,0,0,0,0,0,0,0,0.0841875024483342,0,0.00475475212764652,-0.0042682757127706,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.119158400566931,0,0,0,0.150458220427527,0.00971778047503456,0,0,0,0,0,0,0,0.130270663697792,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846661150477849,0,0,0,0,0,0.0739398901557844,0,0,-0.045403745091955,0,-0.0114220456957122,-0.012272578182257,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027945742929883,0,0,0,0,0,0,0,0,0,0,0,0.014258294159258,0.0053017616188137,0,0,0.153298316476504,0.0153403853612115,0,0.07653658655416,0,0,0,0,0.051441388069911,0.018305867175882,0.128898257735003,0,0,-0.0478174538352776,-0.0520124805433157,0.0103450725372972,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.330645402424827,0,0,0,0,0.282292088000755,0.0052634056563442,0,0,0,0.111426792833189,0,0,0,0,0.0330430051232363,0,0,0,0.0177350956478987,0,0,0.0341936352517019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026191094803965,0,0.044056343494325,0,0,0.0198911942970237,0,0,0,0,0,0,0
X000568.SZ,0,0.670633538041383,0,0,0,0,0,0.0889174157312631,0,0,0.0110824731121247,0,0,0.0205712337735452,0,0,0,0,0,0,0,0,0,0.00863680258657849,0,0,0,0,0,0,-0.00174327900152124,0,0,0.0518994240545634,0,0,0,0,0.0245545754675728,0,0,0,0,0,0,0,0,0,0,-0.0446951426000616,0.0601431769847853,0.0140910878140161,0.00297600449215551,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.0471304840541854,0,0.0501044904364876,0.0915219407307593,0,0,-0.117683873196526,0,0,0,0,0,0.373364460293988,0,0.0160674786803198,0,0,0,0,0,0,0,0.115379620316176,0,0.236673957661649,0,0,0,-0.0489953501964273,0,0.111322705811268,0,0,0,0,0,-0.0639885923428608,0,0,0,0,0,0,0,0,0,-0.0216117498648077,-0.0166149351019457,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0557223488789156,0,0,0,0,0,0,0,0,0,0,0,0.0225349607376286,0,0,0,0,0,0.369806215003976,0,0,0,0,0.0608619042814393,-0.0441487690375726,0,0,0,0,0,0.151626776972447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247131622550483,0.0302196680132619,0,0,0,0,0,0
